Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Bajaj Finance Ltd.,Nbfc,3.19,1415.5,3.19%,0.10%,2.55% (Sep 2018),2.55% (Sep 2018),4.57 L,0.00,Large Cap,26.68
HDFC Bank Ltd.,Banks,7.75,1033.6,2.33%,0.02%,1.87% (Aug 2018),1.87% (Aug 2018),4.46 L,0.00,Large Cap,26.68
Indusind Bank Ltd.,Banks,7.75,775.9,1.75%,0.29%,1.68% (Oct 2018),1.68% (Oct 2018),4.83 L,0.30 L,Large Cap,26.68
Kotak Mahindra Bank Ltd.,Banks,7.75,723.8,1.63%,0.08%,1.31% (Sep 2018),1.31% (Sep 2018),5.22 L,0.00,Large Cap,26.68
Tata Consultancy Services Ltd.,Computers  software,4.99,639.1,1.44%,0.18%,1.25% (May 2018),1.25% (May 2018),2.83 L,0.00,Large Cap,26.68
Infosys Ltd.,Computers  software,4.99,639,1.44%,0.03%,1.38% (Dec 2018),1.38% (Dec 2018),8.50 L,0.00,Large Cap,26.68
Housing Development Finance Corporation Ltd.,Housing finance,1.46,590.5,1.33%,0.03%,1.02% (Sep 2018),1.02% (Sep 2018),2.96 L,0.00,Large Cap,26.68
Info Edge (India) Ltd.,It enabled services – software,1.94,565.2,1.27%,0.07%,0.76% (Jun 2018),0.76% (Jun 2018),2.92 L,0.00,Mid Cap,10.58
Astral Poly Technik Ltd.,Plastic products,1.22,539.5,1.22%,0.09%,1% (Sep 2018),1% (Sep 2018),4.38 L,0.00,Mid Cap,10.58
Shree Cement Ltd.,Cement,1.17,517.1,1.17%,0.08%,0.79% (Oct 2018),0.79% (Oct 2018),26.13 k,0.00,Large Cap,26.68
Mindtree Ltd.,Computers  software,4.99,503.8,1.14%,0.06%,1.02% (Dec 2018),1.02% (Dec 2018),5.13 L,0.00,Mid Cap,10.58
Larsen & Toubro Infotech Ltd.,Computers  software,4.99,432.3,0.97%,0.01%,0.5% (Sep 2018),0% (May 2018),2.52 L,0.00,Large Cap,26.68
Divis Laboratories Ltd.,Pharmaceuticals,4.45,432,0.97%,0.03%,0.68% (Jul 2018),0.68% (Jul 2018),2.47 L,0.00,Large Cap,26.68
Yes Bank,Banks,7.75,387.7,0.87%,0.55%,0.87% (Apr 2019),0.87% (Apr 2019),23.08 L,0.00,Large Cap,26.68
DR. LAL PATHLABS Ltd.,Healthcare service providers,0.9,356.6,0.80%,0.00%,0.57% (May 2018),0.57% (May 2018),3.41 L,0.00,Mid Cap,10.58
ITC Limited,Cigarettes,0.79,350.3,0.79%,0.02%,0.75% (Jan 2019),0.75% (Feb 2019),11.63 L,0.00,Large Cap,26.68
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,4.45,341.3,0.77%,0.10%,0.7% (Jun 2018),0.7% (May 2018),1.90 L,0.10 L,Large Cap,26.68
Titan Company Ltd.,"Gems, jewellery and watches",0.74,327.4,0.74%,0.02%,0.53% (Sep 2018),0.53% (Sep 2018),2.83 L,0.00,Large Cap,26.68
Motherson Sumi Systems Ltd.,Auto ancillaries,1.44,321.9,0.73%,0.00%,0.72% (Jan 2019),0.72% (Jan 2019),21.98 L,0.00,Large Cap,26.68
Havells India Ltd.,Consumer elctronics,1.26,321.5,0.72%,0.00%,0.57% (May 2018),0.57% (Jun 2018),4.15 L,0.00,Large Cap,26.68
Jubilant Foodworks Ltd.,Consumer food,1.13,305.6,0.69%,0.05%,0.65% (Oct 2018),0.65% (Oct 2018),2.30 L,0.00,Mid Cap,10.58
Maruti Suzuki India Ltd.,Passenger/utility vehicles,0.68,303.3,0.68%,0.00%,0.68% (Mar 2019),0.68% (Apr 2019),45.50 k,0.00,Large Cap,26.68
eClerx Services Ltd.,It enabled services – software,1.94,299.2,0.67%,0.00%,0.62% (Aug 2018),0.62% (Nov 2018),2.61 L,0.00,Small Cap,2.6
Page Industries Ltd.,Fabrics and garments,0.63,278.7,0.63%,0.04%,0.63% (Apr 2019),0.63% (Apr 2019),12.07 k,0.00,Large Cap,26.68
Au Small Finance Bank Ltd.,Banks,7.75,270.2,0.61%,0.05%,0.23% (Jul 2018),0.23% (Jul 2018),4.19 L,0.00,Mid Cap,10.58
Grindwell Norton Ltd.,Abrasives,0.61,271.9,0.61%,0.01%,0.42% (Jul 2018),0.42% (Jul 2018),4.48 L,0.00,Small Cap,2.6
Endurance Technologies Ltd.,Auto ancillaries,1.44,263.4,0.59%,0.01%,0.57% (Jun 2018),0.57% (Jun 2018),2.24 L,0.00,Mid Cap,10.58
Pi Industries Ltd.,Pesticides and agrochemicals,0.57,251.3,0.57%,0.02%,0.4% (Sep 2018),0.4% (Sep 2018),2.41 L,0.00,Mid Cap,10.58
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,4.45,247.7,0.56%,0.02%,0.53% (Jan 2019),0.53% (Jan 2019),5.41 L,0.00,Large Cap,26.68
Ipca Laboratories Ltd.,Pharmaceuticals,4.45,248.6,0.56%,0.01%,0.39% (May 2018),0.39% (May 2018),2.61 L,0.00,Mid Cap,10.58
