Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Grindwell Norton Ltd.,Abrasives,3.96,38,3.96%,0.25%,2.69% (May 2018),2.69% (May 2018),62.60 k,0.00,Small Cap,94.16
Praj Industries Ltd.,"Engineering, designing, construction",10.66,36.9,3.84%,0.88%,2.8% (Jul 2018),2.8% (Jul 2018),2.70 L,0.37 L,Small Cap,94.16
Navin Flourine International Ltd.,Chemicals  inorganic,3.73,35.8,3.73%,0.02%,3.16% (Jun 2018),3.16% (Jun 2018),53.37 k,0.00,Small Cap,94.16
Kalpataru Power Transmission Ltd.,Transmission towers,3.33,32,3.33%,0.12%,2.28% (Aug 2018),2.28% (Aug 2018),68.62 k,0.00,Small Cap,94.16
Heidelberg Cement India Ltd.,Cement,7.64,30.8,3.21%,0.17%,2.2% (Jun 2018),2.2% (Jun 2018),1.69 L,0.00,Small Cap,94.16
Healthcare Global Enterprises Ltd.,Hospital,2.95,28.4,2.95%,0.19%,2.95% (Apr 2019),2.95% (Apr 2019),1.44 L,0.00,Small Cap,94.16
Ashoka Buildcon Ltd.,"Engineering, designing, construction",10.66,27.8,2.89%,0.08%,2.6% (Sep 2018),2.6% (Sep 2018),2.24 L,0.00,Small Cap,94.16
M M Forgings Ltd.,Castings/forgings,2.75,26.4,2.75%,0.16%,2.6% (Mar 2019),2.6% (Mar 2019),48.05 k,0.00,Small Cap,94.16
J.K. Cement Ltd.,Cement,7.64,23.5,2.45%,0.21%,1.95% (Dec 2018),0% (May 2018),26.04 k,0.00,Small Cap,94.16
Astra Microwave Products Ltd.,Telecom   equipment,2.4,23,2.40%,0.19%,2.15% (Dec 2018),2.15% (Dec 2018),2.63 L,0.00,Small Cap,94.16
NCC Ltd.,"Engineering, designing, construction",10.66,21.7,2.26%,0.19%,1.7% (Sep 2018),1.7% (Sep 2018),2.19 L,0.00,Small Cap,94.16
Ujjivan Small Finance Bank Ltd.,Banks,3.85,21.7,2.26%,0.05%,1.54% (Oct 2018),1.54% (Oct 2018),66.76 k,0.00,Small Cap,94.16
Subros Ltd.,Auto ancillaries,5.27,20.1,2.09%,0.19%,1.9% (Jan 2019),1.9% (Jan 2019),71.65 k,0.00,Small Cap,94.16
Nrb Bearings Ltd.,Bearings,3.3,19.5,2.03%,0.06%,1.49% (May 2018),1.49% (May 2018),1.04 L,0.00,Small Cap,94.16
India Cements Ltd.,Cement,7.64,19,1.98%,0.07%,1.65% (Jan 2019),1.65% (Jan 2019),1.77 L,0.00,Small Cap,94.16
Tube Investments Of India Ltd.,Auto ancillaries,5.27,18.7,1.94%,0.08%,1.87% (Mar 2019),0% (May 2018),49.07 k,0.00,Small Cap,94.16
KEI Industries Ltd.,Cables  electricals,1.93,18.5,1.93%,0.58%,1.07% (Oct 2018),1.07% (Oct 2018),45.46 k,13.45 k,Small Cap,94.16
Himatsingka Seide Ltd.,Fabrics and garments,3.5,17.5,1.82%,0.05%,1.52% (Feb 2019),1.52% (Feb 2019),81.74 k,0.00,Small Cap,94.16
Redington (India) Ltd.,Logistics solution provider,1.81,17.4,1.81%,0.07%,1.39% (Jan 2019),1.39% (Jan 2019),1.71 L,0.00,Small Cap,94.16
Mahindra Holidays & Resorts India Ltd.,Hotels/resorts,2.95,16.8,1.75%,0.05%,1.54% (Nov 2018),1.54% (Nov 2018),71.21 k,0.00,Small Cap,94.16
Thyrocare Technologies Ltd.,Healthcare service providers,1.72,16.5,1.72%,0.06%,1.65% (May 2018),1.65% (May 2018),33.55 k,0.00,Small Cap,94.16
Navneet Publications (india) Ltd.,Printing and publishing,2.11,16.3,1.70%,0.11%,1.29% (Jul 2018),1.29% (Jul 2018),1.47 L,0.00,Small Cap,94.16
Johnson ControlsHitachi Air Conditioning India Ltd.,Air conditioner,1.67,16.1,1.67%,0.11%,1.61% (Aug 2018),1.61% (Aug 2018),8.70 k,0.00,Small Cap,94.16
VA Tech Wabag Ltd.,"Engineering, designing, construction",10.66,16,1.67%,0.16%,1.52% (Dec 2018),1.52% (Dec 2018),55.90 k,0.00,Small Cap,94.16
