Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,22.38,259.6,9.91%,0.00%,6.95% (Aug 2018),0% (May 2018),1.12 L,0.00,Large Cap,66.31
ITC Limited,Cigarettes,11.89,254.6,9.72%,0.14%,9.31% (Dec 2018),0% (May 2018),8.45 L,0.00,Large Cap,66.31
Kotak Mahindra Bank Ltd.,Banks,22.38,180.9,6.91%,0.26%,5.95% (Sep 2018),0% (May 2018),1.31 L,0.00,Large Cap,66.31
Larsen & Toubro Ltd.,"Engineering, designing, construction",4.33,113.3,4.33%,0.11%,4.15% (Aug 2018),0% (May 2018),84.00 k,0.00,Large Cap,66.31
Tech Mahindra Ltd.,Software telecom,4.28,112,4.28%,0.28%,4.28% (Apr 2019),0% (May 2018),1.34 L,0.20 L,Large Cap,66.31
Housing Development Finance Corporation Ltd.,Housing finance,3.5,91.8,3.50%,0.05%,3.21% (Aug 2018),0% (May 2018),46.00 k,0.00,Large Cap,66.31
Zee Entertainment Enterprises Ltd.,Tv broadcasting & software production,5.23,86.5,3.30%,0.10%,1.84% (Sep 2018),0% (May 2018),2.00 L,0.00,Large Cap,66.31
ICICI Bank Ltd.,Banks,22.38,83.5,3.19%,0.52%,1.99% (Feb 2019),0% (May 2018),2.05 L,30.00 k,Large Cap,66.31
ICICI Prudential Life Insurance Co Ltd.,Insurance,5.19,79.4,3.03%,0.16%,2.52% (Jan 2019),0% (May 2018),2.15 L,0.00,Large Cap,66.31
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,2.95,77.2,2.95%,0.01%,0.6% (Oct 2018),0% (May 2018),10.60 k,0.00,Large Cap,66.31
United Spirits Ltd.,Brew/distilleries,4.95,75.8,2.89%,0.04%,2% (Feb 2019),0% (May 2018),1.35 L,0.00,Large Cap,66.31
Castrol (india) Ltd.,Lubricants,2.8,73.3,2.80%,0.25%,1.92% (Dec 2018),0% (May 2018),4.80 L,0.00,Mid Cap,18.47
Merck Ltd.,Pharmaceuticals,7.11,72.5,2.77%,0.02%,1.78% (Sep 2018),0% (May 2018),19.50 k,0.00,Small Cap,13.56
Bandhan Bank Ltd.,Banks,22.38,62,2.37%,0.29%,0.77% (Jan 2019),0% (May 2018),1.04 L,0.00,Large Cap,66.31
Ipca Laboratories Ltd.,Pharmaceuticals,7.11,61.9,2.36%,0.07%,2.14% (Feb 2019),0% (May 2018),65.00 k,0.00,Mid Cap,18.47
MRF Ltd.,Tyres & allied,2.26,59.3,2.26%,0.22%,2.26% (Apr 2019),0% (May 2018),1.12 k,0.00,Mid Cap,18.47
Vst Industries Ltd.,Cigarettes,11.89,56.9,2.17%,0.02%,1.26% (Nov 2018),0% (May 2018),16.60 k,0.00,Small Cap,13.56
HDFC Standard Life Insurance Company Ltd.,Insurance,5.19,56.6,2.16%,0.43%,1.72% (Feb 2019),0% (May 2018),1.40 L,20.00 k,Large Cap,66.31
Power Grid Corporation of India Ltd.,Power transmission,2.06,54.1,2.06%,0.13%,2.05% (Nov 2018),0% (May 2018),2.90 L,0.00,Large Cap,66.31
United Breweries Ltd.,Brew/distilleries,4.95,53.9,2.06%,0.34%,1.72% (Mar 2019),0% (May 2018),38.00 k,5.69 k,Large Cap,66.31
CreditAccess Grameen Ltd.,Nbfc,5.76,53.1,2.03%,0.60%,1.6% (Sep 2018),0% (May 2018),1.02 L,0.35 L,Small Cap,13.56
Abbott India Ltd.,Pharmaceuticals,7.11,52,1.98%,0.03%,1.95% (Mar 2019),0% (May 2018),7.00 k,0.00,Mid Cap,18.47
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.97,51.6,1.97%,0.17%,1.8% (Mar 2019),0% (May 2018),80.00 k,10.00 k,Large Cap,66.31
Sun TV Network Ltd.,Tv broadcasting & software production,5.23,50.5,1.93%,0.18%,1.91% (Jan 2019),0% (May 2018),88.00 k,0.00,Mid Cap,18.47
Max Financial Services Ltd.,Nbfc,5.76,50.1,1.91%,0.08%,1.85% (Oct 2018),0% (May 2018),1.20 L,0.00,Mid Cap,18.47
Sundaram Finance Limited,Nbfc,5.76,47.7,1.82%,0.14%,1.82% (Apr 2019),0% (May 2018),33.00 k,0.00,Mid Cap,18.47
Greenply Industries Ltd.,Plywood boards,1.79,47,1.79%,0.13%,1.46% (Nov 2018),0% (May 2018),2.80 L,0.00,Small Cap,13.56
Future Consumer Ltd.,Retailing,3.41,45.3,1.73%,0.08%,1.65% (Sep 2018),0% (May 2018),10.60 L,0.00,Mid Cap,18.47
Future Retail Ltd.,Retailing,3.41,44.1,1.68%,0.13%,1.68% (Apr 2019),0% (May 2018),1.05 L,0.00,Mid Cap,18.47
Oracle Financial Services Software Limited,It enabled services – software,1.68,44,1.68%,0.06%,1.62% (Mar 2019),0% (May 2018),12.50 k,0.00,Large Cap,66.31
#Hyderabad Industries Ltd.,Cement products,1.41,37,1.41%,1.41%,1.41% (Apr 2019),0% (May 2018),20.00 k,20.00 k,Small Cap,13.56
#Greaves Cotton Ltd.,Diesel engines,1.21,31.7,1.21%,1.21%,1.21% (Apr 2019),0% (May 2018),2.15 L,2.15 L,Small Cap,13.56
ICICI Securities Ltd.,Stockbroking and allied,1.16,30.3,1.16%,0.11%,1.07% (Dec 2018),0% (May 2018),1.37 L,0.00,Small Cap,13.56
#Healthcare Global Enterprises Ltd.,Hospital,1.02,26.6,1.02%,1.02%,1.02% (Apr 2019),0% (May 2018),1.35 L,1.35 L,Small Cap,13.56
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,,2.4,0.00%,0.09%,,,,,Large Cap,66.31
ICICI Lombard General Insurance Co Ltd.,Insurance,5.19,51.7,0.00%,1.97%,,,,,Large Cap,66.31
