Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,63.41,702.2,24.73%,0.51%,21.32% (Aug 2018),21.32% (Aug 2018),3.03 L,0.00,Large Cap,79.37
ICICI Bank Ltd.,Banks,63.41,400.2,14.09%,0.97%,2.15% (Oct 2018),0% (May 2018),9.82 L,70.00 k,Large Cap,79.37
Housing Development Finance Corporation Ltd.,Housing finance,11.02,312.8,11.02%,0.07%,6.89% (May 2018),6.89% (May 2018),1.57 L,0.00,Large Cap,79.37
Kotak Mahindra Bank Ltd.,Banks,63.41,249.6,8.79%,0.64%,8.15% (Feb 2019),8.15% (Feb 2019),1.80 L,10.00 k,Large Cap,79.37
Axis Bank Ltd.,Banks,63.41,168.7,5.94%,0.92%,2% (Nov 2018),0% (May 2018),2.20 L,40.00 k,Large Cap,79.37
Bajaj Finserv Ltd,Nbfc,18.44,154.2,5.43%,0.25%,4.92% (Jan 2019),4.92% (Jan 2019),20.50 k,0.00,Large Cap,79.37
DCB Bank Ltd.,Banks,63.41,126.4,4.45%,0.08%,3.59% (Jul 2018),3.59% (Jul 2018),5.95 L,0.00,Small Cap,7.03
Bajaj Finance Ltd.,Nbfc,18.44,125.4,4.42%,0.02%,4.11% (Jan 2019),4.11% (Jan 2019),40.50 k,0.00,Large Cap,79.37
City Union Bank Ltd.,Banks,63.41,113.6,4.00%,0.12%,3.63% (Jul 2018),3.63% (Jul 2018),5.60 L,0.00,Mid Cap,10.61
Muthoot Finance Pvt. Ltd.,Nbfc,18.44,107.5,3.78%,0.53%,3.78% (Apr 2019),3.78% (Apr 2019),1.80 L,0.15 L,Mid Cap,10.61
ICICI Prudential Life Insurance Co Ltd.,Insurance,3.54,100.5,3.54%,0.12%,3.06% (Jan 2019),3.06% (Jan 2019),2.72 L,0.00,Large Cap,79.37
CreditAccess Grameen Ltd.,Nbfc,18.44,56.2,1.98%,0.46%,1.7% (Sep 2018),0% (May 2018),1.08 L,0.27 L,Small Cap,7.03
Max Financial Services Ltd.,Nbfc,18.44,54.3,1.91%,2.34%,1.91% (Apr 2019),1.91% (Apr 2019),1.30 L,1.42 L,Mid Cap,10.61
#Indusind Bank Ltd.,Banks,63.41,40.2,1.41%,1.41%,1.09% (Aug 2018),0% (May 2018),25.00 k,25.00 k,Large Cap,79.37
Mahindra & Mahindra Financial Services Ltd.,Nbfc,18.44,26,0.92%,0.07%,0.92% (Apr 2019),0% (May 2018),65.00 k,0.00,Mid Cap,10.61
JM Financial Ltd.,Stockbroking and allied,0.6,17,0.60%,1.06%,0.6% (Apr 2019),0.6% (Apr 2019),1.92 L,2.98 L,Small Cap,7.03
ICICI Lombard General Insurance Co Ltd.,Insurance,3.54,41.3,0.00%,1.48%,,,,,Large Cap,79.37
