Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,23.65,1473.9,9.48%,0.11%,6.41% (Sep 2018),0% (May 2018),6.36 L,0.00,Large Cap,74.24
ICICI Bank Ltd.,Banks,23.65,1261.2,8.11%,0.70%,4.44% (Nov 2018),0% (May 2018),30.95 L,2.50 L,Large Cap,74.24
ITC Limited,Cigarettes,7.99,1241.9,7.99%,0.02%,5.08% (Sep 2018),0% (May 2018),41.21 L,0.00,Large Cap,74.24
Kotak Mahindra Bank Ltd.,Banks,23.65,942.9,6.06%,0.86%,2.28% (Sep 2018),0% (May 2018),6.80 L,80.00 k,Large Cap,74.24
Reliance Industries Ltd.,Refineries/marketing,4.17,647.7,4.17%,1.86%,1.39% (Dec 2018),0% (May 2018),4.65 L,2.05 L,Large Cap,74.24
Zee Entertainment Enterprises Ltd.,Tv broadcasting & software production,3.87,601.3,3.87%,0.16%,2.1% (Feb 2019),0% (May 2018),13.90 L,0.00,Large Cap,74.24
Hindustan Unilever Ltd.,Diversified,3.55,551.9,3.55%,0.06%,1.03% (Oct 2018),0% (May 2018),3.14 L,0.00,Large Cap,74.24
United Spirits Ltd.,Brew/distilleries,3.1,482.6,3.10%,0.00%,2.11% (Feb 2019),0% (May 2018),8.60 L,0.00,Large Cap,74.24
Jubilant Foodworks Ltd.,Consumer food,4.75,454.4,2.92%,0.29%,0.53% (Oct 2018),0% (May 2018),3.42 L,0.00,Mid Cap,19.02
Larsen & Toubro Ltd.,"Engineering, designing, construction",5.91,451.8,2.91%,0.11%,1.86% (Jan 2019),0% (May 2018),3.35 L,0.00,Large Cap,74.24
Associated Cement Companies Ltd.,Cement,2.73,424.3,2.73%,0.09%,2.6% (Feb 2019),0% (May 2018),2.60 L,0.00,Mid Cap,19.02
Bajaj Finserv Ltd,Nbfc,5.84,368.5,2.37%,0.13%,1.06% (Nov 2018),0% (May 2018),49.00 k,0.00,Large Cap,74.24
Ipca Laboratories Ltd.,Pharmaceuticals,5.86,362,2.33%,0.10%,2.16% (Feb 2019),0% (May 2018),3.80 L,0.00,Mid Cap,19.02
Siemens Ltd.,Power equipment,2.3,357.7,2.30%,0.06%,2.05% (Nov 2018),0% (May 2018),3.05 L,0.00,Large Cap,74.24
