Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Infosys Ltd.,Computers  software,41.01,567.4,21.83%,0.62%,21.83% (Apr 2019),21.83% (Apr 2019),7.55 L,0.00,Large Cap,54.85
HCL Technologies Limited,Computers  software,41.01,252.8,9.72%,0.56%,7.17% (May 2018),7.17% (May 2018),2.14 L,0.23 L,Large Cap,54.85
Tech Mahindra Ltd.,Software telecom,9.45,245.6,9.45%,0.19%,7.34% (Jul 2018),7.34% (Jul 2018),2.94 L,4.90 k,Large Cap,54.85
Cognizant Technology Solutions Corp.,Foreign equity,14.87,178,6.85%,0.16%,6.3% (May 2018),6.3% (May 2018),35.00 k,0.00,Other,18.01
Tata Consultancy Services Ltd.,Computers  software,41.01,166.9,6.42%,0.52%,5.9% (Mar 2019),5.9% (Mar 2019),73.82 k,0.00,Large Cap,54.85
Info Edge (India) Ltd.,It enabled services – software,11.39,106.3,4.09%,0.04%,3.02% (Jun 2018),3.02% (Jun 2018),55.00 k,0.00,Mid Cap,6.24
Bharti Airtel Ltd.,Telecom  services,7.19,103.9,4.00%,0.32%,4% (Apr 2019),4% (Apr 2019),3.24 L,0.00,Large Cap,54.85
eClerx Services Ltd.,It enabled services – software,11.39,74.5,2.86%,0.12%,1.22% (Aug 2018),1.22% (Aug 2018),65.00 k,0.00,Small Cap,8.23
Cyient Ltd.,It enabled services – software,11.39,62.6,2.41%,0.34%,2.41% (Apr 2019),2.41% (Apr 2019),1.06 L,0.00,Small Cap,8.23
Jagran Prakashan Ltd.,Printing and publishing,2.26,58.7,2.26%,0.35%,0.19% (Sep 2018),0% (May 2018),5.18 L,0.00,Small Cap,8.23
Mindtree Ltd.,Computers  software,41.01,55.9,2.15%,0.00%,2.05% (Oct 2018),0% (May 2018),57.00 k,0.00,Mid Cap,6.24
Twitter Inc,Foreign equity,14.87,52.9,2.03%,0.71%,0.78% (Jul 2018),0.78% (Jul 2018),19.00 k,4.50 k,Other,18.01
Oracle Financial Services Software Limited,It enabled services – software,11.39,52.8,2.03%,0.00%,2.03% (Mar 2019),2.03% (Mar 2019),15.00 k,0.00,Large Cap,54.85
Vodafone Idea Ltd.  Rights,Telecom  services,7.19,51.4,1.98%,1.22%,0.76% (Mar 2019),0% (May 2018),33.26 L,0.00,Other,18.01
Samsung Electronics Co. Ltd.,Foreign equity,14.87,46.6,1.79%,0.06%,0.93% (Jun 2018),0% (May 2018),17.00 k,0.00,Other,18.01
QUALCOMM,Foreign equity,14.87,36,1.39%,0.45%,0.89% (Jun 2018),0% (May 2018),6.00 k,0.00,Other,18.01
Taiwan Semiconductor Manufacturing Co. Ltd.,Foreign equity,14.87,25.7,0.99%,0.02%,0.93% (Jan 2019),0% (May 2018),44.00 k,0.00,Other,18.01
#NVIDIA Corporation,Foreign equity,14.87,25.2,0.97%,0.97%,0.97% (Apr 2019),0% (May 2018),2.00 k,2.00 k,Other,18.01
Vodafone Idea Ltd.,Telecom  services,7.19,22.5,0.86%,0.20%,0.86% (Apr 2019),0.86% (Apr 2019),14.53 L,0.00,Large Cap,54.85
General Electric Co,Foreign equity,14.87,21.3,0.82%,0.01%,0.68% (Nov 2018),0.68% (Nov 2018),30.00 k,0.00,Other,18.01
Music Broadcast Pvt Ltd.,Media & entertainment,0.81,20.9,0.81%,0.01%,0.71% (Jun 2018),0.71% (Jun 2018),3.53 L,0.00,Other,18.01
#Larsen & Toubro Infotech Ltd.,Computers  software,41.01,14,0.54%,0.54%,0.54% (Apr 2019),0% (May 2018),8.14 k,8.14 k,Large Cap,54.85
#Bharti Airtel Ltd.  Rights,Telecom  services,7.19,9.2,0.35%,0.35%,0.35% (Apr 2019),0% (May 2018),91.98 k,91.98 k,Other,18.01
Dish T V India Ltd.,Tv broadcasting & software production,0.35,9.2,0.35%,0.05%,0.25% (Jan 2019),0.25% (Jan 2019),2.55 L,0.00,Small Cap,8.23
Ramco Systems,Computers  software,41.01,9.1,0.35%,0.04%,0.35% (Apr 2019),0.35% (Apr 2019),41.26 k,0.00,Small Cap,8.23
WABTEC CORP,Foreign equity,14.87,0.8,0.03%,0.00%,0.03% (Mar 2019),0% (May 2018),161.00,0.00,Other,18.01
Brillio Technologies Pvt Ltd.,It enabled services – software,11.39,0,0.00%,0.00%,0% (Apr 2019),0% (May 2018),9.70 L,0.00,Other,18.01
Sunny Optical Technology Group Company Ltd.,Foreign equity,14.87,28.9,0.00%,1.15%,,,,,Other,18.01
Facebook,Foreign equity,14.87,27.7,0.00%,1.11%,,,,,Other,18.01
Microsoft Corp,Foreign equity,14.87,24.5,0.00%,0.98%,,,,,Other,18.01
