Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Axis Bank Ltd.,Banks,6.39,73.2,2.20%,0.01%,1.29% (Jun 2018),1.29% (Jun 2018),95.49 k,0.00,Large Cap,14.91
HDFC Bank Ltd.,Banks,6.39,68.9,2.07%,0.03%,1.65% (May 2018),1.65% (May 2018),29.74 k,0.00,Large Cap,14.91
Infosys Ltd.,Computers  software,1.43,47.6,1.43%,0.04%,1.01% (May 2018),1.01% (May 2018),63.34 k,0.00,Large Cap,14.91
Kotak Mahindra Bank Ltd.,Banks,6.39,42.9,1.29%,0.07%,0.99% (Sep 2018),0.99% (Sep 2018),30.91 k,0.00,Large Cap,14.91
Gujarat State Petronet Ltd.,Gas transmission/marketing,1.02,34.1,1.02%,0.06%,0.79% (May 2018),0.79% (May 2018),1.71 L,0.00,Mid Cap,4.74
Bharti Airtel Ltd.,Telecom  services,1.05,32,0.96%,0.02%,0.86% (Oct 2018),0.86% (Oct 2018),1.00 L,0.00,Large Cap,14.91
Grasim Industries Limited,Cement,0.94,31.3,0.94%,0.06%,0.73% (Jan 2019),0.73% (Jan 2019),34.75 k,0.00,Large Cap,14.91
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.18,30.6,0.92%,0.02%,0.91% (Feb 2019),0.91% (Feb 2019),47.34 k,0.00,Large Cap,14.91
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,1.35,30.2,0.91%,0.06%,0.52% (May 2018),0.52% (May 2018),10.30 k,0.00,Large Cap,14.91
Kansai Nerolac Paints Ltd.,Paints,0.9,29.9,0.90%,0.02%,0.76% (Oct 2018),0.76% (Oct 2018),67.70 k,0.00,Mid Cap,4.74
Power Grid Corporation of India Ltd.,Power transmission,0.78,25.9,0.78%,0.03%,0.74% (Nov 2018),0% (May 2018),1.39 L,0.00,Large Cap,14.91
Voltas Limited,"Engineering, designing, construction",0.72,24.1,0.72%,0.02%,0.55% (Jun 2018),0.55% (Jun 2018),40.00 k,0.00,Mid Cap,4.74
Balkrishna Industries Ltd.,Tyres & allied,0.71,23.8,0.71%,0.05%,0.62% (Jan 2019),0.62% (Jan 2019),26.00 k,0.00,Mid Cap,4.74
Bharat Petroleum Corporation Ltd.,Refineries/marketing,0.68,22.8,0.68%,0.03%,0.49% (Oct 2018),0.49% (Oct 2018),60.00 k,0.00,Large Cap,14.91
Hindalco Industries Ltd.,Aluminium,0.6,19.9,0.60%,0.01%,0.55% (Jul 2018),0.55% (Jul 2018),96.46 k,0.00,Large Cap,14.91
Cadila Healthcare Ltd.,Pharmaceuticals,1.35,14.7,0.44%,0.02%,0.42% (Jan 2019),0.42% (Jan 2019),45.00 k,0.00,Large Cap,14.91
Cummins India Ltd.,Diesel engines,0.44,14.5,0.44%,0.00%,0.34% (Jun 2018),0.34% (Jun 2018),20.02 k,0.00,Mid Cap,4.74
United Breweries Ltd.,Brew/distilleries,0.43,14.2,0.43%,0.02%,0.29% (Jul 2018),0.29% (Jul 2018),10.00 k,0.00,Large Cap,14.91
TVS Motor Company Ltd.,Motor cycles/scooters,0.38,12.7,0.38%,0.02%,0.35% (Feb 2019),0.35% (Feb 2019),25.76 k,0.00,Mid Cap,4.74
ICICI Bank Ltd.,Banks,6.39,12.4,0.37%,0.01%,0.22% (Jun 2018),0.22% (Jun 2018),30.37 k,0.00,Large Cap,14.91
Colgate  Palmolive (India) Limited,Personal care,0.35,11.5,0.35%,0.00%,0.29% (Jul 2018),0.29% (Jul 2018),9.53 k,0.00,Large Cap,14.91
Amara Raja Batteries Limited,Batteries – automobile,0.34,11.3,0.34%,0.02%,0.33% (Jun 2018),0.33% (Jun 2018),17.00 k,0.00,Mid Cap,4.74
Jagran Prakashan Ltd.,Printing and publishing,0.33,11.1,0.33%,0.03%,0.28% (Feb 2019),0.28% (Feb 2019),97.69 k,0.00,Small Cap,0.51
State Bank Of India,Banks,6.39,9.2,0.28%,0.00%,0.24% (Feb 2019),0.24% (Feb 2019),29.76 k,0.00,Large Cap,14.91
Tata Motors Ltd.,Passenger/utility vehicles,1.18,8.6,0.26%,0.05%,0.2% (Nov 2018),0.2% (Nov 2018),40.00 k,0.00,Large Cap,14.91
Aditya Birla Fashion and Retail Ltd.,Retailing,0.23,7.6,0.23%,0.00%,0.21% (Dec 2018),0.21% (Dec 2018),35.37 k,0.00,Mid Cap,4.74
Karur Vysya Bank Ltd,Banks,6.39,6,0.18%,0.02%,0.16% (Feb 2019),0.16% (Feb 2019),77.00 k,0.00,Small Cap,0.51
#Bharti Airtel Ltd.  Rights,Telecom  services,1.05,2.8,0.09%,0.09%,0.09% (Apr 2019),0% (May 2018),28.36 k,28.36 k,Other,0.09
Coal India Ltd.,Industrial minerals,0,0.2,0.00%,0.00%,0% (Nov 2018),0% (Oct 2018),581.00,0.00,Large Cap,14.91
Asian Paints (india) Ltd.,Paints,0.9,25.1,0.00%,0.74%,,,,,Large Cap,14.91
