Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

DCB Bank Ltd.,Banks,19.62,20,3.94%,0.24%,0.85% (Jul 2018),0.85% (Jul 2018),94.15 k,0.00,Small Cap,20.87
Federal Bank Ltd.,Banks,19.62,17.2,3.39%,0.05%,0.88% (Jul 2018),0% (May 2018),1.86 L,0.00,Mid Cap,63.57
Jindal Steel & Power Ltd.,Steel,4.87,13.3,2.61%,0.43%,0.63% (Nov 2018),0% (May 2018),74.72 k,11.55 k,Mid Cap,63.57
RBL Bank Ltd.,Banks,19.62,13,2.56%,0.06%,1.13% (May 2018),1.13% (May 2018),19.11 k,0.00,Mid Cap,63.57
City Union Bank Ltd.,Banks,19.62,11.6,2.28%,0.01%,0.65% (Jul 2018),0% (May 2018),57.65 k,0.00,Mid Cap,63.57
J S W Steel Ltd.,Steel,4.87,11.5,2.26%,0.81%,1.42% (Feb 2019),0% (May 2018),37.28 k,11.50 k,Large Cap,12.63
Indian Hotels Company Limited,Hotels/resorts,3.94,11.2,2.22%,0.05%,1.09% (May 2018),1.09% (May 2018),73.01 k,0.00,Mid Cap,63.57
The Ramco Cements Ltd.,Cement,6.86,11,2.17%,0.47%,0.32% (Sep 2018),0% (May 2018),14.25 k,2.25 k,Mid Cap,63.57
Associated Cement Companies Ltd.,Cement,6.86,10.5,2.08%,0.07%,0.65% (Jul 2018),0% (May 2018),6.47 k,0.25 k,Mid Cap,63.57
Union Bank Of India,Banks,19.62,9.8,1.93%,0.23%,0.92% (Feb 2019),0% (May 2018),1.17 L,0.00,Mid Cap,63.57
Indian Bank,Banks,19.62,9.4,1.84%,0.15%,0.57% (May 2018),0.57% (May 2018),37.07 k,0.00,Mid Cap,63.57
Exide Industries Ltd.,Batteries – automobile,1.82,9.3,1.82%,0.09%,1.32% (May 2018),1.32% (May 2018),43.19 k,2.26 k,Mid Cap,63.57
Thermax Ltd.,Industrial equipment,1.82,9.2,1.82%,0.57%,0.75% (Jun 2018),0.75% (Jun 2018),9.48 k,3.32 k,Mid Cap,63.57
Taj GVK Hotels & Resorts Ltd.,Hotels/resorts,3.94,8.7,1.72%,0.08%,0.36% (Jul 2018),0% (May 2018),39.46 k,0.00,Small Cap,20.87
Gujarat State Petronet Ltd.,Gas transmission/marketing,1.7,8.6,1.70%,0.11%,0.88% (May 2018),0.88% (May 2018),43.61 k,0.00,Mid Cap,63.57
#Aditya Birla Capital Ltd.,Nbfc,3.07,8.3,1.64%,1.64%,1.64% (Apr 2019),0% (May 2018),85.00 k,85.00 k,Mid Cap,63.57
Coromandel International Ltd.,Fertilisersphosphatic,1.61,8.2,1.61%,1.83%,0.93% (Jun 2018),0.93% (Jun 2018),18.83 k,0.17 L,Mid Cap,63.57
#Prestige Estates Projects Ltd.,Residential/commercial/sez project,3.13,8,1.58%,1.58%,0.78% (Jul 2018),0% (May 2018),31.00 k,31.00 k,Small Cap,20.87
Mahindra CIE Automotive Ltd.,Castings/forgings,2.61,7.9,1.56%,0.01%,0.86% (Sep 2018),0.86% (Sep 2018),34.84 k,0.00,Mid Cap,63.57
