Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

#Alibaba Group Holding Ltd.,Foreign equity,81.09,118.1,9.35%,0.00%,0% (May 2019),0% (May 2019),9.06 k,0.00,Other,81.66
TENCENT HOLDINGS LTD,Foreign equity,81.09,109.3,8.65%,0.36%,7.22% (Oct 2018),7.22% (Oct 2018),31.70 k,0.00,Other,81.66
AIA Group Ltd.,Foreign equity,81.09,99.8,7.90%,0.05%,4.43% (May 2018),4.43% (May 2018),1.41 L,0.00,Other,81.66
Samsung Electronics Co. Ltd.,Foreign equity,81.09,88,6.96%,0.21%,6.96% (Apr 2019),6.96% (Apr 2019),32.10 k,0.00,Other,81.66
Taiwan Semiconductor Manufacturing Co. Ltd.,Foreign equity,81.09,85.7,6.79%,0.15%,5.8% (Jun 2018),5.8% (Jun 2018),1.47 L,0.00,Other,81.66
PING AN INSURANCE (GROUP) CO. OF CHINA LTD,Foreign equity,81.09,67.4,5.34%,0.23%,5.03% (Dec 2018),5.03% (Dec 2018),80.31 k,0.00,Other,81.66
HDFC Bank Ltd.,Banks,5.5,57.1,4.52%,0.17%,2.68% (May 2018),2.68% (May 2018),24.63 k,0.00,Large Cap,7.6
#Ctrip.com International Ltd.,Foreign equity,81.09,31.4,2.49%,0.00%,0% (May 2019),0% (May 2019),10.24 k,0.00,Other,81.66
PT Bank Central Asia Tbk,Foreign equity,81.09,27.5,2.18%,0.01%,1.63% (Jun 2018),1.63% (Jun 2018),1.95 L,0.00,Other,81.66
DBS Group Holdings Ltd.,Foreign equity,81.09,24.8,1.96%,0.15%,1.78% (Aug 2018),1.78% (Aug 2018),17.14 k,0.00,Other,81.66
#New Oriental Education & Technology Group,Foreign equity,81.09,24.1,1.90%,0.00%,0% (May 2019),0% (May 2019),3.66 k,0.00,Other,81.66
Siam Cement PCL,Foreign equity,81.09,23.7,1.88%,0.15%,0.24% (Jun 2018),0.24% (Jun 2018),23.51 k,0.00,Other,81.66
Banco De Oro Unibank Inc.,Foreign equity,81.09,23.7,1.88%,0.02%,1.71% (Sep 2018),1.71% (Sep 2018),1.31 L,0.00,Other,81.66
CNOOC LTD,Foreign equity,81.09,21.4,1.70%,0.11%,1.51% (Sep 2018),0% (May 2018),1.70 L,0.00,Other,81.66
Indian Hotels Company Limited,Hotels/resorts,1.64,20.7,1.64%,0.07%,1.43% (Jun 2018),1.43% (Jun 2018),1.34 L,0.00,Mid Cap,6.56
Samsonite International SA,Foreign equity,81.09,20.3,1.61%,0.24%,1.61% (Apr 2019),1.61% (Apr 2019),1.02 L,0.00,Other,81.66
Trent Limited,Retailing,1.53,19.3,1.53%,0.08%,1.33% (Jun 2018),1.33% (Jun 2018),54.19 k,0.00,Mid Cap,6.56
Techtronic Industries Co. Ltd.,Foreign equity,81.09,18.9,1.50%,0.07%,1.16% (Jun 2018),1.16% (Jun 2018),37.52 k,0.00,Other,81.66
Universal Robina Corp.,Foreign equity,81.09,17.9,1.42%,0.01%,1.1% (Jun 2018),1.1% (Jun 2018),87.30 k,0.00,Other,81.66
China Merchants Bank Co. Ltd.,Foreign equity,81.09,17.3,1.37%,0.01%,1.37% (Apr 2019),0% (May 2018),50.00 k,0.00,Other,81.66
SM Prime Holdings INC,Foreign equity,81.09,16.7,1.33%,0.04%,1.12% (Jun 2018),1.12% (Jun 2018),3.00 L,0.00,Other,81.66
Make My Trip,Foreign equity,81.09,16.3,1.29%,0.02%,0.69% (Oct 2018),0.69% (Oct 2018),8.10 k,0.00,Other,81.66
PT Semen Gresik ( Persero) TBK,Foreign equity,81.09,16.1,1.28%,0.34%,0.51% (Jun 2018),0.51% (Jun 2018),2.44 L,0.46 L,Other,81.66
Minor International PCL,Foreign equity,81.09,15.9,1.26%,0.44%,0.64% (Jun 2018),0.64% (Jun 2018),1.94 L,76.90 k,Other,81.66
CP All PCL foreign,Foreign equity,81.09,15.6,1.23%,0.00%,0.96% (Nov 2018),0% (May 2018),91.90 k,0.00,Other,81.66
ACE Hardware Indonesia,Foreign equity,81.09,15.5,1.23%,0.14%,0.93% (May 2018),0.93% (May 2018),19.25 L,0.00,Other,81.66
Kweichow Moutai Co. Limited,Foreign equity,81.09,15.1,1.20%,0.12%,0.5% (Jan 2019),0% (May 2018),1.50 k,0.00,Other,81.66
Oberoi Realty Ltd.,Residential/commercial/sez project,1.12,14.2,1.12%,0.10%,0.92% (Sep 2018),0.92% (Sep 2018),28.00 k,0.00,Mid Cap,6.56
Shinhan Financial Group Co. Ltd.,Foreign equity,81.09,13.9,1.10%,0.01%,1.1% (Apr 2019),1.1% (Apr 2019),5.27 k,0.00,Other,81.66
China Mengniu Dairy Co. Ltd.,Foreign equity,81.09,13.7,1.08%,0.04%,0.79% (Nov 2018),0% (May 2018),53.00 k,0.00,Other,81.66
Indocement Tunggal Prakarsa,Foreign equity,81.09,13.5,1.07%,0.29%,0.51% (Jun 2018),0.51% (Jun 2018),1.26 L,0.30 L,Other,81.66
#Samsung SDI Co. Ltd.,Foreign equity,81.09,12.8,1.01%,1.01%,1.01% (Apr 2019),0% (May 2018),903.00,903.00,Other,81.66
Sunny Optical Technology Group Company Ltd.,Foreign equity,81.09,12.4,0.98%,0.01%,0.98% (Apr 2019),0.98% (Apr 2019),14.60 k,0.00,Other,81.66
Kotak Mahindra Bank Ltd.,Banks,5.5,12.3,0.98%,0.00%,0.89% (Feb 2019),0% (May 2018),8.89 k,0.00,Large Cap,7.6
Hindalco Industries Ltd.,Aluminium,0.93,11.7,0.93%,0.03%,0.92% (Feb 2019),0.92% (Feb 2019),56.96 k,0.00,Large Cap,7.6
Tata Motors Ltd.,Passenger/utility vehicles,0.92,11.6,0.92%,0.14%,0.78% (Mar 2019),0.78% (Mar 2019),54.28 k,0.00,Large Cap,7.6
