Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,86.86,513.7,11.76%,3.29%,9.1% (May 2018),9.1% (May 2018),11.23 L,2.60 L,Large Cap,58.87
Lupin Ltd.,Pharmaceuticals,86.86,432.4,9.90%,1.23%,2.2% (May 2018),2.2% (May 2018),4.96 L,0.20 L,Large Cap,58.87
Divis Laboratories Ltd.,Pharmaceuticals,86.86,385.2,8.82%,0.28%,4.14% (May 2018),4.14% (May 2018),2.21 L,0.00,Large Cap,58.87
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,86.86,325,7.44%,2.87%,2.11% (May 2018),2.11% (May 2018),1.11 L,38.50 k,Large Cap,58.87
Ipca Laboratories Ltd.,Pharmaceuticals,86.86,316.5,7.25%,0.17%,6.02% (Jun 2018),6.02% (Jun 2018),3.32 L,0.00,Mid Cap,25.44
Cadila Healthcare Ltd.,Pharmaceuticals,86.86,263.5,6.03%,0.36%,2.68% (Jun 2018),2.68% (Jun 2018),8.10 L,0.00,Large Cap,58.87
Cipla Ltd.,Pharmaceuticals,86.86,260.2,5.96%,0.42%,3.52% (Jan 2019),3.52% (Jan 2019),4.60 L,0.00,Large Cap,58.87
Sanofi India Ltd.,Pharmaceuticals,86.86,239.9,5.49%,0.19%,5.26% (May 2018),5.26% (May 2018),42.75 k,0.00,Mid Cap,25.44
Pfizer Ltd.,Pharmaceuticals,86.86,178.3,4.08%,0.21%,3.93% (Dec 2018),3.93% (Dec 2018),56.73 k,0.00,Mid Cap,25.44
FDC Ltd.,Pharmaceuticals,86.86,157.9,3.61%,0.16%,1.98% (Dec 2018),1.98% (Dec 2018),9.14 L,0.00,Small Cap,11.05
Aurobindo Pharma Ltd.,Pharmaceuticals,86.86,153.8,3.52%,0.17%,2.94% (Jul 2018),2.94% (Jul 2018),1.88 L,0.00,Large Cap,58.87
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,86.86,133.5,3.06%,1.57%,3.06% (Apr 2019),3.06% (Apr 2019),74.50 k,0.30 L,Large Cap,58.87
Max India Ltd.,Healthcare service providers,7.08,113.9,2.61%,0.09%,2.24% (Nov 2018),2.24% (Nov 2018),16.20 L,0.00,Small Cap,11.05
Ajanta Pharma Limited,Pharmaceuticals,86.86,106.5,2.44%,0.09%,2.44% (Apr 2019),2.44% (Apr 2019),1.08 L,0.00,Small Cap,11.05
Biocon Ltd.,Pharmaceuticals,86.86,103.9,2.38%,0.05%,2.38% (Apr 2019),0% (May 2018),1.75 L,0.00,Large Cap,58.87
Syngene International Ltd.,Pharmaceuticals,86.86,101.8,2.33%,0.09%,0.41% (Jun 2018),0% (May 2018),1.66 L,0.00,Mid Cap,25.44
DR. LAL PATHLABS Ltd.,Healthcare service providers,7.08,89,2.04%,0.02%,1.74% (Jul 2018),1.74% (Aug 2018),85.18 k,0.00,Mid Cap,25.44
Alkem Laboratories Ltd.,Hospital,2,87.4,2.00%,0.03%,2% (Apr 2019),2% (Apr 2019),50.89 k,0.00,Mid Cap,25.44
Thyrocare Technologies Ltd.,Healthcare service providers,7.08,80.8,1.85%,0.14%,1.85% (Apr 2019),1.85% (Apr 2019),1.64 L,0.00,Small Cap,11.05
NATCO Pharma Ltd.,Pharmaceuticals,86.86,51.3,1.17%,0.39%,0.78% (Mar 2019),0% (May 2018),94.07 k,34.07 k,Mid Cap,25.44
Eris Lifesciences Ltd.,Pharmaceuticals,86.86,47.4,1.08%,0.02%,1.08% (Apr 2019),0% (May 2018),74.93 k,0.00,Mid Cap,25.44
#Metropolis Healthcare Ltd.,Healthcare service providers,7.08,25.6,0.58%,0.58%,0.58% (Apr 2019),0% (May 2018),26.96 k,26.96 k,Other,0.58
Sun Pharma Advanced Research Company Ltd.,Pharmaceuticals,86.86,22.1,0.51%,0.06%,0.48% (Jan 2019),0.48% (Jan 2019),1.31 L,0.00,Small Cap,11.05
Shilpa Medicare Ltd.,Pharmaceuticals,86.86,1.3,0.03%,0.00%,0.03% (Mar 2019),0.03% (Apr 2019),3.31 k,0.00,Small Cap,11.05
