Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Housing Development Finance Corporation Ltd.,Housing finance,9.56,5223,9.56%,0.72%,8.6% (Aug 2018),8.6% (Aug 2018),26.18 L,1.30 L,Large Cap,64.23
Reliance Industries Ltd.,Refineries/marketing,7.25,3962.5,7.25%,0.63%,5.5% (Oct 2018),5.5% (Oct 2018),28.45 L,1.55 L,Large Cap,64.23
HDFC Bank Ltd.,Banks,16.92,3082.2,5.64%,0.32%,1.01% (Jun 2018),0% (May 2018),13.30 L,60.00 k,Large Cap,64.23
ITC Limited,Cigarettes,5.02,2743.8,5.02%,0.14%,3.05% (Jul 2018),0% (May 2018),91.05 L,0.00,Large Cap,64.23
Tech Mahindra Ltd.,Software telecom,4.91,2683.9,4.91%,0.42%,3.27% (May 2018),3.27% (May 2018),32.10 L,0.00,Large Cap,64.23
Larsen & Toubro Ltd.,"Engineering, designing, construction",5.66,2474.6,4.53%,0.31%,2.78% (Jun 2018),2.78% (Jun 2018),18.35 L,1.50 L,Large Cap,64.23
Power Grid Corporation of India Ltd.,Power transmission,3.58,1957.2,3.58%,0.17%,2.89% (Nov 2018),2.89% (Nov 2018),1.05 Cr,0.00,Large Cap,64.23
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,3.39,1852,3.39%,0.10%,3.39% (Oct 2018),3.39% (Oct 2018),28.70 L,0.00,Large Cap,64.23
ICICI Bank Ltd.,Banks,16.92,1793,3.28%,0.10%,1.04% (Dec 2018),0% (May 2018),44.00 L,0.00,Large Cap,64.23
Bajaj Auto Ltd.,Motor cycles/scooters,3,1641.3,3.00%,0.21%,2.8% (Mar 2019),2.8% (Mar 2019),5.50 L,17.75 k,Large Cap,64.23
Indusind Bank Ltd.,Banks,16.92,1526.2,2.79%,0.70%,2.09% (Mar 2019),0% (May 2018),9.50 L,3.00 L,Large Cap,64.23
Muthoot Finance Pvt. Ltd.,Nbfc,9.53,1351,2.47%,0.42%,1.65% (Aug 2018),1.65% (Aug 2018),22.63 L,3.37 L,Mid Cap,22.25
Associated Cement Companies Ltd.,Cement,3.42,1295.8,2.37%,0.02%,2.2% (Feb 2019),0% (May 2018),7.94 L,0.00,Mid Cap,22.25
GAIL (India) Ltd.,Gas transmission/marketing,2.24,1222.6,2.24%,0.08%,1.02% (Nov 2018),0% (May 2018),34.35 L,0.00,Large Cap,64.23
Sundaram Finance Limited,Nbfc,9.53,1212.6,2.22%,0.14%,1.59% (Nov 2018),0% (May 2018),8.40 L,0.00,Mid Cap,22.25
Sun TV Network Ltd.,Tv broadcasting & software production,3.21,1148.5,2.10%,0.00%,0.75% (Jun 2018),0.75% (Jun 2018),20.00 L,1.50 L,Mid Cap,22.25
Infosys Ltd.,Computers  software,3.39,1139.1,2.08%,0.05%,1.85% (Dec 2018),0% (May 2018),15.16 L,0.00,Large Cap,64.23
MRF Ltd.,Tyres & allied,3.62,1137.5,2.08%,0.17%,0.9% (Jun 2018),0.9% (Jun 2018),21.50 k,0.00,Mid Cap,22.25
Mahindra & Mahindra Financial Services Ltd.,Nbfc,9.53,1061.7,1.94%,0.07%,1.25% (Nov 2018),0% (May 2018),26.50 L,0.00,Mid Cap,22.25
City Union Bank Ltd.,Banks,16.92,1003.9,1.84%,0.01%,1.72% (Nov 2018),1.72% (Nov 2018),49.50 L,0.00,Mid Cap,22.25
DCB Bank Ltd.,Banks,16.92,998,1.83%,0.12%,0.99% (Jul 2018),0% (May 2018),47.00 L,90.00 k,Small Cap,10.19
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,1.77,964.6,1.77%,0.14%,0.58% (Sep 2018),0.58% (Sep 2018),40.00 L,2.00 L,Large Cap,64.23
Ceat Ltd.,Tyres & allied,3.62,843.2,1.54%,0.07%,0.68% (May 2018),0.68% (May 2018),8.00 L,0.00,Small Cap,10.19
Kotak Mahindra Bank Ltd.,Banks,16.92,838.9,1.54%,0.13%,1.38% (Oct 2018),0% (May 2018),6.05 L,20.00 k,Large Cap,64.23
Max Financial Services Ltd.,Nbfc,9.53,790.6,1.45%,0.08%,0.98% (Jun 2018),0.98% (Jun 2018),18.93 L,0.51 L,Mid Cap,22.25
Bajaj Finserv Ltd,Nbfc,9.53,789.7,1.45%,0.11%,0.88% (Oct 2018),0% (May 2018),1.05 L,0.00,Large Cap,64.23
