Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,20.13,185.4,9.78%,0.11%,3.48% (Aug 2018),3.48% (Aug 2018),80.00 k,0.00,Large Cap,54.59
ITC Limited,Cigarettes,7.08,134.1,7.08%,0.18%,2.01% (May 2018),2.01% (May 2018),4.45 L,0.00,Large Cap,54.59
Kotak Mahindra Bank Ltd.,Banks,20.13,98.4,5.19%,1.06%,3.56% (Aug 2018),3.56% (Aug 2018),71.00 k,11.50 k,Large Cap,54.59
Reliance Industries Ltd.,Refineries/marketing,5.18,98.2,5.18%,0.17%,3.26% (May 2018),3.26% (May 2018),70.50 k,0.00,Large Cap,54.59
Bata India Ltd.,Leather and leather products,3.68,69.8,3.68%,0.13%,2.02% (May 2018),2.02% (May 2018),48.00 k,4.00 k,Mid Cap,19.64
Hindustan Unilever Ltd.,Diversified,3.06,58,3.06%,0.12%,1.87% (May 2018),1.87% (May 2018),33.00 k,0.00,Large Cap,54.59
ICICI Bank Ltd.,Banks,20.13,55.4,2.92%,0.09%,1.73% (Dec 2018),0% (May 2018),1.36 L,0.00,Large Cap,54.59
Muthoot Finance Pvt. Ltd.,Nbfc,4.73,54.9,2.90%,0.05%,1.65% (May 2018),1.65% (May 2018),92.00 k,0.00,Mid Cap,19.64
Future Retail Ltd.,Retailing,4.57,54.6,2.88%,0.19%,2.88% (Apr 2019),2.88% (Apr 2019),1.30 L,0.00,Mid Cap,19.64
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,4.89,50.2,2.65%,0.04%,1.88% (May 2018),1.88% (May 2018),6.90 k,0.00,Large Cap,54.59
#Housing Development Finance Corporation Ltd.,Housing finance,2.53,47.9,2.53%,2.53%,2.53% (Apr 2019),0% (May 2018),24.00 k,24.00 k,Large Cap,54.59
United Spirits Ltd.,Brew/distilleries,4.31,47.7,2.52%,0.06%,2.45% (Mar 2019),0% (May 2018),85.00 k,0.00,Large Cap,54.59
Bajaj Auto Ltd.,Motor cycles/scooters,2.39,45.4,2.39%,0.09%,1.91% (Jul 2018),1.91% (Jul 2018),15.20 k,0.00,Large Cap,54.59
Oracle Financial Services Software Limited,It enabled services – software,2.32,44,2.32%,0.11%,2.21% (Mar 2019),0% (May 2018),12.50 k,0.00,Large Cap,54.59
DCB Bank Ltd.,Banks,20.13,42.5,2.24%,0.11%,0.76% (Jul 2018),0.76% (Jul 2018),2.00 L,0.00,Small Cap,9.79
Voltas Limited,"Engineering, designing, construction",2.16,41,2.16%,0.07%,1.7% (May 2018),1.7% (May 2018),68.00 k,0.00,Mid Cap,19.64
Container Corporation Of India Ltd.,Logistics solution provider,2.11,40.1,2.11%,0.11%,1.97% (Aug 2018),1.97% (Aug 2018),81.25 k,0.00,Large Cap,54.59
#Lupin Ltd.,Pharmaceuticals,2.07,39.2,2.07%,2.07%,2.07% (Apr 2019),0% (May 2018),45.00 k,45.00 k,Large Cap,54.59
Dabur India Ltd.,Personal care,2.06,39,2.06%,0.03%,0.94% (Jun 2018),0% (May 2018),98.00 k,0.00,Large Cap,54.59
Finolex Cables Ltd.,Cables  electricals,1.99,37.6,1.99%,0.13%,1.89% (Feb 2019),1.89% (Feb 2019),85.50 k,0.00,Small Cap,9.79
Max Financial Services Ltd.,Nbfc,4.73,34.7,1.83%,0.73%,1.83% (Apr 2019),1.83% (Apr 2019),83.00 k,0.30 L,Mid Cap,19.64
Radico Khaitan Ltd.,Brew/distilleries,4.31,34,1.79%,0.18%,1.75% (Sep 2018),1.75% (Sep 2018),96.00 k,0.00,Small Cap,9.79
Future Consumer Ltd.,Retailing,4.57,32.1,1.69%,0.06%,1.53% (Sep 2018),1.53% (Sep 2018),7.50 L,0.00,Mid Cap,19.64
Greenply Industries Ltd.,Plywood boards,1.63,30.9,1.63%,0.13%,1.29% (Nov 2018),1.29% (Nov 2018),1.84 L,0.00,Small Cap,9.79
Sun TV Network Ltd.,Tv broadcasting & software production,1.61,30.4,1.61%,0.13%,0.83% (Jan 2019),0.83% (Jan 2019),53.00 k,0.00,Mid Cap,19.64
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.55,29.4,1.55%,0.05%,0.91% (Nov 2018),0.91% (Nov 2018),45.50 k,0.00,Large Cap,54.59
Jubilant Foodworks Ltd.,Consumer food,4.89,28.2,1.49%,0.11%,1.23% (May 2018),1.23% (May 2018),21.20 k,0.00,Mid Cap,19.64
MRF Ltd.,Tyres & allied,2.79,26.5,1.40%,0.12%,0.88% (May 2018),0.88% (May 2018),500.00,0.00,Mid Cap,19.64
Ceat Ltd.,Tyres & allied,2.79,26.4,1.39%,0.07%,1.39% (Apr 2019),1.39% (Apr 2019),25.00 k,0.00,Small Cap,9.79
Power Grid Corporation of India Ltd.,Power transmission,1.18,22.4,1.18%,0.06%,1.02% (Jul 2018),1.02% (Jul 2018),1.20 L,0.00,Large Cap,54.59
Heritage Foods (india) Ltd.,Consumer food,4.89,14.3,0.75%,0.02%,0.47% (Jun 2018),0.47% (Jun 2018),27.50 k,0.00,Small Cap,9.79
Engineers India Ltd.,"Engineering, designing, construction",2.16,22.4,0.00%,1.17%,,,,,Small Cap,9.79
ICICI Lombard General Insurance Co Ltd.,Insurance,,25.2,0.00%,1.31%,,,,,Large Cap,54.59
