Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,22.53,85.8,9.10%,0.17%,6.63% (Jun 2018),6.63% (Jun 2018),2.11 L,0.00,Large Cap,56.02
Axis Bank Ltd.,Banks,22.53,83.3,8.83%,0.11%,6.43% (Jun 2018),6.43% (Jun 2018),1.09 L,0.00,Large Cap,56.02
Infosys Ltd.,Computers  software,7.03,66.3,7.03%,0.08%,5.81% (May 2018),5.81% (May 2018),88.18 k,0.00,Large Cap,56.02
Mahindra & Mahindra Financial Services Ltd.,Nbfc,6.07,57.3,6.07%,0.31%,6.07% (Apr 2019),6.07% (Apr 2019),1.43 L,0.00,Mid Cap,26.51
Cipla Ltd.,Pharmaceuticals,13.17,51.5,5.46%,0.36%,5.1% (Mar 2019),5.1% (Mar 2019),91.09 k,0.00,Large Cap,56.02
Container Corporation Of India Ltd.,Logistics solution provider,5.28,49.8,5.28%,0.34%,5.28% (Apr 2019),5.28% (Apr 2019),1.01 L,0.00,Large Cap,56.02
Ipca Laboratories Ltd.,Pharmaceuticals,13.17,45.2,4.79%,0.15%,3.4% (May 2018),3.4% (May 2018),47.45 k,0.00,Mid Cap,26.51
Aditya Birla Fashion and Retail Ltd.,Retailing,4.61,43.5,4.61%,0.10%,2.97% (Jul 2018),2.97% (Jul 2018),2.02 L,0.00,Mid Cap,26.51
Indusind Bank Ltd.,Banks,22.53,43.4,4.60%,0.49%,3.15% (Jan 2019),0% (May 2018),27.01 k,0.00,Large Cap,56.02
Motherson Sumi Systems Ltd.,Auto ancillaries,4.24,40,4.24%,0.09%,4.24% (Apr 2019),4.24% (Apr 2019),2.73 L,0.00,Large Cap,56.02
Multi Commodity Exchange Of India Ltd.,Other financial services,6.87,37.5,3.98%,0.25%,3.25% (Feb 2019),3.25% (Feb 2019),43.65 k,0.00,Small Cap,9.58
Gujarat Gas Ltd.,Gas transmission/marketing,3.92,37,3.92%,0.28%,3.15% (Feb 2019),3.15% (Feb 2019),2.32 L,0.00,Other,6.81
Tata Motors Ltd.,Passenger/utility vehicles,3.65,34.4,3.65%,0.69%,2.96% (Mar 2019),2.96% (Mar 2019),1.60 L,0.00,Large Cap,56.02
Vedanta Ltd.,Copper & copper products,3.33,31.4,3.33%,0.34%,3.33% (Apr 2019),3.33% (Apr 2019),1.88 L,0.00,Large Cap,56.02
Crompton Greaves Consumer Electricals Ltd.,Home appliances,3.26,30.8,3.26%,0.14%,3.1% (Feb 2019),3.1% (Feb 2019),1.29 L,0.00,Mid Cap,26.51
Sheela Foam Ltd.,Houseware,3.06,28.9,3.06%,0.21%,2.26% (Jan 2019),2.26% (Jan 2019),21.39 k,0.00,Small Cap,9.58
Pi Industries Ltd.,Pesticides and agrochemicals,2.92,27.5,2.92%,0.04%,2.07% (Aug 2018),2.07% (Aug 2018),26.37 k,0.00,Mid Cap,26.51
Reliance Nippon Life Asset Management Ltd.,Other financial services,6.87,27.3,2.89%,0.17%,1.7% (Jan 2019),1.7% (Jan 2019),1.38 L,0.00,Other,6.81
NIIT Ltd,It education,2.54,24,2.54%,0.00%,2.18% (Oct 2018),2.18% (Oct 2018),2.27 L,0.38 L,Small Cap,9.58
Sun TV Network Ltd.,Tv broadcasting & software production,2.2,20.7,2.20%,0.20%,2.2% (Apr 2019),2.2% (Apr 2019),36.05 k,0.00,Mid Cap,26.51
Emami Ltd.,Personal care,1.6,15.1,1.60%,0.05%,1.6% (Apr 2019),1.6% (Apr 2019),38.89 k,0.00,Mid Cap,26.51
Eicher Motors Ltd.,Commercial vehicles,1.58,14.9,1.58%,0.02%,1.36% (Aug 2018),0% (May 2018),733.00,0.00,Large Cap,56.02
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,13.17,13.8,1.47%,0.06%,1.47% (Apr 2019),0% (May 2018),30.22 k,0.00,Large Cap,56.02
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,13.17,13.7,1.45%,0.12%,1.41% (Aug 2018),0% (May 2018),7.62 k,0.00,Large Cap,56.02
Apollo Hospitals Enterprises Ltd.,Hospital,1.06,10,1.06%,0.01%,1.06% (Apr 2019),1.06% (Apr 2019),8.19 k,0.00,Mid Cap,26.51
