Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,28.78,1294.9,9.41%,0.05%,8.37% (Aug 2018),8.37% (Aug 2018),5.59 L,0.00,Large Cap,58.2
ICICI Bank Ltd.,Banks,28.78,1188.3,8.63%,0.11%,5.86% (May 2018),5.86% (May 2018),29.16 L,0.00,Large Cap,58.2
Tata Consultancy Services Ltd.,Computers  software,6.95,678.1,4.93%,0.25%,4.44% (Jun 2018),0% (May 2018),3.00 L,0.20 L,Large Cap,58.2
Varun Beverages Ltd.,Consumer food,6.29,669.4,4.86%,0.03%,2% (Jun 2018),0% (May 2018),7.64 L,0.00,Mid Cap,33.26
Pi Industries Ltd.,Pesticides and agrochemicals,4.56,627.3,4.56%,0.03%,1.98% (Sep 2018),0% (May 2018),6.01 L,0.00,Mid Cap,33.26
ITC Limited,Cigarettes,4.06,558.4,4.06%,0.04%,3.26% (May 2018),3.26% (May 2018),18.53 L,0.00,Large Cap,58.2
Gujarat State Petronet Ltd.,Gas transmission/marketing,4.02,553.7,4.02%,0.17%,1.48% (May 2018),1.48% (May 2018),27.70 L,0.00,Mid Cap,33.26
State Bank Of India,Banks,28.78,534.7,3.88%,0.16%,1.61% (May 2018),1.61% (May 2018),17.25 L,0.00,Large Cap,58.2
Kotak Mahindra Bank Ltd.,Banks,28.78,499.2,3.63%,0.12%,3.22% (Oct 2018),3.22% (Oct 2018),3.60 L,0.00,Large Cap,58.2
Federal Bank Ltd.,Banks,28.78,445.2,3.23%,0.15%,2.7% (Sep 2018),0% (May 2018),48.00 L,0.00,Mid Cap,33.26
Bata India Ltd.,Leather and leather products,2.85,392.6,2.85%,0.08%,1.77% (Jun 2018),1.77% (Jun 2018),2.70 L,0.00,Mid Cap,33.26
AIA Engineering Ltd.,Castings/forgings,2.82,388.4,2.82%,0.01%,2.44% (Jun 2018),0% (May 2018),2.14 L,0.00,Mid Cap,33.26
Housing Development Finance Corporation Ltd.,Housing finance,2.76,379.7,2.76%,0.02%,1.54% (Sep 2018),1.54% (Sep 2018),1.90 L,0.00,Large Cap,58.2
Bajaj Auto Ltd.,Motor cycles/scooters,2.68,368.5,2.68%,0.05%,0.98% (Jun 2018),0% (May 2018),1.24 L,0.00,Large Cap,58.2
Muthoot Finance Pvt. Ltd.,Nbfc,4.31,355.2,2.58%,0.09%,1.46% (May 2018),1.46% (May 2018),5.95 L,0.00,Mid Cap,33.26
Thomas Cook (india) Ltd.,Diversified services,2.55,350.7,2.55%,0.13%,2.37% (Feb 2019),0% (May 2018),14.26 L,0.00,Small Cap,3.43
United Spirits Ltd.,Brew/distilleries,2.51,345.1,2.51%,0.02%,2.49% (Mar 2019),0% (May 2018),6.15 L,0.00,Large Cap,58.2
Thermax Ltd.,Industrial equipment,2.49,343,2.49%,0.00%,1.88% (Jul 2018),0% (May 2018),3.52 L,0.00,Mid Cap,33.26
Reliance Industries Ltd.,Refineries/marketing,2.43,334.3,2.43%,0.04%,2.01% (Jun 2018),2.01% (Jun 2018),2.40 L,0.00,Large Cap,58.2
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.34,318,2.31%,0.07%,2.27% (Jul 2018),2.27% (Jul 2018),2.36 L,0.00,Large Cap,58.2
Maruti Suzuki India Ltd.,Passenger/utility vehicles,2.75,313.3,2.28%,0.26%,2.28% (Apr 2019),2.28% (Apr 2019),47.00 k,5.00 k,Large Cap,58.2
Ultratech Cement Ltd.,Cement,2.11,290.9,2.11%,0.13%,1.86% (Jan 2019),1.86% (Jan 2019),63.00 k,5.00 k,Large Cap,58.2
Infosys Ltd.,Computers  software,6.95,278,2.02%,0.01%,1.84% (Dec 2018),1.84% (Dec 2018),3.70 L,0.00,Large Cap,58.2
Future Retail Ltd.,Retailing,1.89,260.5,1.89%,0.16%,1.89% (Apr 2019),1.89% (Apr 2019),6.20 L,0.00,Mid Cap,33.26
Divis Laboratories Ltd.,Pharmaceuticals,2.98,244.6,1.78%,0.04%,1.11% (Jun 2018),1.11% (Jun 2018),1.40 L,0.00,Large Cap,58.2
Sundaram Finance Limited,Nbfc,4.31,238.3,1.73%,0.15%,1.73% (Apr 2019),0% (May 2018),1.65 L,0.00,Mid Cap,33.26
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,6.29,196.5,1.43%,0.00%,1.1% (Jun 2018),0% (May 2018),27.00 k,0.00,Large Cap,58.2
