Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Amazon.com,Foreign equity,94.76,42,6.73%,0.15%,6.23% (Feb 2019),6.23% (Feb 2019),312.00,0.00,Other,96.83
Microsoft Corp,Foreign equity,94.76,38.2,6.12%,0.28%,5.43% (Jan 2019),5.43% (Jan 2019),4.19 k,0.00,Other,96.83
Alphabet Inc,Foreign equity,94.76,35.5,5.69%,0.22%,5.12% (May 2018),5.12% (May 2018),424.00,0.00,Other,96.83
Apple,Foreign equity,94.76,31.8,5.10%,0.00%,4.7% (Jan 2019),4.7% (Jan 2019),2.27 k,0.00,Other,96.83
Mc DonaldS Corporation (US),Foreign equity,94.76,27.2,4.36%,0.07%,3.67% (Jul 2018),3.67% (Jul 2018),1.97 k,0.00,Other,96.83
Lvmh Moet Hennessy Louis Vuitton Sa,Foreign equity,94.76,26.4,4.24%,0.01%,3.47% (Nov 2018),3.47% (Nov 2018),970.00,0.00,Other,96.83
Procter & Gamble Co.,Foreign equity,94.76,25.9,4.15%,0.14%,2.6% (May 2018),2.6% (May 2018),3.48 k,0.00,Other,96.83
Facebook,Foreign equity,94.76,24.5,3.92%,0.35%,3.17% (Nov 2018),3.17% (Nov 2018),1.81 k,0.00,Other,96.83
The Walt Disney Co.,Foreign equity,94.76,24.3,3.90%,0.56%,2.63% (May 2018),2.63% (May 2018),2.54 k,0.00,Other,96.83
CocaCola Co,Foreign equity,94.76,23.6,3.77%,0.04%,3.54% (Aug 2018),3.54% (Aug 2018),6.87 k,0.00,Other,96.83
#Anheuser Busch Inbev SA,Foreign equity,94.76,23.1,3.70%,0.00%,0% (May 2019),0% (May 2019),3.72 k,0.00,Other,96.83
International Business Machines Corp,Foreign equity,94.76,22.9,3.67%,0.23%,2.9% (Oct 2018),2.9% (Oct 2018),2.34 k,0.00,Other,96.83
Cisco Systems,Foreign equity,94.76,22,3.52%,0.07%,2.81% (Jul 2018),2.81% (Jul 2018),5.62 k,0.00,Other,96.83
JPMorgan Chase & Co,Foreign equity,94.76,20.9,3.34%,0.26%,3.08% (Mar 2019),3.08% (Mar 2019),2.57 k,0.00,Other,96.83
Intel Corporation,Foreign equity,94.76,20.4,3.27%,0.37%,3.14% (Sep 2018),3.14% (Sep 2018),5.72 k,0.00,Other,96.83
Oracle Corp,Foreign equity,94.76,19.1,3.06%,0.08%,2.17% (Jun 2018),2.17% (Jun 2018),4.95 k,0.00,Other,96.83
#Toyota Motor Corp,Foreign equity,94.76,18.7,2.99%,0.00%,0% (May 2019),0% (May 2019),2.16 k,0.00,Other,96.83
Bayerische Motoren Werke AG,Foreign equity,94.76,16,2.57%,0.10%,2.47% (Mar 2019),2.47% (Mar 2019),2.71 k,0.00,Other,96.83
Nike Inc,Foreign equity,94.76,15.9,2.55%,0.04%,2.24% (May 2018),2.24% (May 2018),2.60 k,0.00,Other,96.83
United Parcel Services INC,Foreign equity,94.76,14.3,2.29%,0.26%,2.29% (Apr 2019),2.29% (Apr 2019),1.93 k,0.00,Other,96.83
Pepsico Inc,Foreign equity,94.76,13.8,2.22%,0.03%,1.42% (May 2018),1.42% (May 2018),1.55 k,0.00,Other,96.83
Daimler AgRegistered Shares,Foreign equity,94.76,13.7,2.19%,0.11%,1.86% (Jun 2018),1.86% (Jun 2018),3.00 k,0.00,Other,96.83
American Express Co.,Foreign equity,94.76,13.5,2.16%,0.03%,1.94% (Jul 2018),1.94% (Jul 2018),1.65 k,0.00,Other,96.83
Sap Se,It enabled services,2.07,12.9,2.07%,0.09%,1.86% (Nov 2018),1.86% (Nov 2018),1.45 k,0.00,Other,96.83
General Electric Co,Foreign equity,94.76,12.5,2.01%,0.08%,1.65% (Nov 2018),1.65% (Nov 2018),17.66 k,0.00,Other,96.83
Accenture PLC,Foreign equity,94.76,12.5,2.00%,0.04%,1.85% (Dec 2018),0% (May 2018),977.00,0.00,Other,96.83
#Honda Motor Co Ltd.,Foreign equity,94.76,11.1,1.77%,0.00%,0% (May 2019),0% (May 2019),5.68 k,0.00,Other,96.83
#Lvmh Moet Hennessy ADR,Foreign equity,94.76,6.9,1.11%,0.00%,0% (May 2019),0% (May 2019),6.55 k,0.00,Other,96.83
Hermes International,Foreign equity,94.76,6.1,0.98%,0.00%,0.85% (Nov 2018),0.85% (Nov 2018),125.00,0.00,Other,96.83
#Hennes & Mauritz Ab,Foreign equity,94.76,6,0.96%,0.00%,0% (May 2019),0% (May 2019),24.75 k,0.00,Other,96.83
#Lvmh Moet Hennessy Louis Vuitton,Foreign equity,94.76,2.1,0.34%,0.00%,0% (May 2019),0% (May 2019),387.00,0.00,Other,96.83
WABTEC CORP,Foreign equity,94.76,0.5,0.08%,0.00%,0.08% (Apr 2019),0% (May 2018),94.00,0.00,Other,96.83
