Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Reliance Industries Ltd.,Refineries/marketing,5.79,38.5,5.79%,0.36%,4.68% (Aug 2018),4.68% (Aug 2018),27.69 k,2.37 k,Large Cap,67.39
ICICI Bank Ltd.,Banks,23.2,38.3,5.76%,0.13%,2.75% (May 2018),2.75% (May 2018),93.96 k,0.00,Large Cap,67.39
HDFC Bank Ltd.,Banks,23.2,35.6,5.34%,0.21%,5.06% (Aug 2018),5.06% (Aug 2018),15.36 k,0.59 k,Large Cap,67.39
Housing Development Finance Corporation Ltd.,Housing finance,5.2,34.6,5.20%,1.40%,3.8% (Mar 2019),3.8% (Mar 2019),17.36 k,4.50 k,Large Cap,67.39
Axis Bank Ltd.,Banks,23.2,31,4.65%,0.06%,0.91% (Jun 2018),0.91% (Jun 2018),40.37 k,0.00,Large Cap,67.39
Tata Consultancy Services Ltd.,Computers  software,11.07,28.9,4.35%,0.86%,2.75% (Oct 2018),2.75% (Oct 2018),12.83 k,1.21 k,Large Cap,67.39
Infosys Ltd.,Computers  software,11.07,24.2,3.64%,0.33%,3.32% (Oct 2018),3.32% (Oct 2018),32.32 k,3.31 k,Large Cap,67.39
ITC Limited,Cigarettes,3.38,22.5,3.38%,0.06%,2.89% (Oct 2018),2.89% (Oct 2018),74.60 k,0.00,Large Cap,67.39
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.98,22.1,3.31%,0.02%,2.82% (Oct 2018),2.82% (Oct 2018),16.36 k,350.00,Large Cap,67.39
State Bank Of India,Banks,23.2,18.7,2.81%,0.09%,1.29% (Oct 2018),1.29% (Oct 2018),60.22 k,0.00,Large Cap,67.39
J S W Steel Ltd.,Steel,5.3,15.2,2.29%,0.51%,0.69% (Nov 2018),0% (May 2018),49.50 k,9.00 k,Large Cap,67.39
Jindal Steel & Power Ltd.,Steel,5.3,14.1,2.12%,0.24%,0.7% (Oct 2018),0% (May 2018),79.51 k,9.63 k,Mid Cap,14.7
Lakshmi Machine Works Ltd.,Textile machinery,1.87,12.4,1.87%,0.01%,1% (Sep 2018),0% (May 2018),2.15 k,100.00,Small Cap,14.92
Kotak Mahindra Bank Ltd.,Banks,23.2,11.4,1.71%,0.06%,1.34% (Sep 2018),1.34% (Sep 2018),8.21 k,0.00,Large Cap,67.39
Ambuja Cements Ltd.,Cement,5.37,10.9,1.64%,0.25%,0.99% (Oct 2018),0% (May 2018),49.43 k,10.00 k,Large Cap,67.39
Associated Cement Companies Ltd.,Cement,5.37,10.6,1.59%,0.09%,0.67% (Aug 2018),0% (May 2018),6.50 k,0.25 k,Mid Cap,14.7
#Hero Motocorp Ltd.,Motor cycles/scooters,2.03,10.6,1.59%,1.59%,0.79% (Jan 2019),0% (May 2018),4.20 k,4.20 k,Large Cap,67.39
Hindalco Industries Ltd.,Aluminium,1.52,10.1,1.52%,0.01%,0.77% (Feb 2019),0% (May 2018),49.00 k,0.00,Large Cap,67.39
DCB Bank Ltd.,Banks,23.2,8.8,1.32%,0.05%,0.48% (Sep 2018),0.48% (Sep 2018),41.34 k,0.00,Small Cap,14.92
Sobha Ltd.,Residential/commercial/sez project,2.26,8.6,1.29%,0.00%,1.29% (Mar 2019),0% (May 2018),17.80 k,1.10 k,Small Cap,14.92
#HDFC Standard Life Insurance Company Ltd.,Insurance,1.28,8.5,1.28%,1.28%,1.28% (Apr 2019),0% (May 2018),21.00 k,21.00 k,Large Cap,67.39
Havells India Ltd.,Consumer elctronics,1.26,8.4,1.26%,0.01%,0.98% (Oct 2018),0% (May 2018),10.81 k,0.00,Large Cap,67.39
Asian Paints (india) Ltd.,Paints,1.25,8.4,1.25%,0.03%,0.94% (Oct 2018),0.94% (Oct 2018),5.71 k,0.00,Large Cap,67.39
Century Textile & Industries Ltd.,Cement,5.37,8.2,1.24%,0.02%,0.65% (Feb 2019),0% (May 2018),9.00 k,0.00,Small Cap,14.92
Hindustan Unilever Ltd.,Diversified,1.24,8.3,1.24%,0.03%,1.21% (Mar 2019),1.21% (Mar 2019),4.72 k,0.00,Large Cap,67.39
Bajaj Electricals Ltd.,Home appliances,2.87,7.8,1.17%,0.19%,0.3% (Sep 2018),0% (May 2018),13.66 k,2.00 k,Small Cap,14.92
3M India Ltd.,Diversified commercial services,1.12,7.4,1.12%,0.05%,0.43% (Jul 2018),0% (May 2018),324.00,0.00,Mid Cap,14.7
Coromandel International Ltd.,Fertilisersphosphatic,1.11,7.4,1.11%,0.99%,0.23% (Aug 2018),0% (May 2018),17.00 k,0.11 L,Mid Cap,14.7
Wipro Ltd.,Computers  software,11.07,7.3,1.10%,0.01%,1.09% (Mar 2019),0% (May 2018),24.59 k,3.94 k,Large Cap,67.39
#Aditya Birla Capital Ltd.,Nbfc,2.54,6.9,1.04%,1.04%,1.04% (Apr 2019),0% (May 2018),71.00 k,71.00 k,Mid Cap,14.7
Bank Of Baroda,Banks,23.2,6.7,1.01%,0.10%,0.75% (Oct 2018),0% (May 2018),57.58 k,0.00,Large Cap,67.39
Trent Limited,Retailing,1,6.7,1.00%,0.02%,0.98% (Mar 2019),0.98% (Mar 2019),18.69 k,500.00,Mid Cap,14.7
V.I.P. Industries Ltd,Plastic products  consumer,1,6.7,1.00%,0.03%,0.61% (Feb 2019),0% (May 2018),14.15 k,0.00,Small Cap,14.92
#Cesc Ltd.,Power,0.99,6.6,0.99%,0.99%,0.99% (Apr 2019),0% (May 2018),9.43 k,9.43 k,Mid Cap,14.7
#Prestige Estates Projects Ltd.,Residential/commercial/sez project,2.26,6.5,0.97%,0.97%,0.94% (May 2018),0% (May 2018),25.00 k,25.00 k,Small Cap,14.92
Sundram Fasteners Ltd.,Fastener,0.94,6.2,0.94%,0.02%,0.87% (May 2018),0.87% (May 2018),11.33 k,0.00,Mid Cap,14.7
Taj GVK Hotels & Resorts Ltd.,Hotels/resorts,0.93,6.2,0.93%,0.07%,0.93% (Apr 2019),0% (May 2018),28.00 k,0.00,Small Cap,14.92
NIIT Techonologies Ltd.,Computers  software,11.07,6.1,0.92%,0.51%,0.62% (Sep 2018),0% (May 2018),4.74 k,2.44 k,Small Cap,14.92
Bajaj Finserv Ltd,Nbfc,2.54,6.1,0.92%,0.03%,0.92% (Apr 2019),0.92% (Apr 2019),811.00,88.00,Large Cap,67.39
Relaxo Footwears Ltd.,Leather and leather products,0.91,6,0.91%,0.08%,0.78% (Sep 2018),0.78% (Sep 2018),6.86 k,1.68 k,Mid Cap,14.7
Godrej Industries Ltd,Consumer food,0.9,6,0.90%,0.14%,0.75% (May 2018),0.75% (May 2018),11.65 k,1.25 k,Mid Cap,14.7
Whirlpool Of India Ltd.,Home appliances,2.87,5.9,0.89%,0.09%,0.45% (Feb 2019),0% (May 2018),4.25 k,750.00,Mid Cap,14.7
Tata Steel Ltd.,Steel,5.3,5.9,0.89%,0.24%,0.61% (Jan 2019),0.61% (Jan 2019),10.64 k,2.39 k,Large Cap,67.39
Maharashtra Seamless Ltd.,Steel products,0.85,5.7,0.85%,0.05%,0.85% (Apr 2019),0% (May 2018),12.00 k,0.00,Small Cap,14.92
Nrb Bearings Ltd.,Bearings,0.85,5.7,0.85%,0.53%,0.65% (Jan 2019),0% (May 2018),30.51 k,0.18 L,Small Cap,14.92
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,1.34,5.6,0.84%,0.20%,0.59% (Dec 2018),0% (May 2018),1.90 k,350.00,Large Cap,67.39
IFB Industries Ltd,Home appliances,2.87,5.4,0.81%,0.00%,0.81% (Apr 2019),0% (May 2018),6.00 k,500.00,Small Cap,14.92
#Tata Motors Ltd.,Passenger/utility vehicles,1.24,5.4,0.80%,0.80%,0.8% (Apr 2019),0% (May 2018),25.00 k,25.00 k,Large Cap,67.39
#Hindustan Zinc Ltd.,Zinc,0.75,5,0.75%,0.75%,0.52% (Nov 2018),0% (May 2018),18.00 k,18.00 k,Large Cap,67.39
PVR Ltd.,"Flim production, distribution & exhibition",0.75,5,0.75%,0.05%,0.43% (Jan 2019),0% (May 2018),2.82 k,0.00,Small Cap,14.92
Praj Industries Ltd.,"Engineering, designing, construction",3.98,4.5,0.67%,0.26%,0.44% (Oct 2018),0% (May 2018),32.59 k,7.50 k,Small Cap,14.92
Ultratech Cement Ltd.,Cement,5.37,4.2,0.62%,0.08%,0.19% (Jun 2018),0% (May 2018),900.00,0.00,Large Cap,67.39
IDFC First Bank Ltd.,Banks,23.2,4,0.60%,0.06%,0.6% (Apr 2019),0% (May 2018),80.00 k,0.00,Mid Cap,14.7
Bajaj Finance Ltd.,Nbfc,2.54,3.9,0.58%,0.01%,0.39% (Feb 2019),0% (May 2018),1.25 k,0.00,Large Cap,67.39
Lupin Ltd.,Pharmaceuticals,1.34,3.3,0.50%,0.05%,0.5% (Apr 2019),0% (May 2018),3.83 k,1.14 k,Large Cap,67.39
Hexaware Technologies Ltd.,Computers  software,11.07,3,0.45%,0.08%,0.36% (Aug 2018),0% (May 2018),8.50 k,1.74 k,Mid Cap,14.7
Maruti Suzuki India Ltd.,Passenger/utility vehicles,1.24,2.9,0.44%,0.09%,0.44% (Apr 2019),0.44% (Apr 2019),435.00,90.00,Large Cap,67.39
#TVS Motor Company Ltd.,Motor cycles/scooters,2.03,3,0.44%,0.44%,0.44% (Apr 2019),0% (May 2018),6.00 k,6.00 k,Mid Cap,14.7
L&T Finance Holdings Ltd.,Investment companies,0.42,2.8,0.42%,0.29%,0.42% (Apr 2019),0% (May 2018),21.12 k,0.10 L,Mid Cap,14.7
#Larsen & Toubro Infotech Ltd.,Computers  software,11.07,2.6,0.39%,0.39%,0.39% (Apr 2019),0% (May 2018),1.50 k,1.50 k,Large Cap,67.39
Colgate  Palmolive (India) Limited,Personal care,0.32,2.2,0.32%,0.17%,0.32% (Apr 2019),0% (May 2018),1.79 k,0.81 k,Large Cap,67.39
J K Lakshmi Cement Ltd.,Cement,5.37,1.9,0.28%,0.02%,0.26% (Mar 2019),0% (May 2018),5.00 k,0.00,Small Cap,14.92
HCL Technologies Limited,Computers  software,11.07,1.5,0.22%,0.23%,0.22% (Apr 2019),0% (May 2018),1.23 k,1.54 k,Large Cap,67.39
#Bharat Heavy Electricals Ltd.,Power equipment,0.18,1.2,0.18%,0.18%,0.18% (Apr 2019),0% (May 2018),17.00 k,17.00 k,Mid Cap,14.7
Mahindra & Mahindra Financial Services Ltd.,Nbfc,2.54,6.3,0.00%,0.95%,,,,,Mid Cap,14.7
Yes Bank,Banks,23.2,3,0.00%,0.45%,,,,,Large Cap,67.39
Jain Irrigation Systems Ltd.,Plastic products,,5.3,0.00%,0.80%,,,,,Small Cap,14.92
UPL Ltd.,Pesticides and agrochemicals,,5.3,0.00%,0.79%,,,,,Large Cap,67.39
Exide Industries Ltd.,Batteries – automobile,,1.8,0.00%,0.28%,,,,,Mid Cap,14.7
KPIT Engineering Ltd.,Auto ancillaries,,3,0.00%,0.46%,,,,,Other,0
TV18 Broadcast Ltd.,Tv broadcasting & software production,,3.7,0.00%,0.56%,,,,,Small Cap,14.92
Firstsource Solutions Ltd.,It enabled services – software,,2.2,0.00%,0.33%,,,,,Small Cap,14.92
Abbott India Ltd.,Pharmaceuticals,1.34,4.4,0.00%,0.66%,,,,,Mid Cap,14.7
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,1.34,4,0.00%,0.59%,,,,,Large Cap,67.39
