Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ITC Limited,Cigarettes,6.58,1341,5.65%,0.28%,3.75% (May 2018),3.75% (May 2018),44.50 L,0.00,Large Cap,44.87
Hindustan Unilever Ltd.,Diversified,4.52,1054.6,4.44%,0.28%,4.16% (Mar 2019),4.16% (Mar 2019),6.00 L,0.00,Large Cap,44.87
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,5.56,935.7,3.94%,0.16%,3.94% (Apr 2019),3.94% (Apr 2019),14.50 L,0.50 L,Large Cap,44.87
UPL Ltd.,Pesticides and agrochemicals,6.13,872.2,3.67%,0.17%,2.73% (Jul 2018),2.73% (Jul 2018),9.00 L,0.00,Large Cap,44.87
State Bank Of India,Banks,7.66,725.1,3.05%,0.01%,2.16% (Jun 2018),2.16% (Jun 2018),23.39 L,0.00,Large Cap,44.87
City Union Bank Ltd.,Banks,7.66,628.7,2.65%,0.07%,1.78% (Jul 2018),1.78% (Jul 2018),31.00 L,0.00,Mid Cap,28.54
Asian Paints (india) Ltd.,Paints,2.62,621.8,2.62%,0.04%,2.09% (May 2018),2.09% (May 2018),4.25 L,0.00,Large Cap,44.87
Bata India Ltd.,Leather and leather products,2.51,596.1,2.51%,0.17%,1.28% (May 2018),1.28% (May 2018),4.10 L,0.00,Mid Cap,28.54
TTK Prestige Ltd.,Houseware,2.31,549.3,2.31%,0.10%,1.28% (May 2018),1.28% (May 2018),67.00 k,0.96 k,Mid Cap,28.54
The Ramco Cements Ltd.,Cement,6.82,539.8,2.27%,0.19%,1.73% (Nov 2018),1.73% (Nov 2018),6.97 L,0.00,Mid Cap,28.54
Crompton Greaves Consumer Electricals Ltd.,Home appliances,3.12,529.7,2.23%,0.72%,1.02% (Jun 2018),0% (May 2018),22.29 L,5.89 L,Mid Cap,28.54
NCC Ltd.,"Engineering, designing, construction",2.99,505.9,2.13%,0.21%,1.56% (Sep 2018),1.56% (Sep 2018),51.00 L,0.00,Small Cap,24.05
Tata Global Beverages Ltd.,Tea &  coffee,2.69,502.1,2.11%,0.13%,1.48% (Aug 2018),1.48% (Aug 2018),24.00 L,0.00,Mid Cap,28.54
Varun Beverages Ltd.,Consumer food,8.46,499.1,2.10%,0.10%,1.17% (May 2018),1.17% (May 2018),5.70 L,878.00,Mid Cap,28.54
Colgate  Palmolive (India) Limited,Personal care,7.37,489.3,2.06%,0.09%,1.7% (Jul 2018),1.7% (Jul 2018),4.05 L,0.15 L,Large Cap,44.87
Britannia Industries Ltd.,Consumer food,8.46,477.9,2.01%,0.37%,2.01% (Apr 2019),2.01% (Apr 2019),1.65 L,0.25 L,Large Cap,44.87
Ujjivan Small Finance Bank Ltd.,Banks,7.66,465.7,1.96%,0.06%,1.29% (Nov 2018),1.29% (Nov 2018),14.33 L,0.00,Small Cap,24.05
Associated Cement Companies Ltd.,Cement,6.82,440.7,1.86%,0.03%,1.44% (May 2018),1.44% (May 2018),2.70 L,0.00,Mid Cap,28.54
Tata Chemicals Ltd.,Chemicals  inorganic,2.7,439.8,1.85%,0.03%,1.77% (Feb 2019),1.77% (Feb 2019),7.62 L,0.00,Mid Cap,28.54
Heritage Foods (india) Ltd.,Consumer food,8.46,428.9,1.81%,0.02%,1.62% (Feb 2019),1.62% (Feb 2019),8.25 L,0.00,Small Cap,24.05
Procter & Gamble Hygiene & Health Care Ltd.,Personal care,7.37,427.3,1.80%,0.04%,1.31% (May 2018),1.31% (May 2018),41.87 k,0.00,Large Cap,44.87
ICICI Lombard General Insurance Co Ltd.,Insurance,3.43,426.4,1.80%,0.12%,0.9% (Jun 2018),0.9% (Jun 2018),3.90 L,0.10 L,Large Cap,44.87
CreditAccess Grameen Ltd.,Nbfc,4.57,410.7,1.73%,0.12%,0.91% (Sep 2018),0% (May 2018),7.87 L,0.00,Small Cap,24.05
VGuard Industries Ltd.,Industrial electronics,1.72,407.9,1.72%,0.03%,1.38% (Sep 2018),1.38% (Sep 2018),18.72 L,0.00,Small Cap,24.05
Grasim Industries Limited,Cement,6.82,407.3,1.71%,0.25%,1.28% (Jan 2019),1.28% (Jan 2019),4.52 L,30.36 k,Large Cap,44.87
SBI Life Insurance Co Ltd.,Insurance,3.43,387.1,1.63%,0.30%,1.2% (Sep 2018),1.2% (Sep 2018),6.05 L,45.00 k,Large Cap,44.87
Mahindra & Mahindra Financial Services Ltd.,Nbfc,4.57,385.8,1.62%,0.02%,1.52% (May 2018),1.52% (May 2018),9.63 L,0.00,Mid Cap,28.54
Maruti Suzuki India Ltd.,Passenger/utility vehicles,5.56,385,1.62%,0.06%,1.56% (Mar 2019),1.56% (Mar 2019),57.75 k,0.00,Large Cap,44.87
Aditya Birla Fashion and Retail Ltd.,Retailing,1.53,363.2,1.53%,0.02%,0.58% (Aug 2018),0% (May 2018),16.84 L,0.00,Mid Cap,28.54
Nestle India Ltd.,Consumer food,8.46,359.9,1.52%,0.05%,1.47% (Mar 2019),1.47% (Mar 2019),33.00 k,0.00,Large Cap,44.87
Greenlam Industries Ltd.,Plywood boards,1.48,350.8,1.48%,0.02%,1.14% (Feb 2019),1.14% (Feb 2019),3.77 L,0.00,Small Cap,24.05
Hero Motocorp Ltd.,Motor cycles/scooters,1.37,326.5,1.37%,0.04%,1.37% (Apr 2019),1.37% (Apr 2019),1.30 L,6.20 k,Large Cap,44.87
Dabur India Ltd.,Personal care,7.37,318.5,1.34%,0.01%,1.33% (Mar 2019),1.33% (Mar 2019),8.00 L,0.00,Large Cap,44.87
Zee Entertainment Enterprises Ltd.,Tv broadcasting & software production,1.27,302.8,1.27%,0.01%,1.12% (Jan 2019),1.12% (Jan 2019),7.00 L,0.00,Large Cap,44.87
Balrampur Chini Mills Ltd.,Sugar,1.2,286.1,1.20%,0.03%,0.56% (Jun 2018),0.56% (Jun 2018),19.00 L,3.10 L,Small Cap,24.05
Bayer Cropscience Ltd.,Pesticides and agrochemicals,6.13,257.6,1.08%,0.04%,1.01% (Aug 2018),1.01% (Aug 2018),62.65 k,0.00,Mid Cap,28.54
Pidilite Industries Ltd.,Chemicals  speciality,1.04,246.9,1.04%,0.03%,0.95% (Oct 2018),0.95% (Oct 2018),2.00 L,0.00,Large Cap,44.87
Marico Ltd.,Personal care,7.37,244.4,1.03%,0.07%,0.9% (May 2018),0.9% (May 2018),6.80 L,0.00,Large Cap,44.87
Blue Star Ltd.,Air conditioner,0.98,233.8,0.98%,0.03%,0.82% (Sep 2018),0.82% (Sep 2018),3.46 L,0.00,Small Cap,24.05
#Lemon Tree Hotels Ltd.,Hotels,0.98,233.3,0.98%,0.98%,0.98% (Apr 2019),0% (May 2018),31.10 L,31.10 L,Small Cap,24.05
India Cements Ltd.,Cement,6.82,232.4,0.98%,0.02%,0.77% (Jan 2019),0.77% (Jan 2019),21.70 L,0.00,Small Cap,24.05
Godfrey Phillips India Ltd.,Cigarettes,6.58,221.1,0.93%,0.22%,0.83% (Jun 2018),0.83% (Jun 2018),2.00 L,0.45 L,Small Cap,24.05
Chambal Fertilizers & Chemicals Ltd.,Fertiliserscomposite,0.91,217.3,0.91%,0.03%,0.83% (Dec 2018),0.83% (Dec 2018),14.00 L,0.00,Small Cap,24.05
Coromandel International Ltd.,Fertilisersphosphatic,1.49,217.2,0.91%,0.12%,0.77% (Aug 2018),0.77% (Aug 2018),5.00 L,0.00,Mid Cap,28.54
United Spirits Ltd.,Brew/distilleries,0.9,213.8,0.90%,0.04%,0.48% (Jan 2019),0% (May 2018),3.81 L,0.00,Large Cap,44.87
Shriram City Union Finance Ltd.,Nbfc,4.57,212.5,0.89%,0.07%,0.82% (Dec 2018),0.82% (Dec 2018),1.29 L,0.00,Mid Cap,28.54
Jyothy Laboratories Ltd.,Personal care,7.37,212.4,0.89%,0.02%,0.67% (Jun 2018),0% (May 2018),11.82 L,0.00,Small Cap,24.05
Whirlpool Of India Ltd.,Home appliances,3.12,211.7,0.89%,0.28%,0.59% (Feb 2019),0.59% (Feb 2019),1.52 L,52.00 k,Mid Cap,28.54
Godrej Agrovet Ltd.,Consumer food,8.46,207,0.87%,0.05%,0.8% (Dec 2018),0.8% (Dec 2018),3.98 L,0.00,Mid Cap,28.54
Voltas Limited,"Engineering, designing, construction",2.99,204.9,0.86%,0.22%,0.64% (Mar 2019),0% (May 2018),3.40 L,90.00 k,Mid Cap,28.54
Astec Lifesciences Ltd.,Pesticides and agrochemicals,6.13,202.8,0.85%,0.02%,0.83% (Nov 2018),0.83% (Nov 2018),4.00 L,0.00,Small Cap,24.05
Navin Flourine International Ltd.,Chemicals  inorganic,2.7,201.2,0.85%,0.01%,0.74% (Jun 2018),0.74% (Jun 2018),3.00 L,0.00,Small Cap,24.05
Star Cement Ltd.,Cement products,0.71,169.8,0.71%,0.07%,0.63% (Aug 2018),0.63% (Aug 2018),16.21 L,0.00,Small Cap,24.05
Himatsingka Seide Ltd.,Fabrics and garments,0.65,153.8,0.65%,0.01%,0.52% (Feb 2019),0.52% (Feb 2019),7.19 L,0.00,Small Cap,24.05
Mcleod Russel (India) Ltd.,Tea &  coffee,2.69,137.9,0.58%,0.21%,0.58% (Apr 2019),0.58% (Apr 2019),22.61 L,0.00,Small Cap,24.05
Gujarat State Fertilizers & Chemicals Ltd.,Fertilisersphosphatic,1.49,137.1,0.58%,0.08%,0.58% (Apr 2019),0.58% (Apr 2019),14.00 L,1.46 L,Small Cap,24.05
Rallis India Ltd.,Pesticides and agrochemicals,6.13,125.5,0.53%,0.41%,0.53% (Apr 2019),0.53% (Apr 2019),8.48 L,5.60 L,Small Cap,24.05
VST Tillers Tractors Ltd.,Tractors,0.51,121.9,0.51%,0.00%,0.51% (Mar 2019),0.51% (Mar 2019),95.71 k,0.00,Small Cap,24.05
Jain Irrigation Systems Ltd.,Plastic products,0.42,99.2,0.42%,0.02%,0.42% (Apr 2019),0.42% (Apr 2019),18.21 L,0.00,Small Cap,24.05
Tamil Nadu Newsprint & Papers Ltd.,Paper and paper products,0.34,80.4,0.34%,0.08%,0.34% (Apr 2019),0.34% (Apr 2019),4.14 L,0.84 L,Small Cap,24.05
