Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,21.69,291.7,8.61%,0.16%,6.32% (Jun 2018),6.32% (Jun 2018),7.16 L,0.00,Large Cap,54.18
Axis Bank Ltd.,Banks,21.69,287.4,8.48%,0.11%,7.46% (Jun 2018),7.46% (Jun 2018),3.75 L,0.00,Large Cap,54.18
Infosys Ltd.,Computers  software,7.66,219.3,6.47%,0.07%,5.39% (May 2018),5.39% (May 2018),2.92 L,0.00,Large Cap,54.18
Mahindra & Mahindra Financial Services Ltd.,Nbfc,5.59,189.3,5.59%,0.28%,5.59% (Apr 2019),5.59% (Apr 2019),4.73 L,0.00,Mid Cap,28.19
Cipla Ltd.,Pharmaceuticals,12.96,177.9,5.25%,0.34%,4.74% (May 2018),4.74% (May 2018),3.15 L,0.00,Large Cap,54.18
Container Corporation Of India Ltd.,Logistics solution provider,4.86,164.8,4.86%,0.32%,4.86% (Apr 2019),4.86% (Apr 2019),3.34 L,0.00,Large Cap,54.18
Aditya Birla Fashion and Retail Ltd.,Retailing,4.75,161,4.75%,0.10%,3.08% (Jul 2018),3.08% (Jul 2018),7.46 L,0.00,Mid Cap,28.19
Indusind Bank Ltd.,Banks,21.69,156,4.60%,0.50%,3.14% (Jan 2019),0% (May 2018),97.12 k,0.00,Large Cap,54.18
Ipca Laboratories Ltd.,Pharmaceuticals,12.96,147.2,4.34%,0.14%,3.11% (May 2018),3.11% (May 2018),1.55 L,0.00,Mid Cap,28.19
Motherson Sumi Systems Ltd.,Auto ancillaries,4.07,138,4.07%,0.09%,4.07% (Apr 2019),4.07% (Apr 2019),9.42 L,0.00,Large Cap,54.18
Crompton Greaves Consumer Electricals Ltd.,Home appliances,3.93,133.3,3.93%,0.17%,3.43% (May 2018),3.43% (May 2018),5.61 L,0.00,Mid Cap,28.19
Gujarat Gas Ltd.,Gas transmission/marketing,3.73,126.3,3.73%,0.26%,2.99% (Feb 2019),2.99% (Feb 2019),7.94 L,0.00,Other,6.93
Multi Commodity Exchange Of India Ltd.,Other financial services,6.86,124,3.66%,0.23%,2.99% (Feb 2019),2.99% (Feb 2019),1.44 L,0.00,Small Cap,9.24
Tata Motors Ltd.,Passenger/utility vehicles,3.52,119.3,3.52%,0.66%,2.86% (Mar 2019),2.86% (Mar 2019),5.57 L,0.00,Large Cap,54.18
Reliance Nippon Life Asset Management Ltd.,Other financial services,6.86,108.5,3.20%,0.19%,1.6% (Jan 2019),1.6% (Jan 2019),5.48 L,0.00,Other,6.93
Vedanta Ltd.,Copper & copper products,3.12,105.6,3.12%,0.32%,3.12% (Apr 2019),3.12% (Apr 2019),6.33 L,0.00,Large Cap,54.18
Sheela Foam Ltd.,Houseware,3.02,102.5,3.02%,0.20%,2.05% (Jan 2019),2.05% (Jan 2019),75.99 k,0.00,Small Cap,9.24
Pi Industries Ltd.,Pesticides and agrochemicals,2.64,89.6,2.64%,0.03%,1.89% (Aug 2018),1.89% (Aug 2018),85.84 k,0.00,Mid Cap,28.19
NIIT Ltd,It education,2.56,86.6,2.56%,0.06%,2.16% (Oct 2018),2.16% (Oct 2018),8.21 L,1.17 L,Small Cap,9.24
Sun TV Network Ltd.,Tv broadcasting & software production,2.26,76.7,2.26%,0.21%,2.26% (Apr 2019),2.26% (Apr 2019),1.33 L,0.00,Mid Cap,28.19
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,12.96,65.3,1.93%,0.08%,1.93% (Apr 2019),0% (May 2018),1.43 L,0.00,Large Cap,54.18
Emami Ltd.,Personal care,1.92,65,1.92%,0.06%,1.92% (Apr 2019),1.92% (Apr 2019),1.68 L,0.00,Mid Cap,28.19
Eicher Motors Ltd.,Commercial vehicles,1.94,62,1.83%,0.02%,1.27% (Aug 2018),0% (May 2018),3.05 k,0.00,Large Cap,54.18
Apollo Hospitals Enterprises Ltd.,Hospital,1.46,49.5,1.46%,0.01%,1.46% (Apr 2019),1.46% (Apr 2019),40.72 k,0.00,Mid Cap,28.19
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,12.96,48.8,1.44%,0.13%,1.41% (Aug 2018),0% (May 2018),27.23 k,0.00,Large Cap,54.18
Mindtree Ltd.,Computers  software,7.66,40.3,1.19%,0.05%,0.29% (Jul 2018),0.29% (Jul 2018),41.06 k,0.00,Mid Cap,28.19
Tata Motors Ltd.  A Class,Commercial vehicles,1.94,3.6,0.11%,0.02%,0.09% (Mar 2019),0.09% (Mar 2019),34.99 k,0.00,Mid Cap,28.19
