Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,36.57,815,10.30%,0.17%,5.81% (May 2018),5.81% (May 2018),20.00 L,0.00,Large Cap,91.17
HDFC Bank Ltd.,Banks,36.57,675.5,8.54%,0.01%,6.79% (Oct 2018),6.79% (Oct 2018),2.92 L,0.00,Large Cap,91.17
Infosys Ltd.,Computers  software,13.22,608.6,7.69%,0.07%,4.6% (May 2018),4.6% (May 2018),8.10 L,0.00,Large Cap,91.17
Axis Bank Ltd.,Banks,36.57,590.5,7.46%,0.11%,1.07% (Aug 2018),0% (May 2018),7.70 L,0.00,Large Cap,91.17
ITC Limited,Cigarettes,6.94,549.2,6.94%,0.09%,4.95% (Jun 2018),4.95% (Jun 2018),18.23 L,0.00,Large Cap,91.17
State Bank Of India,Banks,36.57,534.7,6.76%,0.24%,3.2% (Jun 2018),3.2% (Jun 2018),17.25 L,0.00,Large Cap,91.17
Larsen & Toubro Ltd.,"Engineering, designing, construction",7.59,480.1,6.07%,0.17%,2.66% (Jul 2018),2.66% (Jul 2018),3.56 L,0.00,Large Cap,91.17
Reliance Industries Ltd.,Refineries/marketing,7.4,410.9,5.19%,0.50%,4.93% (Dec 2018),4.93% (Dec 2018),2.95 L,0.35 L,Large Cap,91.17
Tata Consultancy Services Ltd.,Computers  software,13.22,316.5,4.00%,0.45%,2.05% (Jul 2018),0% (May 2018),1.40 L,0.00,Large Cap,91.17
Kotak Mahindra Bank Ltd.,Banks,36.57,277.3,3.51%,0.13%,3.08% (Sep 2018),3.08% (Sep 2018),2.00 L,0.00,Large Cap,91.17
Titan Company Ltd.,"Gems, jewellery and watches",3.37,266.5,3.37%,0.04%,1.5% (Jun 2018),0% (May 2018),2.30 L,0.00,Large Cap,91.17
Bajaj Finance Ltd.,Nbfc,3.03,239.9,3.03%,0.07%,2.1% (May 2018),2.1% (May 2018),77.50 k,0.00,Large Cap,91.17
Housing Development Finance Corporation Ltd.,Housing finance,2.85,225.4,2.85%,0.04%,1.67% (May 2018),1.67% (May 2018),1.13 L,0.00,Large Cap,91.17
Power Grid Corporation of India Ltd.,Power transmission,2.76,218.1,2.76%,0.17%,2.66% (Jul 2018),2.66% (Jul 2018),11.70 L,0.00,Large Cap,91.17
Ultratech Cement Ltd.,Cement,2.74,217,2.74%,0.36%,2.23% (Jan 2019),2.23% (Jan 2019),47.00 k,0.00,Large Cap,91.17
Future Retail Ltd.,Retailing,2.38,188.3,2.38%,0.19%,2.38% (Apr 2019),2.38% (Apr 2019),4.48 L,0.00,Mid Cap,5.6
Hindustan Unilever Ltd.,Diversified,2.22,175.8,2.22%,0.06%,1.93% (Sep 2018),1.93% (Sep 2018),1.00 L,0.00,Large Cap,91.17
#Hindustan Petroleum Corporation Ltd.,Refineries/marketing,7.4,174.8,2.21%,2.21%,2.21% (Apr 2019),0% (May 2018),6.00 L,6.00 L,Large Cap,91.17
Piramal Enterprises Ltd.,Pharmaceuticals,2.09,165.3,2.09%,0.36%,1.55% (Sep 2018),0% (May 2018),70.00 k,0.00,Large Cap,91.17
Bajaj Auto Ltd.,Motor cycles/scooters,1.89,149.2,1.89%,0.04%,0.84% (Aug 2018),0.84% (Aug 2018),50.00 k,0.00,Large Cap,91.17
Cummins India Ltd.,Diesel engines,1.7,134.5,1.70%,0.05%,1.55% (Jul 2018),1.55% (Jul 2018),1.85 L,0.00,Mid Cap,5.6
#Tata Steel Ltd.,Steel,1.55,122.6,1.55%,1.55%,1.55% (Apr 2019),0% (May 2018),2.20 L,2.20 L,Large Cap,91.17
Tata Elxsi Ltd.,Computers  software,13.22,121,1.53%,0.06%,1.53% (Apr 2019),1.53% (Apr 2019),1.30 L,0.00,Small Cap,1.53
#Voltas Limited,"Engineering, designing, construction",7.59,120.5,1.52%,1.52%,1.52% (Apr 2019),0% (May 2018),2.00 L,2.00 L,Mid Cap,5.6
#Zee Entertainment Enterprises Ltd.  Preference Shares,Tv broadcasting & software production,0.06,5,0.06%,0.00%,0% (May 2019),0% (May 2019),9.45 L,0.00,Other,0.06
Maruti Suzuki India Ltd.,Passenger/utility vehicles,,133.5,0.00%,1.69%,,,,,Large Cap,91.17
InterGlobe Aviation Ltd.,Airlines,,85.7,0.00%,1.08%,,,,,Large Cap,91.17
Dabur India Ltd.,Personal care,,159.4,0.00%,2.02%,,,,,Large Cap,91.17
