Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,32.18,13.2,12.49%,0.10%,10.95% (Aug 2018),10.95% (Aug 2018),5.71 k,146.00,Large Cap,98.85
Reliance Industries Ltd.,Refineries/marketing,11.32,12,11.32%,0.15%,8.56% (May 2018),8.56% (May 2018),8.61 k,219.00,Large Cap,98.85
Housing Development Finance Corporation Ltd.,Housing finance,8.64,9.1,8.64%,0.06%,8.1% (Sep 2018),8.1% (Sep 2018),4.58 k,116.00,Large Cap,98.85
Infosys Ltd.,Computers  software,14.8,7.6,7.15%,0.02%,6.72% (May 2018),6.72% (May 2018),10.09 k,259.00,Large Cap,98.85
ICICI Bank Ltd.,Banks,32.18,6.9,6.53%,0.10%,5.01% (Jun 2018),5.01% (Jun 2018),16.95 k,436.00,Large Cap,98.85
ITC Limited,Cigarettes,6.46,6.8,6.46%,0.06%,6.4% (Jan 2019),6.4% (Jan 2019),22.67 k,578.00,Large Cap,98.85
Tata Consultancy Services Ltd.,Computers  software,14.8,6.3,5.97%,0.63%,5.04% (May 2018),5.04% (May 2018),2.80 k,70.00,Large Cap,98.85
Kotak Mahindra Bank Ltd.,Banks,32.18,4.4,4.12%,0.12%,3.72% (Sep 2018),3.72% (Sep 2018),3.15 k,81.00,Large Cap,98.85
Larsen & Toubro Ltd.,"Engineering, designing, construction",4.11,4.4,4.11%,0.14%,4.11% (Apr 2019),4.11% (Apr 2019),3.23 k,83.00,Large Cap,98.85
Axis Bank Ltd.,Banks,32.18,3.6,3.40%,0.07%,2.64% (Jun 2018),2.64% (Jun 2018),4.70 k,121.00,Large Cap,98.85
Hindustan Unilever Ltd.,Diversified,3.13,3.3,3.13%,0.06%,3.07% (Mar 2019),3.07% (Mar 2019),1.89 k,49.00,Large Cap,98.85
State Bank Of India,Banks,32.18,3,2.88%,0.12%,2.69% (Jun 2018),2.69% (Jun 2018),9.82 k,254.00,Large Cap,98.85
Maruti Suzuki India Ltd.,Passenger/utility vehicles,4.65,2.3,2.19%,0.02%,2.19% (Apr 2019),2.19% (Apr 2019),348.00,9.00,Large Cap,98.85
Indusind Bank Ltd.,Banks,32.18,2.1,2.00%,0.23%,2% (Apr 2019),2% (Apr 2019),1.31 k,34.00,Large Cap,98.85
Bajaj Finance Ltd.,Nbfc,1.82,1.9,1.82%,0.03%,1.64% (Jan 2019),0% (May 2018),621.00,16.00,Large Cap,98.85
HCL Technologies Limited,Computers  software,14.8,1.8,1.68%,0.12%,1.4% (Dec 2018),0% (May 2018),1.51 k,38.00,Large Cap,98.85
Asian Paints (india) Ltd.,Paints,1.64,1.7,1.64%,0.04%,1.61% (Oct 2018),1.61% (Oct 2018),1.18 k,31.00,Large Cap,98.85
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,4.65,1.5,1.46%,0.07%,1.46% (Apr 2019),1.46% (Apr 2019),2.39 k,63.00,Large Cap,98.85
National Thermal Power Corporation Ltd.,Power,1.22,1.3,1.22%,0.02%,1.15% (Jan 2019),1.15% (Jan 2019),9.62 k,256.00,Large Cap,98.85
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,1.2,1.3,1.20%,0.07%,1.2% (Apr 2019),1.2% (Apr 2019),2.79 k,73.00,Large Cap,98.85
Oil & Natural Gas Corporation Ltd.,Oil exploration,1.17,1.2,1.17%,0.06%,1.06% (Jan 2019),1.06% (Jan 2019),7.28 k,191.00,Large Cap,98.85
Tata Steel Ltd.,Steel,1.06,1.1,1.06%,0.06%,0.99% (Jan 2019),0.99% (Jan 2019),2.02 k,51.00,Large Cap,98.85
Power Grid Corporation of India Ltd.,Power transmission,1.05,1.1,1.05%,0.07%,1.04% (Jul 2018),1.04% (Jul 2018),5.99 k,156.00,Large Cap,98.85
Bharti Airtel Ltd.,Telecom  services,1.25,1.1,1.03%,0.04%,1.03% (Sep 2018),1.03% (Sep 2018),3.40 k,99.00,Large Cap,98.85
Tata Motors Ltd.,Passenger/utility vehicles,4.65,1.1,1.00%,0.18%,0.82% (Mar 2019),0.82% (Mar 2019),4.94 k,124.00,Large Cap,98.85
Bajaj Auto Ltd.,Motor cycles/scooters,1.76,1,0.97%,0.02%,0.9% (Jan 2019),0.9% (Jan 2019),344.00,9.00,Large Cap,98.85
Coal India Ltd.,Industrial minerals,0.83,0.9,0.83%,0.04%,0.78% (Mar 2019),0.78% (Mar 2019),3.47 k,92.00,Large Cap,98.85
Hero Motocorp Ltd.,Motor cycles/scooters,1.76,0.8,0.79%,0.02%,0.79% (Apr 2019),0.79% (Apr 2019),332.00,9.00,Large Cap,98.85
Vedanta Ltd.,Copper & copper products,0.78,0.8,0.78%,0.09%,0.78% (Apr 2019),0% (May 2018),4.92 k,125.00,Large Cap,98.85
Yes Bank,Banks,32.18,0.8,0.76%,0.49%,0.76% (Apr 2019),0.76% (Apr 2019),4.78 k,126.00,Large Cap,98.85
#Bharti Airtel Ltd.  Rights,Telecom  services,1.25,0.2,0.22%,0.22%,0.22% (Apr 2019),0% (May 2018),952.00,952.00,Other,0.22
Tata Motors Ltd.  A Class,Commercial vehicles,0.12,0.1,0.12%,0.02%,0.1% (Mar 2019),0.1% (Mar 2019),1.28 k,35.00,Mid Cap,0.12
