Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Axis Bank Ltd.,Banks,27.48,3642.1,9.05%,0.12%,5.67% (May 2018),5.67% (May 2018),47.49 L,0.00,Large Cap,75
HDFC Bank Ltd.,Banks,27.48,3279.3,8.15%,0.00%,7.61% (Aug 2018),7.61% (Aug 2018),14.15 L,0.00,Large Cap,75
Kotak Mahindra Bank Ltd.,Banks,27.48,1906,4.73%,0.17%,4.55% (Feb 2019),4.55% (Feb 2019),13.75 L,0.00,Large Cap,75
Infosys Ltd.,Computers  software,4.34,1746.3,4.34%,0.04%,2.87% (May 2018),2.87% (May 2018),23.24 L,0.00,Large Cap,75
ICICI Bank Ltd.,Banks,27.48,1635.4,4.06%,0.07%,2.76% (Oct 2018),0% (May 2018),40.13 L,0.00,Large Cap,75
Grasim Industries Limited,Cement,3.65,1470.3,3.65%,0.17%,3.13% (Dec 2018),3.13% (Dec 2018),16.31 L,0.00,Large Cap,75
Power Grid Corporation of India Ltd.,Power transmission,3.44,1382.9,3.44%,0.21%,3.14% (Nov 2018),3.14% (Nov 2018),74.19 L,0.00,Large Cap,75
Hindalco Industries Ltd.,Aluminium,3.35,1349.5,3.35%,0.01%,3.34% (Mar 2019),3.34% (Mar 2019),65.49 L,0.00,Large Cap,75
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,4.76,1329.1,3.30%,0.15%,3.3% (Apr 2019),3.3% (Apr 2019),20.60 L,0.00,Large Cap,75
National Thermal Power Corporation Ltd.,Power,3.02,1000.8,2.49%,0.01%,1.82% (Nov 2018),1.82% (Nov 2018),74.65 L,0.00,Large Cap,75
Indian Oil Corporation Ltd.,Refineries/marketing,5.35,940.2,2.34%,0.07%,2.22% (Dec 2018),2.22% (Dec 2018),59.49 L,0.00,Large Cap,75
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,2.14,863,2.14%,0.10%,2.08% (Nov 2018),2.08% (Nov 2018),35.79 L,0.00,Large Cap,75
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,5.35,862.3,2.14%,0.06%,0.9% (May 2018),0.9% (May 2018),29.61 L,16.47 k,Large Cap,75
Tata Steel Ltd.,Steel,2.02,813.9,2.02%,0.13%,1.53% (May 2018),1.53% (May 2018),14.61 L,0.00,Large Cap,75
Bharti Airtel Ltd.,Telecom  services,2.06,759.7,1.89%,0.07%,1.75% (Oct 2018),1.75% (Oct 2018),23.72 L,0.00,Large Cap,75
Tech Mahindra Ltd.,Software telecom,1.88,757.1,1.88%,0.10%,1.21% (Jun 2018),1.21% (Jun 2018),9.06 L,0.17 L,Large Cap,75
United Breweries Ltd.,Brew/distilleries,2.56,726.3,1.80%,0.03%,1.49% (Jul 2018),1.49% (Jul 2018),5.12 L,0.00,Large Cap,75
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,2.5,710.3,1.76%,0.09%,1.27% (May 2018),1.27% (May 2018),2.42 L,0.00,Large Cap,75
#Cholamandalam Financial Holdings Ltd.,Other financial services,1.72,691,1.72%,0.00%,0.88% (Oct 2018),0% (May 2018),13.39 L,0.00,Mid Cap,13.28
State Bank Of India,Banks,27.48,599.9,1.49%,0.06%,0.91% (Feb 2019),0.91% (Feb 2019),19.36 L,0.00,Large Cap,75
Gujarat State Petronet Ltd.,Gas transmission/marketing,2.5,598.7,1.49%,0.07%,1.28% (Feb 2019),1.28% (Feb 2019),29.95 L,0.00,Mid Cap,13.28
Tata Motors Ltd.,Passenger/utility vehicles,4.76,588.6,1.46%,0.27%,0.73% (Oct 2018),0.73% (Oct 2018),27.47 L,0.00,Large Cap,75
Hindustan Unilever Ltd.,Diversified,1.44,580.2,1.44%,0.04%,1.4% (Mar 2019),1.4% (Mar 2019),3.30 L,0.00,Large Cap,75
Colgate  Palmolive (India) Limited,Personal care,1.32,532.4,1.32%,0.06%,1.31% (Sep 2018),1.31% (Sep 2018),4.41 L,0.00,Large Cap,75
Mahindra CIE Automotive Ltd.,Castings/forgings,1.25,504.5,1.25%,0.04%,0.58% (Jul 2018),0% (May 2018),22.16 L,0.00,Mid Cap,13.28
Nestle India Ltd.,Consumer food,1.21,488.8,1.21%,0.01%,1.17% (May 2018),1.17% (May 2018),44.83 k,0.00,Large Cap,75
Titan Company Ltd.,"Gems, jewellery and watches",1.15,463.2,1.15%,0.02%,1.13% (Mar 2019),1.13% (Mar 2019),4.00 L,0.00,Large Cap,75
Indian Hotels Company Limited,Hotels/resorts,1.12,451.3,1.12%,0.01%,0.39% (Jul 2018),0.39% (Jul 2018),29.24 L,0.00,Mid Cap,13.28
PNB Housing Finance Ltd.,Housing finance,1.06,427.9,1.06%,0.24%,0.34% (Oct 2018),0% (May 2018),6.04 L,0.00,Mid Cap,13.28
Bajaj Auto Ltd.,Motor cycles/scooters,1.34,409.9,1.02%,0.03%,0.73% (Aug 2018),0.73% (Aug 2018),1.37 L,0.00,Large Cap,75
GAIL (India) Ltd.,Gas transmission/marketing,2.5,408,1.01%,0.02%,0.99% (Mar 2019),0% (May 2018),11.46 L,0.00,Large Cap,75
Kansai Nerolac Paints Ltd.,Paints,0.97,388.6,0.97%,0.03%,0.55% (Oct 2018),0.55% (Oct 2018),8.81 L,0.00,Mid Cap,13.28
Balkrishna Industries Ltd.,Tyres & allied,0.92,368.5,0.92%,0.08%,0.89% (Jan 2019),0.89% (Jan 2019),4.03 L,0.00,Mid Cap,13.28
Voltas Limited,"Engineering, designing, construction",0.9,361.6,0.90%,0.04%,0.9% (Apr 2019),0.9% (Apr 2019),6.00 L,0.00,Mid Cap,13.28
Bharat Petroleum Corporation Ltd.,Refineries/marketing,5.35,349.1,0.87%,0.04%,0.71% (Oct 2018),0.71% (Oct 2018),9.19 L,0.00,Large Cap,75
Jagran Prakashan Ltd.,Printing and publishing,0.86,346.4,0.86%,0.10%,0.8% (Feb 2019),0.8% (Feb 2019),30.57 L,0.00,Small Cap,3.65
Exide Industries Ltd.,Batteries – automobile,1.43,321.2,0.80%,0.02%,0.8% (Apr 2019),0.8% (Apr 2019),15.00 L,0.00,Mid Cap,13.28
United Spirits Ltd.,Brew/distilleries,2.56,306.5,0.76%,0.01%,0.75% (Mar 2019),0% (May 2018),5.46 L,0.00,Large Cap,75
Cadila Healthcare Ltd.,Pharmaceuticals,2.5,299.7,0.74%,0.05%,0.74% (Apr 2019),0.74% (Apr 2019),9.21 L,0.00,Large Cap,75
Himatsingka Seide Ltd.,Fabrics and garments,0.68,273.6,0.68%,0.01%,0.35% (Jul 2018),0.35% (Jul 2018),12.79 L,0.00,Small Cap,3.65
Amara Raja Batteries Limited,Batteries – automobile,1.43,252.9,0.63%,0.05%,0.63% (Apr 2019),0.63% (Apr 2019),3.82 L,0.00,Mid Cap,13.28
Aditya Birla Fashion and Retail Ltd.,Retailing,0.58,232,0.58%,0.01%,0.58% (Apr 2019),0.58% (Apr 2019),10.75 L,0.00,Mid Cap,13.28
Cyient Ltd.,It enabled services – software,0.56,224.7,0.56%,0.05%,0.56% (Apr 2019),0.56% (Apr 2019),3.81 L,0.00,Small Cap,3.65
Equitas Holdings Ltd.,Investment companies,0.55,221.1,0.55%,0.03%,0.5% (Nov 2018),0.5% (Nov 2018),16.96 L,0.00,Small Cap,3.65
SKF India Ltd.,Bearings,0.53,213.4,0.53%,0.02%,0.53% (Apr 2019),0.53% (Apr 2019),1.08 L,0.00,Mid Cap,13.28
Tata Power Co. Ltd.,Power,3.02,211.8,0.53%,0.04%,0.17% (Jun 2018),0% (May 2018),31.24 L,0.00,Mid Cap,13.28
Tata Motors Ltd.  A Class,Commercial vehicles,0.46,183.3,0.46%,0.08%,0.38% (Mar 2019),0.38% (Mar 2019),17.92 L,0.00,Mid Cap,13.28
Care Ratings Ltd.,Ratings,0.39,157.3,0.39%,0.00%,0.39% (Mar 2019),0.39% (Mar 2019),1.60 L,0.00,Small Cap,3.65
Gujarat Pipavav Port Ltd.,Port,0.39,156.4,0.39%,0.05%,0.39% (Apr 2019),0.39% (Apr 2019),17.75 L,0.00,Small Cap,3.65
TVS Motor Company Ltd.,Motor cycles/scooters,1.34,130.6,0.32%,0.01%,0.31% (Mar 2019),0.31% (Mar 2019),2.65 L,0.00,Mid Cap,13.28
#Dish T V India Ltd.,Tv broadcasting & software production,0.22,87.7,0.22%,0.22%,0.22% (Apr 2019),0% (May 2018),24.37 L,24.37 L,Small Cap,3.65
#Bharti Airtel Ltd.  Rights,Telecom  services,2.06,67.5,0.17%,0.17%,0.17% (Apr 2019),0% (May 2018),6.73 L,6.73 L,Other,0.17
Maruti Suzuki India Ltd.,Passenger/utility vehicles,4.76,144.4,0.00%,0.36%,,,,,Large Cap,75
Asian Paints (india) Ltd.,Paints,0.97,298.5,0.00%,0.74%,,,,,Large Cap,75
