Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Infosys Ltd.,Computers  software,13.05,1.1,8.38%,0.84%,5.95% (May 2018),5.95% (May 2018),1.51 k,0.00,Large Cap,97.8
Reliance Industries Ltd.,Refineries/marketing,9.55,1.1,8.30%,0.02%,7.7% (May 2018),7.7% (May 2018),805.00,0.00,Large Cap,97.8
Housing Development Finance Corporation Ltd.,Housing finance,8.09,1,7.40%,0.04%,6.8% (Sep 2018),6.8% (Sep 2018),501.00,0.00,Large Cap,97.8
HDFC Bank Ltd.,Banks,22.41,0.9,6.93%,0.14%,6.93% (Apr 2019),6.93% (Apr 2019),404.00,0.00,Large Cap,97.8
ITC Limited,Cigarettes,6.21,0.8,6.21%,0.03%,5.46% (Jun 2018),5.46% (Jun 2018),2.78 k,0.00,Large Cap,97.8
ICICI Bank Ltd.,Banks,22.41,0.8,5.67%,0.01%,4.16% (Jun 2018),4.16% (Jun 2018),1.88 k,0.00,Large Cap,97.8
Ultratech Cement Ltd.,Cement,5.32,0.7,4.99%,0.58%,0.87% (Oct 2018),0.87% (Oct 2018),146.00,0.00,Large Cap,97.8
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.86,0.5,3.86%,0.19%,3.66% (Jul 2018),3.66% (Jul 2018),387.00,0.00,Large Cap,97.8
Hindustan Unilever Ltd.,Diversified,2.95,0.4,2.95%,0.03%,2.86% (May 2018),2.86% (May 2018),227.00,0.00,Large Cap,97.8
Kotak Mahindra Bank Ltd.,Banks,22.41,0.4,2.95%,0.06%,2.89% (Mar 2019),2.89% (Mar 2019),287.00,0.00,Large Cap,97.8
Bajaj Auto Ltd.,Motor cycles/scooters,3.65,0.4,2.89%,0.01%,0.8% (Aug 2018),0.8% (Aug 2018),131.00,0.00,Large Cap,97.8
State Bank Of India,Banks,22.41,0.4,2.59%,0.14%,2.28% (Sep 2018),2.28% (Sep 2018),1.13 k,0.00,Large Cap,97.8
Wipro Ltd.,Computers  software,13.05,0.3,2.13%,0.28%,0.82% (Jun 2018),0.82% (Jun 2018),963.00,0.00,Large Cap,97.8
Indusind Bank Ltd.,Banks,22.41,0.3,2.13%,0.27%,1.84% (Oct 2018),1.84% (Oct 2018),179.00,0.00,Large Cap,97.8
Bajaj Finance Ltd.,Nbfc,2.12,0.3,1.90%,0.01%,1.22% (May 2018),1.22% (May 2018),83.00,0.00,Large Cap,97.8
Maruti Suzuki India Ltd.,Passenger/utility vehicles,4.34,0.2,1.78%,0.03%,1.78% (Apr 2019),1.78% (Apr 2019),36.00,0.00,Large Cap,97.8
Asian Paints (india) Ltd.,Paints,1.62,0.2,1.62%,0.07%,1.38% (Jun 2018),1.38% (Jun 2018),150.00,0.00,Large Cap,97.8
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,4.34,0.2,1.53%,0.10%,1.5% (Jan 2019),1.5% (Jan 2019),321.00,0.00,Large Cap,97.8
Axis Bank Ltd.,Banks,22.41,0.2,1.41%,0.04%,1.41% (Apr 2019),1.41% (Apr 2019),248.00,0.00,Large Cap,97.8
HCL Technologies Limited,Computers  software,13.05,0.2,1.34%,0.11%,1.25% (May 2018),1.25% (May 2018),153.00,0.00,Large Cap,97.8
UPL Ltd.,Pesticides and agrochemicals,1.26,0.2,1.26%,0.01%,0.54% (Jul 2018),0.54% (Jul 2018),175.00,0.00,Large Cap,97.8
Tata Consultancy Services Ltd.,Computers  software,13.05,0.2,1.20%,0.08%,1.2% (Apr 2019),1.2% (Apr 2019),72.00,0.00,Large Cap,97.8
Tata Motors Ltd.,Passenger/utility vehicles,4.34,0.1,1.03%,0.17%,0.76% (Nov 2018),0.76% (Nov 2018),651.00,0.00,Large Cap,97.8
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,2.55,0.1,1.00%,0.03%,0.57% (May 2018),0.57% (May 2018),46.00,0.00,Large Cap,97.8
Hindalco Industries Ltd.,Aluminium,0.96,0.1,0.96%,0.01%,0.69% (Jul 2018),0.69% (Jul 2018),628.00,0.00,Large Cap,97.8
