Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,27.96,7184.1,9.22%,0.33%,8.83% (Aug 2018),8.83% (Aug 2018),31.00 L,2.00 L,Large Cap,84.75
Infosys Ltd.,Computers  software,9.5,5034.1,6.46%,0.05%,6.08% (Dec 2018),6.08% (Dec 2018),67.00 L,2.00 L,Large Cap,84.75
ICICI Bank Ltd.,Banks,27.96,4482.5,5.75%,0.25%,3.65% (Jun 2018),3.65% (Jun 2018),1.10 Cr,0.00,Large Cap,84.75
Axis Bank Ltd.,Banks,27.96,4217.7,5.41%,0.07%,3.22% (Jun 2018),3.22% (Jun 2018),55.00 L,0.00,Large Cap,84.75
Larsen & Toubro Ltd.,"Engineering, designing, construction",5.49,3371.4,4.33%,0.01%,4.1% (Jan 2019),4.1% (Jan 2019),25.00 L,0.00,Large Cap,84.75
Bharti Airtel Ltd.,Telecom  services,7.15,3363.2,4.32%,0.05%,4.09% (Oct 2018),4.09% (Oct 2018),1.05 Cr,0.00,Large Cap,84.75
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,4.8,2452.1,3.15%,0.05%,3.15% (Apr 2019),3.15% (Apr 2019),38.00 L,0.00,Large Cap,84.75
HCL Technologies Limited,Computers  software,9.5,2366.7,3.04%,0.32%,2.53% (May 2018),2.53% (May 2018),20.00 L,0.00,Large Cap,84.75
State Bank Of India,Banks,27.96,2324.6,2.98%,0.02%,2.21% (Nov 2018),2.21% (Nov 2018),75.00 L,0.00,Large Cap,84.75
Kotak Mahindra Bank Ltd.,Banks,27.96,2079.8,2.67%,0.33%,2.59% (Sep 2018),2.59% (Sep 2018),15.00 L,3.00 L,Large Cap,84.75
Associated Cement Companies Ltd.,Cement,8.26,1958.5,2.51%,0.01%,1.67% (May 2018),1.67% (May 2018),12.00 L,0.00,Mid Cap,6.21
National Thermal Power Corporation Ltd.,Power,2.48,1930.3,2.48%,0.06%,1.91% (Oct 2018),1.91% (Oct 2018),1.44 Cr,0.00,Large Cap,84.75
Ultratech Cement Ltd.,Cement,8.26,1731.3,2.22%,0.35%,1.39% (May 2018),1.39% (May 2018),3.75 L,0.00,Large Cap,84.75
Marico Ltd.,Personal care,3.64,1725.1,2.21%,0.13%,1.99% (May 2018),1.99% (May 2018),48.00 L,0.00,Large Cap,84.75
Indian Oil Corporation Ltd.,Refineries/marketing,3.63,1692.7,2.17%,0.01%,1.85% (Aug 2018),1.85% (Aug 2018),1.07 Cr,0.00,Large Cap,84.75
Lupin Ltd.,Pharmaceuticals,5.65,1683.1,2.16%,0.38%,1.78% (Mar 2019),1.78% (Mar 2019),19.30 L,0.00,Large Cap,84.75
GAIL (India) Ltd.,Gas transmission/marketing,2.01,1566.2,2.01%,0.10%,1.89% (Jun 2018),1.89% (Jun 2018),44.00 L,0.00,Large Cap,84.75
Grasim Industries Limited,Cement,8.26,1532,1.97%,0.15%,1.5% (Jan 2019),0% (May 2018),17.00 L,0.00,Large Cap,84.75
Yes Bank,Banks,27.96,1507.9,1.93%,1.20%,1.93% (Apr 2019),1.93% (Apr 2019),89.76 L,1.24 L,Large Cap,84.75
ITC Limited,Cigarettes,1.93,1506.8,1.93%,0.07%,0.67% (Jun 2018),0.67% (Jun 2018),50.00 L,0.00,Large Cap,84.75
Vodafone Idea Ltd.  Rights,Telecom  services,7.15,1447.4,1.86%,1.37%,0.49% (Mar 2019),0% (May 2018),9.37 Cr,2.50 Cr,Other,3.86
Cadila Healthcare Ltd.,Pharmaceuticals,5.65,1399.4,1.80%,0.06%,1.78% (Jan 2019),1.78% (Jan 2019),43.00 L,0.00,Large Cap,84.75
United Breweries Ltd.,Brew/distilleries,1.73,1348,1.73%,0.08%,1.65% (Mar 2019),1.65% (Mar 2019),9.50 L,0.00,Large Cap,84.75
Tech Mahindra Ltd.,Software telecom,1.72,1337.8,1.72%,0.41%,1.72% (Apr 2019),1.72% (Apr 2019),16.00 L,6.00 L,Large Cap,84.75
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,5.65,1320.2,1.69%,0.13%,1.69% (Apr 2019),1.69% (Apr 2019),4.50 L,0.75 L,Large Cap,84.75
Tata Motors Ltd.,Passenger/utility vehicles,4.8,1285.8,1.65%,0.34%,1.29% (Nov 2018),1.29% (Nov 2018),60.00 L,0.00,Large Cap,84.75
Cognizant Technology Solutions Corp.,Foreign equity,1.62,1261.7,1.62%,0.05%,1.57% (Mar 2019),0% (May 2018),2.50 L,0.00,Other,3.86
Ambuja Cements Ltd.,Cement,8.26,1212.8,1.56%,0.06%,1.17% (May 2018),1.17% (May 2018),55.00 L,0.00,Large Cap,84.75
Bharat Petroleum Corporation Ltd.,Refineries/marketing,3.63,1139.6,1.46%,0.03%,1.46% (Apr 2019),1.46% (Apr 2019),30.00 L,0.00,Large Cap,84.75
Hindalco Industries Ltd.,Aluminium,1.45,1133.3,1.45%,0.04%,1.18% (Jul 2018),1.18% (Jul 2018),55.00 L,0.00,Large Cap,84.75
Hero Motocorp Ltd.,Motor cycles/scooters,1.45,1130.3,1.45%,0.02%,1.22% (Jul 2018),1.22% (Jul 2018),4.50 L,0.00,Large Cap,84.75
Dabur India Ltd.,Personal care,3.64,1114.7,1.43%,0.00%,1.43% (Mar 2019),1.43% (Mar 2019),28.00 L,0.00,Large Cap,84.75
Cummins India Ltd.,Diesel engines,1.31,1017.3,1.31%,0.01%,1.14% (Jun 2018),1.14% (Jun 2018),14.00 L,0.00,Mid Cap,6.21
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,1.24,964.6,1.24%,0.02%,0.44% (Jan 2019),0% (May 2018),40.00 L,0.00,Large Cap,84.75
Voltas Limited,"Engineering, designing, construction",5.49,904.1,1.16%,0.02%,0.47% (May 2018),0.47% (May 2018),15.00 L,0.00,Mid Cap,6.21
Tata Motors Ltd.  A Class,Commercial vehicles,1.05,818.4,1.05%,0.20%,0.81% (Oct 2018),0.81% (Oct 2018),80.00 L,0.00,Mid Cap,6.21
Vodafone Idea Ltd.,Telecom  services,7.15,463.5,0.59%,0.09%,0.59% (Apr 2019),0.59% (Apr 2019),3.00 Cr,0.00,Large Cap,84.75
ICICI Prudential Life Insurance Co Ltd.,Insurance,0.57,443.2,0.57%,0.05%,0.45% (Jan 2019),0% (May 2018),12.00 L,0.00,Large Cap,84.75
#Bharti Airtel Ltd.  Rights,Telecom  services,7.15,298.7,0.38%,0.38%,0.38% (Apr 2019),0% (May 2018),29.78 L,29.78 L,Other,3.86
Aditya Birla Fashion and Retail Ltd.,Retailing,0.18,140.2,0.18%,0.60%,0.18% (Apr 2019),0.18% (Apr 2019),6.50 L,0.22 Cr,Mid Cap,6.21
Tata Steel Ltd.,Steel,,781.5,0.00%,0.98%,,,,,Large Cap,84.75
