Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,12.92,3206.6,4.33%,0.07%,2.6% (May 2018),2.6% (May 2018),13.84 L,0.00,Large Cap,15.17
Vardhman Textiles Ltd.,Spinningcotton/blended,2.52,1865.4,2.52%,0.13%,1.71% (May 2018),1.71% (May 2018),16.56 L,0.00,Small Cap,60.42
Cyient Ltd.,It enabled services – software,4.68,1859.3,2.51%,0.05%,1.94% (May 2018),1.94% (May 2018),31.54 L,3.00 L,Small Cap,60.42
Finolex Cables Ltd.,Cables  electricals,2.9,1740.6,2.35%,0.14%,2.33% (Jan 2019),2.33% (Jan 2019),39.54 L,0.00,Small Cap,60.42
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,2.17,1606.8,2.17%,0.09%,1.15% (May 2018),1.15% (May 2018),55.17 L,0.00,Large Cap,15.17
eClerx Services Ltd.,It enabled services – software,4.68,1606.2,2.17%,0.03%,1.88% (Aug 2018),1.88% (Aug 2018),14.02 L,0.00,Small Cap,60.42
Deepak Nitrite Ltd.,Chemicals  speciality,3.84,1526,2.06%,0.04%,1.77% (Dec 2018),1.77% (Dec 2018),57.78 L,0.00,Small Cap,60.42
Voltas Limited,"Engineering, designing, construction",3.11,1519.5,2.05%,0.06%,1.84% (May 2018),1.84% (May 2018),25.21 L,0.00,Mid Cap,17.1
Repco Home Finance Ltd.,Housing finance,3.33,1509.2,2.04%,0.19%,1.79% (Feb 2019),1.79% (Feb 2019),36.16 L,0.00,Small Cap,60.42
Jyothy Laboratories Ltd.,Personal care,1.98,1466.1,1.98%,0.09%,1.4% (Aug 2018),1.4% (Aug 2018),81.63 L,4.00 L,Small Cap,60.42
Brigade Enterprises Ltd.,Residential/commercial/sez project,3.4,1409.7,1.90%,0.21%,1.53% (Oct 2018),1.53% (Oct 2018),63.51 L,0.00,Small Cap,60.42
NESCO Ltd.,Diversified commercial services,3.19,1402.5,1.89%,0.08%,1.78% (Dec 2018),1.78% (Dec 2018),28.25 L,0.00,Small Cap,60.42
DR. LAL PATHLABS Ltd.,Healthcare service providers,1.88,1389.5,1.88%,0.04%,1.72% (May 2018),1.72% (May 2018),13.31 L,0.00,Mid Cap,17.1
DCB Bank Ltd.,Banks,12.92,1327,1.79%,0.09%,0.35% (Jun 2018),0.35% (Jun 2018),62.49 L,0.00,Small Cap,60.42
Atul Ltd.,Chemicals  speciality,3.84,1321.5,1.78%,0.06%,1.46% (Jun 2018),1.46% (Jun 2018),3.86 L,0.00,Mid Cap,17.1
Infosys Ltd.,Computers  software,1.76,1302.2,1.76%,0.05%,1.64% (Dec 2018),1.64% (Dec 2018),17.33 L,0.00,Large Cap,15.17
Axis Bank Ltd.,Banks,12.92,1301.5,1.76%,0.01%,1.61% (Jun 2018),1.61% (Jun 2018),16.97 L,0.00,Large Cap,15.17
Gulf Oil Lubircants India Ltd.,Lubricants,1.74,1288.3,1.74%,0.07%,1.14% (May 2018),1.14% (May 2018),14.97 L,0.00,Small Cap,60.42
Equitas Holdings Ltd.,Investment companies,1.72,1274.4,1.72%,0.05%,1.56% (Nov 2018),1.56% (Nov 2018),97.73 L,0.00,Small Cap,60.42
Karur Vysya Bank Ltd,Banks,12.92,1230.6,1.66%,0.16%,1.48% (May 2018),1.48% (May 2018),1.59 Cr,0.00,Small Cap,60.42
J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,3.02,1192,1.61%,0.05%,1.08% (Jun 2018),1.08% (Jun 2018),34.61 L,0.00,Small Cap,60.42
Kajaria Ceramics Ltd.,Sanitary ware,3.02,1178.2,1.59%,0.04%,0.98% (Jul 2018),0.98% (Jul 2018),19.80 L,0.00,Mid Cap,17.1
Music Broadcast Pvt Ltd.,Media & entertainment,1.99,1157.6,1.56%,0.05%,1.51% (Mar 2019),1.51% (Mar 2019),1.95 Cr,0.00,Other,2.81
Navneet Publications (india) Ltd.,Printing and publishing,2.41,1133.3,1.53%,0.15%,1.21% (Jul 2018),1.21% (Jul 2018),1.02 Cr,6.38 L,Small Cap,60.42
Sobha Ltd.,Residential/commercial/sez project,3.4,1108.8,1.50%,0.09%,1.38% (Sep 2018),1.38% (Sep 2018),23.09 L,0.16 L,Small Cap,60.42
Berger Paints India Ltd.,Paints,1.48,1093.7,1.48%,0.01%,1.41% (Jun 2018),1.41% (Jun 2018),34.29 L,0.00,Large Cap,15.17
Cera Sanitaryware Ltd.,Sanitary ware,3.02,1062.2,1.43%,0.12%,1.01% (Aug 2018),1.01% (Aug 2018),3.79 L,0.00,Small Cap,60.42
Ahluwalia Contracts (India) Ltd.,Construction civil,2.22,1050.2,1.42%,0.03%,1.32% (Jan 2019),1.32% (Jan 2019),32.23 L,0.00,Small Cap,60.42
Ipca Laboratories Ltd.,Pharmaceuticals,3.02,1044.1,1.41%,0.02%,1.11% (Sep 2018),1.11% (Sep 2018),10.96 L,0.00,Mid Cap,17.1
Care Ratings Ltd.,Ratings,1.4,1036.5,1.40%,0.02%,1.38% (Mar 2019),1.38% (Mar 2019),10.54 L,0.00,Small Cap,60.42
Tata Steel Ltd.,Steel,1.39,1032,1.39%,0.11%,1.06% (Jul 2018),0% (May 2018),18.52 L,0.00,Large Cap,15.17
Schaeffler India Ltd.,Bearings,2.1,1025,1.38%,0.01%,1.38% (Apr 2019),1.38% (Apr 2019),1.90 L,0.00,Mid Cap,17.1
City Union Bank Ltd.,Banks,12.92,1000.2,1.35%,0.01%,1.16% (Jul 2018),1.16% (Jul 2018),49.32 L,0.00,Mid Cap,17.1
Teamlease Services Ltd.,Diversified commercial services,3.19,959.5,1.30%,0.00%,1.06% (Jul 2018),1.06% (Jul 2018),3.23 L,0.00,Small Cap,60.42
LIC Housing Finance Ltd.,Housing finance,3.33,955.8,1.29%,0.07%,1.14% (Jun 2018),0% (May 2018),19.24 L,0.00,Mid Cap,17.1
Motilal Oswal Financial Services Ltd.,Stockbroking and allied,1.33,941.9,1.27%,0.21%,0.73% (Oct 2018),0% (May 2018),13.24 L,0.00,Mid Cap,17.1
Kotak Mahindra Bank Ltd.,Banks,12.92,933.4,1.26%,0.07%,1.14% (Oct 2018),1.14% (Oct 2018),6.73 L,0.00,Large Cap,15.17
Carborundum Universal Ltd.,Abrasives,1.23,912.4,1.23%,0.15%,1.1% (May 2018),1.1% (May 2018),25.34 L,0.00,Small Cap,60.42
J K Lakshmi Cement Ltd.,Cement,1.79,871.9,1.18%,0.10%,0.95% (Oct 2018),0.95% (Oct 2018),23.45 L,0.00,Small Cap,60.42
Himatsingka Seide Ltd.,Fabrics and garments,1.95,862.5,1.16%,0.01%,0.74% (Sep 2018),0.74% (Sep 2018),40.31 L,0.30 L,Small Cap,60.42
Pi Industries Ltd.,Pesticides and agrochemicals,1.99,848.6,1.15%,0.06%,0.94% (Aug 2018),0.94% (Aug 2018),8.13 L,0.72 L,Mid Cap,17.1
V.I.P. Industries Ltd,Plastic products  consumer,1.15,848,1.15%,0.08%,1.15% (Apr 2019),1.15% (Apr 2019),18.10 L,1.00 L,Small Cap,60.42
Blue Star Ltd.,Air conditioner,1.13,789.8,1.07%,0.02%,0.93% (Sep 2018),0.93% (Sep 2018),11.67 L,0.00,Small Cap,60.42
Ashoka Buildcon Ltd.,"Engineering, designing, construction",3.11,784.1,1.06%,0.00%,0.98% (Sep 2018),0.98% (Sep 2018),63.13 L,0.00,Small Cap,60.42
Triveni Turbine Ltd.,Power equipment,1.04,769.8,1.04%,0.01%,1.04% (Apr 2019),1.04% (Apr 2019),73.24 L,0.00,Small Cap,60.42
Finolex Industries Ltd.,Plastic products,1.03,761.2,1.03%,0.09%,0.94% (Mar 2019),0.94% (Mar 2019),16.41 L,2.00 L,Small Cap,60.42
GHCL Ltd.,Chemicals  inorganic,2,743.6,1.00%,0.04%,0.84% (Jul 2018),0.84% (Jul 2018),29.36 L,0.00,Small Cap,60.42
Himadri Speciality Chemical Ltd.,Chemicals  inorganic,2,742.3,1.00%,0.03%,0.6% (Sep 2018),0% (May 2018),67.15 L,70.44 k,Small Cap,60.42
TV Today Network Ltd.,Tv broadcasting & software production,0.96,710.6,0.96%,0.01%,0.96% (Apr 2019),0.96% (Apr 2019),23.11 L,0.00,Small Cap,60.42
Ramkrishna Forgings Ltd.,Castings/forgings,1.77,682.9,0.92%,0.02%,0.92% (Jun 2018),0.92% (Jun 2018),13.49 L,0.00,Small Cap,60.42
Gujarat Mineral Development Corporation Ltd.,Industrial minerals,0.9,664.9,0.90%,0.07%,0.9% (Apr 2019),0.9% (Apr 2019),90.28 L,0.00,Small Cap,60.42
Lakshmi Machine Works Ltd.,Textile machinery,0.87,644.3,0.87%,0.01%,0.66% (Jan 2019),0.66% (Jan 2019),1.12 L,5.09 k,Small Cap,60.42
M M Forgings Ltd.,Castings/forgings,1.77,627.2,0.85%,0.03%,0.82% (Mar 2019),0.82% (Mar 2019),11.40 L,0.00,Small Cap,60.42
