Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Amazon.com,Foreign equity,94.77,30.3,6.72%,0.15%,6.23% (Feb 2019),6.23% (Feb 2019),225.00,0.00,Other,96.84
Microsoft Corp,Foreign equity,94.77,27.6,6.13%,0.28%,5.44% (Jan 2019),5.44% (Jan 2019),3.02 k,0.00,Other,96.84
Alphabet Inc,Foreign equity,94.77,25.7,5.71%,0.22%,5.13% (May 2018),5.13% (May 2018),307.00,0.00,Other,96.84
Apple,Foreign equity,94.77,23,5.10%,0.00%,4.7% (Jan 2019),4.7% (Jan 2019),1.64 k,0.00,Other,96.84
Mc DonaldS Corporation (US),Foreign equity,94.77,19.5,4.32%,0.07%,3.63% (Jul 2018),3.63% (Jul 2018),1.41 k,0.00,Other,96.84
Lvmh Moet Hennessy Louis Vuitton Sa,Foreign equity,94.77,19.1,4.24%,0.01%,3.47% (Nov 2018),3.47% (Nov 2018),701.00,0.00,Other,96.84
Procter & Gamble Co.,Foreign equity,94.77,18.7,4.15%,0.14%,2.6% (May 2018),2.6% (May 2018),2.51 k,0.00,Other,96.84
Facebook,Foreign equity,94.77,17.7,3.93%,0.35%,3.17% (Nov 2018),3.17% (Nov 2018),1.31 k,0.00,Other,96.84
The Walt Disney Co.,Foreign equity,94.77,17.5,3.90%,0.56%,2.63% (May 2018),2.63% (May 2018),1.83 k,0.00,Other,96.84
CocaCola Co,Foreign equity,94.77,16.9,3.75%,0.04%,3.52% (Aug 2018),3.52% (Aug 2018),4.93 k,0.00,Other,96.84
#Anheuser Busch Inbev SA,Foreign equity,94.77,16.7,3.70%,0.00%,0% (May 2019),0% (May 2019),2.68 k,0.00,Other,96.84
International Business Machines Corp,Foreign equity,94.77,16.6,3.67%,0.23%,2.91% (Oct 2018),2.91% (Oct 2018),1.69 k,0.00,Other,96.84
Cisco Systems,Foreign equity,94.77,15.7,3.50%,0.07%,2.79% (Jul 2018),2.79% (Jul 2018),4.03 k,0.00,Other,96.84
JPMorgan Chase & Co,Foreign equity,94.77,15.1,3.34%,0.26%,3.08% (Mar 2019),3.08% (Mar 2019),1.86 k,0.00,Other,96.84
Intel Corporation,Foreign equity,94.77,14.6,3.25%,0.37%,3.12% (Sep 2018),3.12% (Sep 2018),4.10 k,0.00,Other,96.84
Oracle Corp,Foreign equity,94.77,13.7,3.05%,0.08%,2.16% (Jun 2018),2.16% (Jun 2018),3.55 k,0.00,Other,96.84
#Toyota Motor Corp,Foreign equity,94.77,13.5,3.00%,0.00%,0% (May 2019),0% (May 2019),1.56 k,0.00,Other,96.84
Bayerische Motoren Werke AG,Foreign equity,94.77,11.9,2.65%,0.10%,2.55% (Mar 2019),2.55% (Mar 2019),2.02 k,0.00,Other,96.84
Nike Inc,Foreign equity,94.77,11.4,2.54%,0.04%,2.23% (May 2018),2.23% (May 2018),1.86 k,0.00,Other,96.84
United Parcel Services INC,Foreign equity,94.77,10.3,2.29%,0.26%,2.29% (Apr 2019),2.29% (Apr 2019),1.39 k,0.00,Other,96.84
Pepsico Inc,Foreign equity,94.77,9.9,2.20%,0.03%,1.41% (May 2018),1.41% (May 2018),1.11 k,0.00,Other,96.84
Daimler AgRegistered Shares,Foreign equity,94.77,9.9,2.19%,0.11%,1.86% (Jun 2018),1.86% (Jun 2018),2.17 k,0.00,Other,96.84
American Express Co.,Foreign equity,94.77,9.7,2.15%,0.03%,1.93% (Jul 2018),1.93% (Jul 2018),1.19 k,0.00,Other,96.84
Sap Se,It enabled services,2.07,9.3,2.07%,0.09%,1.86% (Nov 2018),1.86% (Nov 2018),1.04 k,0.00,Other,96.84
General Electric Co,Foreign equity,94.77,9.1,2.01%,0.08%,1.65% (Nov 2018),1.65% (Nov 2018),12.75 k,0.00,Other,96.84
Accenture PLC,Foreign equity,94.77,9,2.00%,0.04%,1.85% (Dec 2018),0% (May 2018),705.00,0.00,Other,96.84
#Honda Motor Co Ltd.,Foreign equity,94.77,7.9,1.76%,0.00%,0% (May 2019),0% (May 2019),4.08 k,0.00,Other,96.84
#Lvmh Moet Hennessy ADR,Foreign equity,94.77,5,1.11%,0.00%,0% (May 2019),0% (May 2019),4.72 k,0.00,Other,96.84
Hermes International,Foreign equity,94.77,4.7,1.03%,0.00%,0.89% (Nov 2018),0.89% (Nov 2018),95.00,0.00,Other,96.84
#Hennes & Mauritz Ab,Foreign equity,94.77,4.3,0.96%,0.00%,0% (May 2019),0% (May 2019),17.88 k,0.00,Other,96.84
#Lvmh Moet Hennessy Louis Vuitton,Foreign equity,94.77,1.5,0.34%,0.00%,0% (May 2019),0% (May 2019),280.00,0.00,Other,96.84
WABTEC CORP,Foreign equity,94.77,0.4,0.08%,0.00%,0.08% (Apr 2019),0% (May 2018),69.00,0.00,Other,96.84
