Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,28.05,15.8,10.57%,0.05%,9.17% (Aug 2018),9.17% (Aug 2018),6.82 k,159.00,Large Cap,99.83
Reliance Industries Ltd.,Refineries/marketing,11.51,15.1,10.09%,0.10%,7.44% (May 2018),7.44% (May 2018),10.83 k,182.00,Large Cap,99.83
Housing Development Finance Corporation Ltd.,Housing finance,7.43,10.4,6.96%,0.06%,6.47% (Sep 2018),6.47% (Sep 2018),5.22 k,122.00,Large Cap,99.83
Infosys Ltd.,Computers  software,13.44,9,6.04%,0.02%,5.47% (May 2018),5.47% (May 2018),12.01 k,182.00,Large Cap,99.83
ICICI Bank Ltd.,Banks,28.05,8.4,5.58%,0.07%,4.19% (Jun 2018),4.19% (Jun 2018),20.49 k,476.00,Large Cap,99.83
ITC Limited,Cigarettes,5.5,8.2,5.50%,0.05%,5.4% (Jun 2018),5.4% (Jun 2018),27.28 k,634.00,Large Cap,99.83
Tata Consultancy Services Ltd.,Computers  software,13.44,7.5,5.04%,0.51%,4.07% (May 2018),4.07% (May 2018),3.33 k,45.00,Large Cap,99.83
Kotak Mahindra Bank Ltd.,Banks,28.05,5.8,3.91%,0.13%,3.5% (Sep 2018),3.5% (Sep 2018),4.21 k,99.00,Large Cap,99.83
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.52,5.3,3.52%,0.11%,3.52% (Apr 2019),3.52% (Apr 2019),3.90 k,91.00,Large Cap,99.83
Axis Bank Ltd.,Banks,28.05,4.8,3.19%,0.24%,2.08% (Jun 2018),2.08% (Jun 2018),6.22 k,696.00,Large Cap,99.83
Hindustan Unilever Ltd.,Diversified,2.65,4,2.65%,0.07%,2.59% (Mar 2019),2.59% (Mar 2019),2.26 k,53.00,Large Cap,99.83
State Bank Of India,Banks,28.05,3.6,2.42%,0.09%,2.26% (Sep 2018),2.26% (Sep 2018),11.69 k,277.00,Large Cap,99.83
Maruti Suzuki India Ltd.,Passenger/utility vehicles,3.97,2.8,1.87%,0.01%,1.87% (Apr 2019),1.87% (Apr 2019),420.00,10.00,Large Cap,99.83
Indusind Bank Ltd.,Banks,28.05,2.6,1.73%,0.20%,1.73% (Apr 2019),1.73% (Apr 2019),1.61 k,38.00,Large Cap,99.83
Bajaj Finance Ltd.,Nbfc,2.45,2.3,1.50%,0.03%,1.13% (May 2018),1.13% (May 2018),725.00,18.00,Large Cap,99.83
HCL Technologies Limited,Computers  software,13.44,2.1,1.39%,0.11%,1.19% (May 2018),1.19% (May 2018),1.76 k,40.00,Large Cap,99.83
Asian Paints (india) Ltd.,Paints,1.38,2.1,1.38%,0.03%,1.32% (Sep 2018),1.32% (Sep 2018),1.41 k,33.00,Large Cap,99.83
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,3.97,1.9,1.26%,0.06%,1.26% (Apr 2019),1.26% (Apr 2019),2.93 k,69.00,Large Cap,99.83
National Thermal Power Corporation Ltd.,Power,1.13,1.7,1.13%,0.01%,0.97% (Nov 2018),0.97% (Nov 2018),12.61 k,300.00,Large Cap,99.83
Oil & Natural Gas Corporation Ltd.,Oil exploration,1.09,1.6,1.09%,0.06%,0.89% (Nov 2018),0.89% (Nov 2018),9.67 k,223.00,Large Cap,99.83
Tech Mahindra Ltd.,Software telecom,1.09,1.6,1.09%,0.07%,0.94% (Jul 2018),0.94% (Jul 2018),1.95 k,46.00,Large Cap,99.83
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2.44,1.6,1.06%,0.05%,1.06% (Apr 2019),1.06% (Apr 2019),3.45 k,82.00,Large Cap,99.83
Ultratech Cement Ltd.,Cement,1.73,1.5,1.00%,0.13%,0.83% (Jan 2019),0.83% (Jan 2019),325.00,8.00,Large Cap,99.83
Titan Company Ltd.,"Gems, jewellery and watches",0.99,1.5,0.99%,0.01%,0.75% (Sep 2018),0.75% (Sep 2018),1.28 k,31.00,Large Cap,99.83
Wipro Ltd.,Computers  software,13.44,1.5,0.97%,0.14%,0.71% (May 2018),0.71% (May 2018),4.86 k,111.00,Large Cap,99.83
Bajaj Finserv Ltd,Nbfc,2.45,1.4,0.95%,0.05%,0.82% (Jun 2018),0.82% (Jun 2018),188.00,4.00,Large Cap,99.83
Bharti Airtel Ltd.,Telecom  services,1.12,1.4,0.92%,0.04%,0.92% (Apr 2019),0.92% (Apr 2019),4.30 k,97.00,Large Cap,99.83
Coal India Ltd.,Industrial minerals,0.89,1.3,0.89%,0.05%,0.71% (Dec 2018),0.71% (Dec 2018),5.28 k,124.00,Large Cap,99.83
Tata Steel Ltd.,Steel,1.58,1.3,0.89%,0.05%,0.83% (Jan 2019),0.83% (Jan 2019),2.38 k,56.00,Large Cap,99.83
Power Grid Corporation of India Ltd.,Power transmission,0.88,1.3,0.88%,0.06%,0.88% (Apr 2019),0.88% (Apr 2019),7.05 k,170.00,Large Cap,99.83
Bajaj Auto Ltd.,Motor cycles/scooters,1.54,1.3,0.85%,0.02%,0.8% (Jan 2019),0.8% (Jan 2019),427.00,10.00,Large Cap,99.83
Tata Motors Ltd.,Passenger/utility vehicles,3.97,1.3,0.84%,0.15%,0.69% (Mar 2019),0.69% (Mar 2019),5.89 k,134.00,Large Cap,99.83
Indian Oil Corporation Ltd.,Refineries/marketing,11.51,1.2,0.80%,0.03%,0.63% (Nov 2018),0.63% (Nov 2018),7.56 k,174.00,Large Cap,99.83
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,2.44,1.2,0.78%,0.04%,0.57% (May 2018),0.57% (May 2018),396.00,9.00,Large Cap,99.83
Grasim Industries Limited,Cement,1.73,1.1,0.73%,0.03%,0.64% (Jan 2019),0.64% (Jan 2019),1.21 k,29.00,Large Cap,99.83
UPL Ltd.,Pesticides and agrochemicals,0.73,1.1,0.73%,0.01%,0.51% (Jul 2018),0.51% (Jul 2018),1.12 k,27.00,Large Cap,99.83
Britannia Industries Ltd.,Consumer food,0.72,1.1,0.72%,0.05%,0.72% (Apr 2019),0% (May 2018),374.00,9.00,Large Cap,99.83
Hero Motocorp Ltd.,Motor cycles/scooters,1.54,1,0.69%,0.01%,0.69% (Apr 2019),0.69% (Apr 2019),409.00,10.00,Large Cap,99.83
J S W Steel Ltd.,Steel,1.58,1,0.69%,0.03%,0.66% (Mar 2019),0% (May 2018),3.33 k,75.00,Large Cap,99.83
Adani Ports And Special Economic Zone Ltd.,Port,0.67,1,0.67%,0.02%,0.54% (Sep 2018),0.54% (Sep 2018),2.56 k,58.00,Large Cap,99.83
