Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Maruti Suzuki India Ltd.,Passenger/utility vehicles,8.25,1739.9,8.25%,0.11%,6.79% (Jan 2019),6.79% (Jan 2019),2.61 L,0.00,Large Cap,51.63
Hindustan Unilever Ltd.,Diversified,8.1,1708.5,8.10%,0.34%,7.76% (Mar 2019),7.76% (Mar 2019),9.72 L,0.00,Large Cap,51.63
Britannia Industries Ltd.,Consumer food,14.21,1579.7,7.49%,0.38%,7.49% (Apr 2019),7.49% (Apr 2019),5.45 L,0.00,Large Cap,51.63
Mphasis Ltd.,Computers  software,5.68,1197.4,5.68%,0.04%,5.68% (Apr 2019),5.68% (Apr 2019),12.35 L,0.00,Mid Cap,33.34
Sanofi India Ltd.,Pharmaceuticals,5.09,797.9,3.78%,0.11%,3.66% (Jun 2018),3.66% (Jun 2018),1.42 L,0.00,Mid Cap,33.34
United Spirits Ltd.,Brew/distilleries,4.69,772.6,3.66%,0.09%,3.44% (Sep 2018),3.44% (Sep 2018),13.77 L,0.00,Large Cap,51.63
Ambuja Cements Ltd.,Cement,3.61,762.1,3.61%,0.19%,3.43% (Jan 2019),3.43% (Jan 2019),34.56 L,0.00,Large Cap,51.63
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,14.21,759.8,3.60%,0.06%,2.32% (Jul 2018),2.32% (Jul 2018),1.04 L,0.00,Large Cap,51.63
Honeywell Automation India Ltd.,Industrial electronics,3.49,735.9,3.49%,0.30%,2.77% (Jun 2018),2.77% (Jun 2018),30.60 k,0.00,Mid Cap,33.34
Procter & Gamble Hygiene & Health Care Ltd.,Personal care,5.99,688.8,3.26%,0.16%,2.42% (May 2018),2.42% (May 2018),67.50 k,0.00,Large Cap,51.63
Cummins India Ltd.,Diesel engines,3.22,680.1,3.22%,0.04%,2.98% (Jul 2018),2.98% (Jul 2018),9.36 L,0.00,Mid Cap,33.34
Bosch Ltd.,Auto ancillaries,4.34,669.6,3.17%,0.01%,3.16% (Mar 2019),3.16% (Mar 2019),37.16 k,0.00,Large Cap,51.63
Nestle India Ltd.,Consumer food,14.21,657.6,3.12%,0.03%,2.66% (May 2018),2.66% (May 2018),60.30 k,0.00,Large Cap,51.63
Schaeffler India Ltd.,Bearings,5.46,601.7,2.85%,0.02%,2.85% (Apr 2019),2.85% (Apr 2019),1.12 L,0.00,Mid Cap,33.34
Whirlpool Of India Ltd.,Home appliances,2.31,486.9,2.31%,0.17%,1.81% (Dec 2018),1.81% (Dec 2018),3.50 L,0.00,Mid Cap,33.34
Bayer Cropscience Ltd.,Pesticides and agrochemicals,2.22,456.2,2.16%,0.12%,2.16% (Apr 2019),2.16% (Apr 2019),1.11 L,0.00,Mid Cap,33.34
Oracle Financial Services Software Limited,It enabled services – software,2.16,456.1,2.16%,0.11%,1.94% (Nov 2018),1.94% (Nov 2018),1.30 L,0.00,Large Cap,51.63
GE Power India Ltd.,Power equipment,4.07,455.3,2.16%,0.26%,1.73% (Aug 2018),1.73% (Aug 2018),5.03 L,0.00,Small Cap,8.15
SKF India Ltd.,Bearings,5.46,447.1,2.12%,0.04%,1.83% (Jul 2018),1.83% (Jul 2018),2.26 L,0.00,Mid Cap,33.34
I T D Cementation India Ltd.,Construction civil,1.9,400.1,1.90%,0.09%,1.61% (Nov 2018),1.61% (Nov 2018),32.40 L,0.00,Small Cap,8.15
Gillette India Ltd.,Personal care,5.99,384.5,1.82%,0.25%,1.53% (Aug 2018),1.53% (Aug 2018),51.00 k,0.00,Mid Cap,33.34
Vedanta Ltd.,Copper & copper products,1.74,367.9,1.74%,0.16%,1.37% (Jul 2018),1.37% (Jul 2018),22.05 L,0.00,Large Cap,51.63
Castrol (india) Ltd.,Lubricants,1.61,340.6,1.61%,0.13%,1.57% (Dec 2018),1.57% (Dec 2018),22.32 L,0.00,Mid Cap,33.34
Siemens Ltd.,Power equipment,4.07,321.9,1.53%,0.08%,1.1% (Nov 2018),1.1% (Nov 2018),2.75 L,0.00,Large Cap,51.63
Mahindra CIE Automotive Ltd.,Castings/forgings,1.51,319.6,1.51%,0.03%,1.51% (Apr 2019),1.51% (Apr 2019),14.04 L,0.00,Mid Cap,33.34
GlaxoSmithKline Pharmaceuticals Ltd.,Pharmaceuticals,5.09,277.4,1.31%,0.00%,1.31% (Apr 2019),1.31% (Apr 2019),2.16 L,0.00,Mid Cap,33.34
Grindwell Norton Ltd.,Abrasives,1.11,234.9,1.11%,0.03%,0.9% (Jul 2018),0.9% (Nov 2018),3.87 L,0.00,Small Cap,8.15
United Breweries Ltd.,Brew/distilleries,4.69,217.1,1.03%,0.03%,0.61% (Aug 2018),0% (May 2018),1.53 L,0.00,Large Cap,51.63
Colgate  Palmolive (India) Limited,Personal care,5.99,192.9,0.91%,0.03%,0.51% (Aug 2018),0.51% (Aug 2018),1.60 L,0.00,Large Cap,51.63
CRISIL Ltd.,Other financial services,0.79,167.7,0.79%,0.01%,0.79% (Apr 2019),0.79% (Apr 2019),1.17 L,0.00,Mid Cap,33.34
WABCO India Ltd.,Auto ancillaries,4.34,146.4,0.69%,0.04%,0.69% (Jan 2019),0.69% (Apr 2019),23.40 k,0.00,Mid Cap,33.34
Blue Dart Express Ltd.,Logistics solution provider,0.6,127.6,0.60%,0.05%,0.56% (Oct 2018),0.56% (Oct 2018),38.79 k,0.00,Small Cap,8.15
Akzo Nobel India Ltd.,Paints,0.59,123.7,0.59%,0.02%,0.55% (Nov 2018),0.55% (Nov 2018),72.00 k,0.00,Small Cap,8.15
Timken India Ltd.,Bearings,5.46,103.1,0.49%,0.02%,0.48% (Nov 2018),0.48% (Nov 2018),1.87 L,0.00,Small Cap,8.15
Igarashi Motors India Ltd.,Auto ancillaries,4.34,101.2,0.48%,0.05%,0.48% (Apr 2019),0.48% (Apr 2019),3.26 L,0.00,Small Cap,8.15
GE T&D India Ltd.,Power equipment,4.07,80.3,0.38%,0.03%,0.38% (Apr 2019),0.38% (Apr 2019),3.15 L,0.00,Small Cap,8.15
Huhtamaki PPL Ltd.,Packaging,0.38,80.2,0.38%,0.05%,0.29% (Jan 2019),0.29% (Jan 2019),3.56 L,0.00,Small Cap,8.15
Monsanto India Ltd.,Pesticides and agrochemicals,2.22,12.6,0.06%,0.00%,0.06% (Apr 2019),0.06% (Nov 2018),5.00 k,0.00,Small Cap,8.15
MF Units,Other,,1251.5,0.00%,5.85%,,,,,Other,0
