Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Grindwell Norton Ltd.,Abrasives,4.26,28,4.26%,0.24%,2.99% (May 2018),2.99% (May 2018),46.20 k,0.00,Small Cap,98.63
KEI Industries Ltd.,Cables  electricals,4.23,27.8,4.23%,0.01%,3.48% (Oct 2018),3.48% (Oct 2018),68.18 k,0.00,Small Cap,98.63
VGuard Industries Ltd.,Industrial electronics,4.17,27.5,4.17%,0.08%,3.52% (Jun 2018),3.52% (Jun 2018),1.26 L,0.00,Small Cap,98.63
Blue Star Ltd.,Air conditioner,5.49,26.9,4.09%,0.15%,3.63% (May 2018),3.63% (May 2018),39.79 k,0.00,Small Cap,98.63
Kalpataru Power Transmission Ltd.,Transmission towers,3.93,25.9,3.93%,0.11%,3.35% (Jan 2019),3.35% (Jan 2019),55.56 k,0.00,Small Cap,98.63
Navin Flourine International Ltd.,Chemicals  inorganic,3.57,23.5,3.57%,0.05%,3.14% (May 2018),3.14% (May 2018),35.02 k,0.00,Small Cap,98.63
Praj Industries Ltd.,"Engineering, designing, construction",9.19,22.7,3.45%,0.31%,2.16% (Jul 2018),2.16% (Jul 2018),1.66 L,0.00,Small Cap,98.63
Heidelberg Cement India Ltd.,Cement,8.31,22.7,3.44%,0.15%,2.46% (Jun 2018),2.46% (Jun 2018),1.24 L,0.00,Small Cap,98.63
Healthcare Global Enterprises Ltd.,Hospital,3.03,19.9,3.03%,0.22%,3.03% (Apr 2019),3.03% (Apr 2019),1.01 L,0.00,Small Cap,98.63
Ashoka Buildcon Ltd.,"Engineering, designing, construction",9.19,18.5,2.81%,0.05%,2.57% (Sep 2018),2.57% (Sep 2018),1.49 L,0.00,Small Cap,98.63
Astra Microwave Products Ltd.,Telecom   equipment,2.71,17.9,2.71%,0.24%,2.46% (Dec 2018),2.46% (Dec 2018),2.04 L,0.00,Small Cap,98.63
PVR Ltd.,"Flim production, distribution & exhibition",4.16,17.4,2.65%,0.28%,1.67% (Jul 2018),1.67% (Jul 2018),9.85 k,0.00,Small Cap,98.63
M M Forgings Ltd.,Castings/forgings,2.64,17.4,2.64%,0.13%,2.51% (Mar 2019),2.51% (Mar 2019),31.57 k,0.00,Small Cap,98.63
Subros Ltd.,Auto ancillaries,2.55,16.8,2.55%,0.21%,2.34% (Mar 2019),2.34% (Mar 2019),59.92 k,0.00,Small Cap,98.63
J.K. Cement Ltd.,Cement,8.31,16.1,2.45%,0.19%,1.69% (May 2018),1.69% (May 2018),17.87 k,0.00,Small Cap,98.63
Ujjivan Small Finance Bank Ltd.,Banks,4.19,16,2.43%,0.07%,1.71% (Nov 2018),1.71% (Nov 2018),49.25 k,0.00,Small Cap,98.63
India Cements Ltd.,Cement,8.31,15.9,2.42%,0.07%,2.05% (Jan 2019),2.05% (Jan 2019),1.48 L,0.00,Small Cap,98.63
NCC Ltd.,"Engineering, designing, construction",9.19,15.3,2.33%,0.22%,1.83% (Sep 2018),1.83% (Sep 2018),1.55 L,0.00,Small Cap,98.63
