Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,25.46,215.5,7.58%,0.09%,3.84% (May 2018),3.84% (May 2018),93.00 k,0.00,Large Cap,67.14
Infosys Ltd.,Computers  software,11.24,135.2,4.76%,0.11%,3.07% (May 2018),3.07% (May 2018),1.80 L,0.00,Large Cap,67.14
ICICI Bank Ltd.,Banks,25.46,134.5,4.73%,0.14%,2.93% (Jun 2018),2.93% (Jun 2018),3.30 L,0.00,Large Cap,67.14
Reliance Industries Ltd.,Refineries/marketing,4.87,125.4,4.41%,0.15%,3.31% (May 2018),3.31% (May 2018),90.00 k,0.00,Large Cap,67.14
Tata Consultancy Services Ltd.,Computers  software,11.24,120,4.22%,0.81%,2.14% (May 2018),2.14% (May 2018),53.09 k,4.00 k,Large Cap,67.14
Indusind Bank Ltd.,Banks,25.46,103.3,3.63%,0.35%,3.59% (Feb 2019),3.59% (Feb 2019),64.32 k,0.00,Large Cap,67.14
Axis Bank Ltd.,Banks,25.46,99.7,3.51%,0.54%,1.54% (Jun 2018),1.54% (Jun 2018),1.30 L,20.00 k,Large Cap,67.14
Cholamandalam Investment & Finance Co. Ltd.,Nbfc,3.59,86.1,3.03%,1.26%,0.94% (Jan 2019),0.94% (Jan 2019),62.00 k,27.00 k,Mid Cap,22.4
Shree Cement Ltd.,Cement,5.18,85.5,3.00%,0.85%,1.87% (Oct 2018),1.87% (Oct 2018),4.32 k,1.00 k,Large Cap,67.14
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.87,79.1,2.78%,1.27%,1.51% (Mar 2019),1.51% (Mar 2019),58.68 k,27.36 k,Large Cap,67.14
L&T Finance Holdings Ltd.,Investment companies,3.16,74.2,2.61%,0.39%,2.3% (Sep 2018),2.3% (Sep 2018),5.66 L,0.00,Mid Cap,22.4
Kotak Mahindra Bank Ltd.,Banks,25.46,69.3,2.44%,0.12%,1.84% (Sep 2018),1.84% (Sep 2018),50.00 k,0.00,Large Cap,67.14
ITC Limited,Cigarettes,2.33,66.3,2.33%,0.06%,1.78% (Feb 2019),1.78% (Feb 2019),2.20 L,0.00,Large Cap,67.14
