Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Tata Consultancy Services Ltd.,Computers  software,18.28,24.7,6.51%,1.16%,4.12% (Oct 2018),4.12% (Oct 2018),10.94 k,689.00,Large Cap,51.76
Infosys Ltd.,Computers  software,18.28,21.4,5.65%,0.28%,4.61% (Oct 2018),4.61% (Oct 2018),28.53 k,2.10 k,Large Cap,51.76
Shree Cement Ltd.,Cement,12.72,14.8,3.92%,1.85%,0.64% (Oct 2018),0.64% (Oct 2018),751.00,325.00,Large Cap,51.76
The Ramco Cements Ltd.,Cement,12.72,11.1,2.94%,1.09%,0.77% (Dec 2018),0% (May 2018),14.39 k,4.75 k,Mid Cap,32.53
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,4.24,9.6,2.54%,0.07%,1.27% (Sep 2018),0% (May 2018),39.89 k,0.00,Large Cap,51.76
Lakshmi Machine Works Ltd.,Textile machinery,2.48,9.4,2.48%,0.09%,1.02% (Sep 2018),1.02% (Sep 2018),1.62 k,3.00,Small Cap,14.18
3M India Ltd.,Diversified commercial services,2.35,8.9,2.35%,0.09%,1.59% (Jan 2019),1.59% (Jan 2019),389.00,0.00,Mid Cap,32.53
Info Edge (India) Ltd.,It enabled services – software,2.22,8.4,2.22%,0.13%,1.84% (Sep 2018),0% (May 2018),4.34 k,0.00,Mid Cap,32.53
Aurobindo Pharma Ltd.,Pharmaceuticals,7.62,8.3,2.19%,0.27%,1.04% (Aug 2018),0% (May 2018),10.11 k,768.00,Large Cap,51.76
Ultratech Cement Ltd.,Cement,12.72,7.9,2.07%,0.82%,0.53% (Feb 2019),0% (May 2018),1.70 k,500.00,Large Cap,51.76
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,7.62,7.8,2.06%,0.28%,0.63% (Jun 2018),0% (May 2018),2.65 k,200.00,Large Cap,51.76
ABB India Ltd.,Power equipment,3.01,7.3,1.94%,0.18%,0.61% (Jul 2018),0% (May 2018),4.99 k,1.17 k,Large Cap,51.76
Berger Paints India Ltd.,Paints,3.86,7.2,1.89%,0.11%,0.95% (May 2018),0.95% (May 2018),22.55 k,1.21 k,Large Cap,51.76
V.I.P. Industries Ltd,Plastic products  consumer,1.83,6.9,1.83%,0.04%,0.6% (Nov 2018),0% (May 2018),14.72 k,0.00,Small Cap,14.18
IFB Industries Ltd,Home appliances,3.37,6.8,1.79%,0.26%,1.53% (Mar 2019),0% (May 2018),7.50 k,1.50 k,Small Cap,14.18
Relaxo Footwears Ltd.,Leather and leather products,3.02,6.6,1.74%,0.20%,0.71% (Sep 2018),0.71% (Sep 2018),7.49 k,2.10 k,Mid Cap,32.53
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,4.24,6.5,1.70%,0.08%,1.16% (Sep 2018),1.16% (Sep 2018),20.62 k,1.83 k,Mid Cap,32.53
Mahindra CIE Automotive Ltd.,Castings/forgings,2,6.3,1.66%,0.02%,0.66% (Sep 2018),0% (May 2018),27.54 k,0.00,Mid Cap,32.53
#Hero Motocorp Ltd.,Motor cycles/scooters,3.71,6,1.59%,1.59%,1.03% (Dec 2018),0% (May 2018),2.40 k,2.40 k,Large Cap,51.76
Whirlpool Of India Ltd.,Home appliances,3.37,6,1.58%,0.13%,0.72% (Sep 2018),0.72% (Sep 2018),4.31 k,0.00,Mid Cap,32.53
Trent Limited,Retailing,1.55,5.9,1.55%,0.25%,1.3% (Mar 2019),1.3% (Mar 2019),16.40 k,2.50 k,Mid Cap,32.53
GAIL (India) Ltd.,Gas transmission/marketing,1.55,5.9,1.55%,0.06%,1.49% (Mar 2019),0% (May 2018),16.48 k,0.00,Large Cap,51.76
Container Corporation Of India Ltd.,Logistics solution provider,1.52,5.8,1.52%,0.23%,0.75% (Nov 2018),0% (May 2018),11.68 k,1.13 k,Large Cap,51.76
Page Industries Ltd.,Fabrics and garments,1.51,5.7,1.51%,0.21%,1.16% (Jan 2019),1.16% (Jan 2019),249.00,16.00,Large Cap,51.76
Greenply Industries Ltd.,Plywood boards,1.49,5.6,1.49%,0.11%,0.58% (Feb 2019),0% (May 2018),34.00 k,0.00,Small Cap,14.18
Heidelberg Cement India Ltd.,Cement,12.72,5.6,1.48%,0.03%,0.32% (Nov 2018),0% (May 2018),30.82 k,0.00,Small Cap,14.18
Coromandel International Ltd.,Fertilisersphosphatic,1.43,5.4,1.43%,1.47%,1.23% (Oct 2018),0% (May 2018),12.49 k,9.76 k,Mid Cap,32.53
Grindwell Norton Ltd.,Abrasives,1.43,5.4,1.43%,0.04%,0.91% (Feb 2019),0% (May 2018),9.00 k,0.00,Small Cap,14.18
Ambuja Cements Ltd.,Cement,12.72,5.1,1.36%,0.18%,0.59% (Oct 2018),0% (May 2018),23.30 k,4.00 k,Large Cap,51.76
Coal India Ltd.,Industrial minerals,1.34,5.1,1.34%,0.84%,0.5% (Mar 2019),0% (May 2018),20.07 k,12.00 k,Large Cap,51.76
Bajaj Auto Ltd.,Motor cycles/scooters,3.71,5.1,1.34%,0.05%,1.29% (Mar 2019),0% (May 2018),1.70 k,0.00,Large Cap,51.76
Marico Ltd.,Personal care,2.1,5,1.32%,0.08%,0.45% (May 2018),0.45% (May 2018),13.95 k,1.58 k,Large Cap,51.76
Havells India Ltd.,Consumer elctronics,1.31,5,1.31%,0.02%,0.79% (Sep 2018),0% (May 2018),6.42 k,0.00,Large Cap,51.76
Thermax Ltd.,Industrial equipment,1.28,4.9,1.28%,0.49%,0.54% (Feb 2019),0% (May 2018),5.00 k,2.00 k,Mid Cap,32.53
Bata India Ltd.,Leather and leather products,3.02,4.8,1.28%,0.06%,1.22% (Mar 2019),0% (May 2018),3.33 k,0.00,Mid Cap,32.53
Sundram Fasteners Ltd.,Fastener,1.26,4.8,1.26%,0.02%,1.26% (Apr 2019),1.26% (Apr 2019),8.70 k,0.00,Mid Cap,32.53
Asian Paints (india) Ltd.,Paints,3.86,4.7,1.25%,0.27%,1.25% (Apr 2019),1.25% (Apr 2019),3.23 k,0.66 k,Large Cap,51.76
