Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Wonderla Holidays Ltd.,Other recreational activities,3.38,110.6,3.38%,0.10%,2.33% (Jul 2018),2.33% (Jul 2018),3.49 L,0.00,Small Cap,75.52
NESCO Ltd.,Diversified commercial services,5.3,104.3,3.18%,0.10%,2.67% (Jun 2018),2.67% (Jun 2018),2.10 L,0.00,Small Cap,75.52
Minda Industries Ltd.,Auto ancillaries,6.07,101.6,3.10%,0.33%,2.26% (Jan 2019),0% (May 2018),2.79 L,0.00,Small Cap,75.52
Fine Organic Industries Ltd.,Chemicals  speciality,3.05,100,3.05%,0.34%,2.33% (Jul 2018),0% (May 2018),71.95 k,0.00,Small Cap,75.52
Lumax Industries Ltd.,Auto ancillaries,6.07,97.3,2.97%,0.18%,2.07% (Jan 2019),0% (May 2018),57.27 k,0.00,Small Cap,75.52
Heritage Foods (india) Ltd.,Consumer food,3.93,93.6,2.86%,0.11%,2.54% (Jul 2018),2.54% (Jul 2018),1.80 L,0.00,Small Cap,75.52
TCI Express Ltd.,Logistics solution provider,6.8,89.9,2.74%,1.72%,1.02% (Mar 2019),0% (May 2018),1.34 L,88.59 k,Small Cap,75.52
Abbott India Ltd.,Pharmaceuticals,6.04,89.1,2.72%,0.06%,2.05% (Aug 2018),0% (May 2018),12.00 k,0.00,Mid Cap,18.1
Mahindra Logistics Ltd.,Logistics solution provider,6.8,88.8,2.71%,0.09%,2.36% (Feb 2019),2.36% (Feb 2019),1.64 L,0.00,Small Cap,75.52
Multi Commodity Exchange Of India Ltd.,Other financial services,2.65,87,2.65%,0.17%,1.1% (Jun 2018),0% (May 2018),1.01 L,0.00,Small Cap,75.52
VMart Retail Ltd.,Retailing,4.67,86.5,2.64%,0.76%,1.88% (Mar 2019),0% (May 2018),31.05 k,8.05 k,Small Cap,75.52
Orient Electric Ltd.,Home appliances,3.98,84.3,2.57%,0.02%,2.46% (Jan 2019),0% (May 2018),5.52 L,0.00,Small Cap,75.52
Tata Metaliks Ltd.,Pig iron,2.5,82.1,2.50%,0.19%,2.41% (Jun 2018),2.41% (Jun 2018),1.32 L,4.72 k,Small Cap,75.52
Tata Elxsi Ltd.,Computers  software,3.87,74.9,2.29%,0.06%,2.29% (Apr 2019),2.29% (Apr 2019),80.55 k,0.00,Small Cap,75.52
IRCON International Limited,Construction projects,2.25,73.8,2.25%,0.01%,2.24% (Nov 2018),0% (May 2018),1.85 L,0.00,Small Cap,75.52
Indian Energy Exchange Ltd.,Capital markets,2.23,73.1,2.23%,0.16%,2.21% (Jul 2018),0% (May 2018),4.60 L,0.18 L,Small Cap,75.52
City Union Bank Ltd.,Banks,6.44,71.6,2.18%,0.01%,2.13% (Feb 2019),2.13% (Feb 2019),3.53 L,0.00,Mid Cap,18.1
KNR Constructions,Construction civil,2.18,71.5,2.18%,0.18%,1.83% (May 2018),1.83% (May 2018),2.98 L,0.00,Small Cap,75.52
Avanti Feeds Ltd.,Animal feed,2.17,71.2,2.17%,0.27%,1.97% (Nov 2018),0% (May 2018),1.96 L,0.00,Small Cap,75.52
PVR Ltd.,"Flim production, distribution & exhibition",2.13,69.9,2.13%,1.13%,1% (Mar 2019),0% (May 2018),39.49 k,19.45 k,Small Cap,75.52
Teamlease Services Ltd.,Diversified commercial services,5.3,69.4,2.12%,1.45%,0.67% (Mar 2019),0% (May 2018),23.38 k,16.13 k,Small Cap,75.52
Aditya Birla Fashion and Retail Ltd.,Retailing,4.67,66.7,2.03%,0.68%,0.97% (Feb 2019),0% (May 2018),3.09 L,1.08 L,Mid Cap,18.1
The Jammu & Kashmir Bank Ltd.,Banks,6.44,66.5,2.03%,0.25%,0.64% (May 2018),0.64% (May 2018),10.94 L,0.00,Small Cap,75.52
Cholamandalam Investment & Finance Co. Ltd.,Nbfc,2,65.6,2.00%,0.08%,1.82% (Jan 2019),1.82% (Jan 2019),47.20 k,0.00,Mid Cap,18.1
RITES Ltd.,"Engineering, designing, construction",2,65.6,2.00%,0.11%,2% (Apr 2019),0% (May 2018),2.67 L,0.00,Small Cap,75.52
Carborundum Universal Ltd.,Abrasives,1.94,63.7,1.94%,0.26%,1.94% (Apr 2019),1.94% (Apr 2019),1.77 L,0.00,Small Cap,75.52
Cochin Shipyard Ltd.,Ship building & allied services,1.85,60.7,1.85%,0.32%,1.85% (Apr 2019),1.85% (Apr 2019),1.61 L,0.22 L,Small Cap,75.52
Relaxo Footwears Ltd.,Leather and leather products,1.84,60.3,1.84%,0.24%,1.58% (Dec 2018),1.58% (Dec 2018),68.43 k,0.00,Mid Cap,18.1
Mahanagar Gas Ltd.,Lpg/cng/png/lng supplier,1.8,59.1,1.80%,0.16%,1.8% (Apr 2019),1.8% (Apr 2019),61.19 k,0.00,Mid Cap,18.1
