Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,85.59,14.8,22.60%,0.59%,13.47% (Jun 2018),13.47% (Jun 2018),36.23 k,0.00,Large Cap,83.38
HDFC Bank Ltd.,Banks,85.59,11.8,18.02%,0.79%,18.02% (Apr 2019),18.02% (Apr 2019),5.09 k,0.24 k,Large Cap,83.38
Kotak Mahindra Bank Ltd.,Banks,85.59,8.6,13.20%,0.54%,10.14% (Aug 2018),10.14% (Aug 2018),6.22 k,0.00,Large Cap,83.38
Axis Bank Ltd.,Banks,85.59,7.8,11.88%,0.09%,6.28% (Jun 2018),6.28% (Jun 2018),10.13 k,0.00,Large Cap,83.38
State Bank Of India,Banks,85.59,4.8,7.32%,0.22%,3.28% (May 2018),3.28% (May 2018),15.43 k,0.00,Large Cap,83.38
Bajaj Finance Ltd.,Nbfc,5.42,2.1,3.23%,0.09%,2.91% (Jan 2019),2.91% (Jan 2019),682.00,0.00,Large Cap,83.38
Indusind Bank Ltd.,Banks,85.59,2.1,3.21%,0.34%,3.21% (Apr 2019),3.21% (Apr 2019),1.31 k,0.00,Large Cap,83.38
Federal Bank Ltd.,Banks,85.59,1.2,1.85%,0.07%,0.65% (Jun 2018),0.65% (Jun 2018),13.04 k,0.00,Mid Cap,8.69
RBL Bank Ltd.,Banks,85.59,1.1,1.60%,0.00%,1.45% (Jan 2019),0% (May 2018),1.54 k,0.00,Mid Cap,8.69
Bank Of Baroda,Banks,85.59,0.9,1.43%,0.15%,1.43% (Apr 2019),0% (May 2018),8.04 k,0.00,Large Cap,83.38
Housing Development Finance Corporation Ltd.,Housing finance,1.28,0.8,1.28%,0.92%,0.36% (Mar 2019),0.36% (Mar 2019),419.00,300.00,Large Cap,83.38
City Union Bank Ltd.,Banks,85.59,0.8,1.28%,0.02%,1.28% (Apr 2019),1.28% (Apr 2019),4.19 k,0.00,Mid Cap,8.69
ICICI Prudential Life Insurance Co Ltd.,Insurance,1.21,0.8,1.21%,0.07%,0.75% (Aug 2018),0.75% (Aug 2018),2.14 k,0.00,Large Cap,83.38
#Canara Bank,Banks,85.59,0.7,1.00%,1.00%,1% (Apr 2019),0% (May 2018),2.50 k,2.50 k,Mid Cap,8.69
Muthoot Finance Pvt. Ltd.,Nbfc,5.42,0.6,0.96%,0.02%,0.7% (May 2018),0% (May 2018),1.05 k,0.00,Mid Cap,8.69
IDFC First Bank Ltd.,Banks,85.59,0.4,0.61%,0.06%,0.61% (Apr 2019),0% (May 2018),8.00 k,0.00,Mid Cap,8.69
#Aditya Birla Capital Ltd.,Nbfc,5.42,0.4,0.60%,0.60%,0.6% (Apr 2019),0% (May 2018),4.00 k,4.00 k,Mid Cap,8.69
DCB Bank Ltd.,Banks,85.59,0.4,0.59%,0.02%,0.53% (Sep 2018),0% (May 2018),1.83 k,0.00,Small Cap,1.43
Karur Vysya Bank Ltd,Banks,85.59,0.4,0.59%,0.04%,0.55% (Mar 2019),0% (May 2018),5.00 k,0.00,Small Cap,1.43
Bank Of India,Banks,85.59,0.3,0.41%,0.07%,0.41% (Apr 2019),0% (May 2018),3.00 k,0.00,Mid Cap,8.69
Shriram Transport Finance Co. Ltd.,Nbfc,5.42,0.3,0.38%,0.05%,0.37% (Jan 2019),0% (May 2018),222.00,0.00,Mid Cap,8.69
PTC India Financial Services Ltd.,Nbfc,5.42,0.2,0.25%,0.32%,0.25% (Apr 2019),0% (May 2018),10.33 k,0.13 L,Small Cap,1.43
Yes Bank,Banks,85.59,1.1,0.00%,1.68%,,,,,Large Cap,83.38
Sundaram Finance Limited,Nbfc,5.42,0.3,0.00%,0.51%,,,,,Mid Cap,8.69
Allahabad Bank,Banks,85.59,0.3,0.00%,0.42%,,,,,Small Cap,1.43
L&T Finance Holdings Ltd.,Investment companies,,0.9,0.00%,1.32%,,,,,Mid Cap,8.69
