Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Axis Bank Ltd.,Banks,23.11,2326.5,8.59%,0.07%,5.64% (Jun 2018),5.64% (Jun 2018),30.34 L,0.00,Large Cap,55.29
HDFC Bank Ltd.,Banks,23.11,1434.6,5.30%,0.52%,5.17% (Oct 2018),5.17% (Oct 2018),6.19 L,0.75 L,Large Cap,55.29
ICICI Bank Ltd.,Banks,23.11,1096.9,4.05%,0.15%,2.9% (Oct 2018),0% (May 2018),26.92 L,0.00,Large Cap,55.29
Infosys Ltd.,Computers  software,3.96,1072.7,3.96%,0.15%,2.92% (May 2018),2.92% (May 2018),14.28 L,1.00 L,Large Cap,55.29
Hindalco Industries Ltd.,Aluminium,3.52,953,3.52%,0.09%,3.43% (Mar 2019),3.43% (Mar 2019),46.25 L,0.00,Large Cap,55.29
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,3.33,901.2,3.33%,0.07%,3.33% (Apr 2019),3.33% (Apr 2019),13.97 L,0.00,Large Cap,55.29
Grasim Industries Limited,Cement,4.1,883.2,3.26%,0.69%,2.27% (Jan 2019),2.27% (Jan 2019),9.80 L,1.50 L,Large Cap,55.29
#Cholamandalam Financial Holdings Ltd.,Other financial services,3.07,832,3.07%,0.00%,1.66% (Jun 2018),1.66% (Jun 2018),16.12 L,0.00,Mid Cap,34.38
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,2.88,778.8,2.88%,0.06%,2.5% (May 2018),2.5% (May 2018),32.29 L,0.00,Large Cap,55.29
Indian Oil Corporation Ltd.,Refineries/marketing,4.92,701.5,2.59%,0.02%,2.3% (Nov 2018),2.3% (Nov 2018),44.38 L,0.00,Large Cap,55.29
Kansai Nerolac Paints Ltd.,Paints,2.54,689.1,2.54%,0.16%,2.42% (Oct 2018),2.42% (Oct 2018),15.62 L,0.69 L,Mid Cap,34.38
Tata Power Co. Ltd.,Power,3.99,673.1,2.49%,0.16%,1.96% (Jun 2018),1.96% (Jun 2018),99.27 L,0.00,Mid Cap,34.38
Gujarat State Petronet Ltd.,Gas transmission/marketing,2.47,669.2,2.47%,0.17%,2.33% (Feb 2019),2.33% (Feb 2019),33.48 L,4.88 L,Mid Cap,34.38
Indian Hotels Company Limited,Hotels/resorts,2.46,666.4,2.46%,0.04%,1.43% (May 2018),1.43% (May 2018),43.18 L,0.00,Mid Cap,34.38
Colgate  Palmolive (India) Limited,Personal care,2.37,642,2.37%,0.05%,2.37% (Apr 2019),2.37% (Apr 2019),5.31 L,0.00,Large Cap,55.29
Coromandel International Ltd.,Fertilisersphosphatic,2.34,634.7,2.34%,0.35%,1.88% (Aug 2018),1.88% (Aug 2018),14.61 L,4.20 k,Mid Cap,34.38
PNB Housing Finance Ltd.,Housing finance,2.19,593.1,2.19%,0.12%,1.83% (Oct 2018),1.83% (Oct 2018),8.38 L,1.00 L,Mid Cap,34.38
Kotak Mahindra Bank Ltd.,Banks,23.11,569.5,2.10%,0.85%,2.1% (Apr 2019),2.1% (Apr 2019),4.11 L,2.00 L,Large Cap,55.29
Mahindra CIE Automotive Ltd.,Castings/forgings,2.03,550.2,2.03%,0.02%,1% (Aug 2018),1% (Aug 2018),24.17 L,0.00,Mid Cap,34.38
Bharti Airtel Ltd.,Telecom  services,2.39,520,1.92%,0.03%,1.68% (Oct 2018),1.68% (Oct 2018),16.23 L,0.00,Large Cap,55.29
Power Grid Corporation of India Ltd.,Power transmission,1.86,503.5,1.86%,0.07%,1.83% (Nov 2018),1.83% (Nov 2018),27.01 L,0.00,Large Cap,55.29
Tata Steel Ltd.,Steel,1.86,502.9,1.86%,0.16%,0.96% (Jul 2018),0.96% (Jul 2018),9.02 L,0.00,Large Cap,55.29
Prestige Estates Projects Ltd.,Residential/commercial/sez project,1.81,489.1,1.81%,0.10%,1.41% (Sep 2018),1.41% (Sep 2018),18.72 L,0.00,Small Cap,5.49
Apollo Tyres Limited,Tyres & allied,2.9,458.9,1.69%,0.10%,0.61% (Sep 2018),0% (May 2018),22.27 L,2.50 L,Mid Cap,34.38
Federal Bank Ltd.,Banks,23.11,443.4,1.64%,0.03%,0.84% (May 2018),0.84% (May 2018),47.80 L,0.00,Mid Cap,34.38
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,4.92,421.5,1.56%,0.09%,0.64% (Nov 2018),0% (May 2018),14.47 L,14.04 k,Large Cap,55.29
