Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Larsen & Toubro Ltd.,"Engineering, designing, construction",17.34,3.9,9.39%,0.04%,8.63% (Jul 2018),8.63% (Jul 2018),2.93 k,0.00,Large Cap,32.56
Reliance Industries Ltd.,Refineries/marketing,4.44,1.9,4.44%,0.83%,4.44% (Apr 2019),4.44% (Apr 2019),1.34 k,0.32 k,Large Cap,32.56
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,3.23,1.4,3.23%,0.09%,1.8% (Jun 2018),1.8% (Jun 2018),4.34 k,0.34 k,Mid Cap,27.65
AIA Engineering Ltd.,Castings/forgings,4.99,1.4,3.21%,0.11%,2.61% (Jun 2018),2.61% (Jun 2018),743.00,0.00,Mid Cap,27.65
Bajaj Electricals Ltd.,Home appliances,5.02,1.3,3.04%,0.12%,0.51% (May 2018),0.51% (May 2018),2.24 k,0.00,Small Cap,37.04
J K Lakshmi Cement Ltd.,Cement,6.76,1.2,2.94%,0.24%,0.86% (May 2018),0.86% (May 2018),3.33 k,0.00,Small Cap,37.04
Power Grid Corporation of India Ltd.,Power transmission,2.89,1.2,2.89%,0.76%,2.55% (Jul 2018),2.55% (Jul 2018),6.52 k,1.40 k,Large Cap,32.56
J S W Steel Ltd.,Steel,5.05,1.2,2.73%,0.19%,2.54% (Mar 2019),0% (May 2018),3.72 k,0.00,Large Cap,32.56
Container Corporation Of India Ltd.,Logistics solution provider,2.61,1.1,2.61%,0.11%,2.07% (Aug 2018),2.07% (Aug 2018),2.22 k,0.00,Large Cap,32.56
Engineers India Ltd.,"Engineering, designing, construction",17.34,1.1,2.50%,0.64%,1.84% (Jun 2018),1.84% (Jun 2018),9.37 k,2.14 k,Small Cap,37.04
Jindal Steel & Power Ltd.,Steel,5.05,1,2.32%,0.02%,1.33% (Sep 2018),0% (May 2018),5.50 k,0.00,Mid Cap,27.65
Blue Star Ltd.,Air conditioner,2.22,0.9,2.22%,0.07%,1.25% (Jun 2018),1.25% (Jun 2018),1.36 k,0.00,Small Cap,37.04
I T D Cementation India Ltd.,Construction civil,3.2,0.9,2.18%,0.10%,0.94% (May 2018),0.94% (May 2018),7.43 k,0.00,Small Cap,37.04
Havells India Ltd.,Consumer elctronics,2,0.8,2.00%,0.05%,1.52% (Oct 2018),0% (May 2018),1.09 k,0.00,Large Cap,32.56
Indian Hotels Company Limited,Hotels/resorts,3.66,0.8,1.99%,0.04%,1.06% (Jun 2018),0% (May 2018),5.43 k,0.00,Mid Cap,27.65
Whirlpool Of India Ltd.,Home appliances,5.02,0.8,1.98%,0.15%,1.09% (May 2018),1.09% (May 2018),600.00,0.00,Mid Cap,27.65
Greenply Industries Ltd.,Plywood boards,1.97,0.8,1.97%,0.16%,1.81% (Mar 2019),0% (May 2018),5.00 k,0.00,Small Cap,37.04
Sundram Fasteners Ltd.,Fastener,1.89,0.8,1.89%,0.01%,1.75% (Nov 2018),1.75% (Nov 2018),1.44 k,0.00,Mid Cap,27.65
Exide Industries Ltd.,Batteries – automobile,1.86,0.8,1.86%,0.43%,0.86% (Aug 2018),0% (May 2018),3.64 k,0.86 k,Mid Cap,27.65
Ratnamani Metals & Tubes Ltd.,Steel products,3.54,0.8,1.79%,0.04%,1.02% (Nov 2018),0% (May 2018),838.00,0.00,Small Cap,37.04
Mahindra CIE Automotive Ltd.,Castings/forgings,4.99,0.8,1.78%,0.26%,1.78% (Apr 2019),1.78% (Apr 2019),3.28 k,0.47 k,Mid Cap,27.65
Maharashtra Seamless Ltd.,Steel products,3.54,0.7,1.75%,0.05%,0.62% (May 2018),0.62% (May 2018),1.55 k,0.00,Small Cap,37.04
Phoenix Mills Ltd.,Residential/commercial/sez project,2.9,0.7,1.75%,0.14%,0.9% (Dec 2018),0% (May 2018),1.22 k,0.00,Mid Cap,27.65
GE Power India Ltd.,Power equipment,5.25,0.7,1.74%,0.21%,0.76% (Nov 2018),0% (May 2018),808.00,0.00,Small Cap,37.04
Taj GVK Hotels & Resorts Ltd.,Hotels/resorts,3.66,0.7,1.67%,0.08%,0.84% (Sep 2018),0% (May 2018),3.16 k,0.00,Small Cap,37.04
Greaves Cotton Ltd.,Diesel engines,3.29,0.7,1.66%,0.11%,1.23% (May 2018),1.23% (May 2018),4.77 k,0.00,Small Cap,37.04
Cummins India Ltd.,Diesel engines,3.29,0.7,1.63%,0.01%,1.63% (Apr 2019),0% (May 2018),942.00,0.00,Mid Cap,27.65
Ultratech Cement Ltd.,Cement,6.76,0.7,1.55%,0.15%,1.4% (Mar 2019),0% (May 2018),141.00,9.00,Large Cap,32.56
KEC International Ltd.,"Engineering, designing, construction",17.34,0.6,1.53%,0.04%,1.01% (Nov 2018),0% (May 2018),2.25 k,0.00,Small Cap,37.04
Gujarat Gas Ltd.,Gas transmission/marketing,2.55,0.6,1.50%,0.12%,1.12% (Sep 2018),1.12% (Sep 2018),4.00 k,0.00,Other,1.5
Gujarat Fluorochemicals Ltd.,Power equipment,5.25,0.6,1.41%,0.06%,1.03% (May 2018),1.03% (Jul 2018),571.00,0.00,Mid Cap,27.65
#Tata Motors Ltd.,Passenger/utility vehicles,1.27,0.5,1.27%,1.27%,1.27% (Apr 2019),0% (May 2018),2.50 k,2.50 k,Large Cap,32.56
#NIIT Ltd,It education,1.26,0.5,1.26%,1.26%,1.26% (Apr 2019),0% (May 2018),5.00 k,5.00 k,Small Cap,37.04
#Hero Motocorp Ltd.,Motor cycles/scooters,1.2,0.5,1.20%,1.20%,1.2% (Apr 2019),0% (May 2018),200.00,200.00,Large Cap,32.56
Ambuja Cements Ltd.,Cement,6.76,0.5,1.18%,0.05%,0.58% (Oct 2018),0% (May 2018),2.24 k,0.00,Large Cap,32.56
#Sobha Ltd.,Residential/commercial/sez project,2.9,0.5,1.15%,1.15%,1.15% (Apr 2019),0% (May 2018),1.00 k,1.00 k,Small Cap,37.04
Automotive Axles Ltd.,Auto ancillaries,1.85,0.5,1.12%,0.07%,0.73% (May 2018),0.73% (May 2018),411.00,0.00,Small Cap,37.04
Siemens Ltd.,Power equipment,5.25,0.5,1.12%,0.06%,1.06% (Mar 2019),0% (May 2018),402.00,0.00,Large Cap,32.56
Heidelberg Cement India Ltd.,Cement,6.76,0.5,1.09%,0.04%,0.86% (Nov 2018),0% (May 2018),2.50 k,0.00,Small Cap,37.04
Sadbhav Engineering Ltd.,"Engineering, designing, construction",17.34,0.5,1.08%,0.03%,0.77% (Nov 2018),0% (May 2018),1.91 k,0.00,Small Cap,37.04
Astral Poly Technik Ltd.,Plastic products,1.06,0.4,1.06%,0.09%,0.73% (Jun 2018),0.73% (Jun 2018),361.00,0.00,Mid Cap,27.65
Gujarat State Petronet Ltd.,Gas transmission/marketing,2.55,0.4,1.05%,0.07%,0.87% (Feb 2019),0.87% (Feb 2019),2.22 k,0.00,Mid Cap,27.65
IRB Infrastructure Developers Ltd.,Construction civil,3.2,0.4,1.02%,0.16%,1.02% (Apr 2019),0% (May 2018),3.50 k,0.00,Small Cap,37.04
Godrej Industries Ltd,Consumer food,1,0.4,1.00%,0.12%,1% (Apr 2019),1% (Apr 2019),814.00,80.00,Mid Cap,27.65
Praj Industries Ltd.,"Engineering, designing, construction",17.34,0.4,0.99%,0.64%,0.99% (Apr 2019),0% (May 2018),3.06 k,1.44 k,Small Cap,37.04
3M India Ltd.,Diversified commercial services,0.98,0.4,0.98%,0.03%,0.88% (Dec 2018),0% (May 2018),18.00,0.00,Mid Cap,27.65
Hindalco Industries Ltd.,Aluminium,0.98,0.4,0.98%,0.02%,0.87% (Jul 2018),0% (May 2018),2.00 k,0.00,Large Cap,32.56
NCC Ltd.,"Engineering, designing, construction",17.34,0.4,0.94%,0.11%,0.85% (Feb 2019),0% (May 2018),4.00 k,0.00,Small Cap,37.04
Ksb Pumps Ltd.,Compressors / pumps,0.92,0.4,0.92%,0.01%,0.9% (Aug 2018),0.9% (Aug 2018),581.00,0.00,Small Cap,37.04
Ashoka Buildcon Ltd.,"Engineering, designing, construction",17.34,0.4,0.91%,0.02%,0.77% (Nov 2018),0% (May 2018),3.10 k,0.00,Small Cap,37.04
