Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,11.51,183.1,4.13%,0.02%,3.6% (Oct 2018),3.6% (Oct 2018),79.00 k,0.00,Large Cap,27.49
Axis Bank Ltd.,Banks,11.51,158.3,3.57%,0.03%,2.51% (Jun 2018),2.51% (Jun 2018),2.06 L,0.00,Large Cap,27.49
Infosys Ltd.,Computers  software,1.86,82.6,1.86%,0.02%,1.6% (May 2018),1.6% (May 2018),1.10 L,0.00,Large Cap,27.49
Kotak Mahindra Bank Ltd.,Banks,11.51,74.7,1.68%,0.07%,1.44% (Oct 2018),1.44% (Oct 2018),53.85 k,0.00,Large Cap,27.49
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,2.5,74.4,1.68%,0.10%,1.16% (May 2018),1.16% (May 2018),25.37 k,0.00,Large Cap,27.49
Grasim Industries Limited,Cement,1.62,72.1,1.62%,0.08%,1.34% (Jan 2019),1.34% (Jan 2019),79.95 k,0.00,Large Cap,27.49
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,2.14,59.3,1.34%,0.04%,0.95% (May 2018),0.95% (May 2018),2.03 L,0.00,Large Cap,27.49
Hindalco Industries Ltd.,Aluminium,1.18,52.5,1.18%,0.00%,1.16% (Feb 2019),1.16% (Feb 2019),2.55 L,0.00,Large Cap,27.49
Bharti Airtel Ltd.,Telecom  services,1.26,51.3,1.16%,0.04%,1.11% (Oct 2018),1.11% (Oct 2018),1.60 L,0.00,Large Cap,27.49
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,1.03,45.9,1.03%,0.04%,0.95% (Nov 2018),0.95% (Nov 2018),1.90 L,0.00,Large Cap,27.49
ICICI Bank Ltd.,Banks,11.51,43.4,0.98%,0.02%,0.38% (Jun 2018),0.38% (Jun 2018),1.06 L,0.00,Large Cap,27.49
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.33,42.9,0.97%,0.04%,0.97% (Apr 2019),0.97% (Apr 2019),66.53 k,0.00,Large Cap,27.49
Tata Steel Ltd.,Steel,0.93,41.4,0.93%,0.06%,0.74% (May 2018),0.74% (May 2018),74.36 k,0.00,Large Cap,27.49
Balkrishna Industries Ltd.,Tyres & allied,0.82,36.6,0.82%,0.07%,0.75% (Jan 2019),0.75% (Jan 2019),40.00 k,0.00,Mid Cap,4.48
Voltas Limited,"Engineering, designing, construction",0.82,36.2,0.82%,0.03%,0.75% (Jun 2018),0.75% (Jun 2018),60.00 k,0.00,Mid Cap,4.48
Bharat Petroleum Corporation Ltd.,Refineries/marketing,2.14,35.3,0.80%,0.03%,0.61% (Oct 2018),0.61% (Oct 2018),93.00 k,0.00,Large Cap,27.49
Gujarat State Petronet Ltd.,Gas transmission/marketing,0.76,33.7,0.76%,0.04%,0.62% (Feb 2019),0.62% (Feb 2019),1.69 L,0.00,Mid Cap,4.48
Colgate  Palmolive (India) Limited,Personal care,0.72,32,0.72%,0.03%,0.24% (May 2018),0.24% (May 2018),26.47 k,0.00,Large Cap,27.49
National Thermal Power Corporation Ltd.,Power,0.67,29.7,0.67%,0.00%,0.6% (Jan 2019),0.6% (Jan 2019),2.21 L,0.00,Large Cap,27.49
State Bank Of India,Banks,11.51,27.4,0.62%,0.02%,0.56% (Feb 2019),0.56% (Feb 2019),88.51 k,0.00,Large Cap,27.49
Kansai Nerolac Paints Ltd.,Paints,0.57,25.2,0.57%,0.02%,0.52% (Oct 2018),0.52% (Oct 2018),57.18 k,0.00,Mid Cap,4.48
Power Grid Corporation of India Ltd.,Power transmission,0.55,24.4,0.55%,0.03%,0.55% (Apr 2019),0% (May 2018),1.31 L,0.00,Large Cap,27.49
Cadila Healthcare Ltd.,Pharmaceuticals,2.5,23.4,0.53%,0.03%,0.53% (Apr 2019),0.53% (Apr 2019),72.00 k,0.00,Large Cap,27.49
Karur Vysya Bank Ltd,Banks,11.51,23.3,0.53%,0.05%,0.48% (Mar 2019),0.48% (Mar 2019),3.02 L,0.00,Small Cap,0.92
Cummins India Ltd.,Diesel engines,0.53,23.3,0.53%,0.01%,0.49% (Jun 2018),0.49% (Jun 2018),32.10 k,0.00,Mid Cap,4.48
United Breweries Ltd.,Brew/distilleries,0.48,21.3,0.48%,0.01%,0.38% (Jul 2018),0.38% (Jul 2018),15.00 k,0.00,Large Cap,27.49
Amara Raja Batteries Limited,Batteries – automobile,0.4,17.9,0.40%,0.04%,0.4% (Apr 2019),0.4% (Apr 2019),27.00 k,0.00,Mid Cap,4.48
Jagran Prakashan Ltd.,Printing and publishing,0.39,17.3,0.39%,0.04%,0.34% (Feb 2019),0.34% (Feb 2019),1.53 L,0.00,Small Cap,0.92
Tata Motors Ltd.,Passenger/utility vehicles,1.33,16.1,0.36%,0.07%,0.29% (Mar 2019),0.29% (Mar 2019),74.94 k,0.00,Large Cap,27.49
Bajaj Auto Ltd.,Motor cycles/scooters,0.59,14.7,0.33%,0.01%,0.32% (Mar 2019),0% (May 2018),4.92 k,0.00,Large Cap,27.49
Aditya Birla Fashion and Retail Ltd.,Retailing,0.32,14.2,0.32%,0.01%,0.31% (Dec 2018),0.31% (Dec 2018),65.91 k,0.00,Mid Cap,4.48
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,2.5,12.7,0.29%,0.02%,0.24% (Jun 2018),0.24% (Jun 2018),7.07 k,0.00,Large Cap,27.49
TVS Motor Company Ltd.,Motor cycles/scooters,0.59,11.4,0.26%,0.02%,0.24% (Mar 2019),0.24% (Mar 2019),23.12 k,0.00,Mid Cap,4.48
#Bharti Airtel Ltd.  Rights,Telecom  services,1.26,4.6,0.10%,0.10%,0.1% (Apr 2019),0% (May 2018),45.37 k,45.37 k,Other,0.1
Coal India Ltd.,Industrial minerals,0.01,0.3,0.01%,0.00%,0% (Oct 2018),0% (May 2018),984.00,0.00,Large Cap,27.49
Asian Paints (india) Ltd.,Paints,0.57,50.8,0.00%,1.14%,,,,,Large Cap,27.49
