Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,19.94,250.9,8.21%,0.23%,5.44% (Jun 2018),5.44% (Jun 2018),6.16 L,0.00,Large Cap,55.14
Infosys Ltd.,Computers  software,10.55,204.8,6.70%,0.14%,5.45% (May 2018),5.45% (May 2018),2.73 L,0.00,Large Cap,55.14
Axis Bank Ltd.,Banks,19.94,193.5,6.33%,0.01%,4.32% (Jun 2018),4.32% (Jun 2018),2.52 L,0.00,Large Cap,55.14
Aditya Birla Fashion and Retail Ltd.,Retailing,5.93,181.1,5.93%,0.05%,3.73% (Jul 2018),3.73% (Jul 2018),8.40 L,0.00,Mid Cap,31.97
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,16.2,162.7,5.32%,0.41%,4.16% (May 2018),4.16% (May 2018),90.82 k,0.00,Large Cap,55.14
Cipla Ltd.,Pharmaceuticals,16.2,158.3,5.18%,0.39%,4.61% (May 2018),4.61% (May 2018),2.80 L,0.00,Large Cap,55.14
Crompton Greaves Consumer Electricals Ltd.,Home appliances,4.94,150.8,4.94%,0.28%,4.43% (May 2018),4.43% (May 2018),6.35 L,0.00,Mid Cap,31.97
Container Corporation Of India Ltd.,Logistics solution provider,4.79,146.4,4.79%,0.25%,4.71% (Aug 2018),4.71% (Aug 2018),2.97 L,0.00,Large Cap,55.14
Indusind Bank Ltd.,Banks,19.94,143.1,4.68%,0.45%,3.13% (Jan 2019),0% (May 2018),89.08 k,0.00,Large Cap,55.14
Mahindra & Mahindra Financial Services Ltd.,Nbfc,4.44,135.7,4.44%,0.17%,4.44% (Apr 2019),4.44% (Apr 2019),3.39 L,0.00,Mid Cap,31.97
Ipca Laboratories Ltd.,Pharmaceuticals,16.2,124.2,4.06%,0.08%,2.84% (May 2018),2.84% (May 2018),1.30 L,0.00,Mid Cap,31.97
Multi Commodity Exchange Of India Ltd.,Other financial services,6.64,118.4,3.87%,0.27%,3.13% (Feb 2019),3.13% (Feb 2019),1.38 L,0.00,Small Cap,3.87
Mindtree Ltd.,Computers  software,10.55,117.7,3.85%,0.19%,3.5% (Dec 2018),3.5% (Dec 2018),1.20 L,0.00,Mid Cap,31.97
Motherson Sumi Systems Ltd.,Auto ancillaries,3.72,113.6,3.72%,0.03%,3.72% (Apr 2019),3.72% (Apr 2019),7.75 L,0.00,Large Cap,55.14
Tata Motors Ltd.,Passenger/utility vehicles,3.26,99.7,3.26%,0.64%,2.62% (Mar 2019),2.62% (Mar 2019),4.65 L,0.00,Large Cap,55.14
Gujarat Gas Ltd.,Gas transmission/marketing,3.07,93.9,3.07%,0.24%,2.44% (Feb 2019),2.44% (Feb 2019),5.90 L,0.00,Other,5.84
Vedanta Ltd.,Copper & copper products,2.95,90.3,2.95%,0.28%,2.95% (Apr 2019),2.95% (Apr 2019),5.41 L,0.00,Large Cap,55.14
Reliance Nippon Life Asset Management Ltd.,Other financial services,6.64,84.5,2.77%,0.13%,1.08% (Jun 2018),0% (May 2018),4.27 L,0.00,Other,5.84
Sun TV Network Ltd.,Tv broadcasting & software production,2.73,83.5,2.73%,0.23%,2.73% (Apr 2019),2.73% (Apr 2019),1.45 L,0.00,Mid Cap,31.97
Emami Ltd.,Personal care,2.67,81.7,2.67%,0.06%,2.67% (Apr 2019),2.67% (Apr 2019),2.11 L,0.00,Mid Cap,31.97
MRF Ltd.,Tyres & allied,1.74,53.2,1.74%,0.15%,1.74% (Apr 2019),1.74% (Apr 2019),1.01 k,0.00,Mid Cap,31.97
Eicher Motors Ltd.,Commercial vehicles,1.77,50.3,1.64%,0.00%,1.35% (Aug 2018),0% (May 2018),2.47 k,0.00,Large Cap,55.14
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,16.2,50.1,1.64%,0.05%,1.64% (Apr 2019),0% (May 2018),1.09 L,0.00,Large Cap,55.14
Apollo Hospitals Enterprises Ltd.,Hospital,1.48,45.2,1.48%,0.00%,1.47% (Feb 2019),1.47% (Feb 2019),37.18 k,0.00,Mid Cap,31.97
Bank Of Baroda,Banks,19.94,22,0.72%,0.93%,0.72% (Apr 2019),0.72% (Apr 2019),1.89 L,2.09 L,Large Cap,55.14
Tata Motors Ltd.  A Class,Commercial vehicles,1.77,4,0.13%,0.02%,0.11% (Mar 2019),0.11% (Mar 2019),39.42 k,0.00,Mid Cap,31.97
