Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,29.67,1691.7,9.18%,0.44%,8.47% (Aug 2018),8.47% (Aug 2018),7.30 L,0.45 L,Large Cap,76.84
ICICI Bank Ltd.,Banks,29.67,1141,6.19%,0.01%,4.07% (Jun 2018),4.07% (Jun 2018),28.00 L,0.90 L,Large Cap,76.84
Axis Bank Ltd.,Banks,29.67,1111.9,6.03%,0.19%,3.79% (Jun 2018),3.79% (Jun 2018),14.50 L,0.45 L,Large Cap,76.84
Infosys Ltd.,Computers  software,13.22,920.4,4.99%,0.47%,4.49% (May 2018),4.49% (May 2018),12.25 L,1.45 L,Large Cap,76.84
Reliance Industries Ltd.,Refineries/marketing,4.83,891.4,4.83%,0.16%,3.14% (May 2018),3.14% (May 2018),6.40 L,0.00,Large Cap,76.84
ITC Limited,Cigarettes,4.43,816.7,4.43%,0.12%,2.68% (May 2018),2.68% (May 2018),27.10 L,0.00,Large Cap,76.84
Larsen & Toubro Ltd.,"Engineering, designing, construction",5.52,741.7,4.02%,0.06%,3.68% (Jul 2018),3.68% (Jul 2018),5.50 L,0.00,Large Cap,76.84
Tata Consultancy Services Ltd.,Computers  software,13.22,734.6,3.98%,1.17%,1.85% (May 2018),1.85% (May 2018),3.25 L,63.00 k,Large Cap,76.84
Sundram Fasteners Ltd.,Fastener,3.83,705.9,3.83%,0.05%,3.76% (Nov 2018),3.76% (Nov 2018),12.79 L,0.00,Mid Cap,21.73
State Bank Of India,Banks,29.67,672.6,3.65%,0.08%,3.07% (Jun 2018),3.07% (Jun 2018),21.70 L,0.00,Large Cap,76.84
The Ramco Cements Ltd.,Cement,8.76,600.2,3.25%,0.20%,2.65% (Nov 2018),2.65% (Nov 2018),7.75 L,0.00,Mid Cap,21.73
Indusind Bank Ltd.,Banks,29.67,594.4,3.22%,0.74%,3.22% (Apr 2019),3.22% (Apr 2019),3.70 L,0.45 L,Large Cap,76.84
Shree Cement Ltd.,Cement,8.76,554.1,3.01%,0.21%,2.29% (Oct 2018),2.29% (Oct 2018),28.00 k,0.00,Large Cap,76.84
Maruti Suzuki India Ltd.,Passenger/utility vehicles,6.26,546.6,2.96%,0.03%,2.93% (Mar 2019),2.93% (Mar 2019),82.00 k,0.00,Large Cap,76.84
Ultratech Cement Ltd.,Cement,8.76,461.7,2.50%,0.36%,2.01% (Jan 2019),2.01% (Jan 2019),1.00 L,0.00,Large Cap,76.84
Bajaj Finance Ltd.,Nbfc,4.3,448.9,2.43%,0.08%,1.75% (Sep 2018),1.75% (Sep 2018),1.45 L,0.00,Large Cap,76.84
Tech Mahindra Ltd.,Software telecom,2.41,444.8,2.41%,0.12%,1.77% (Jul 2018),1.77% (Jul 2018),5.32 L,0.18 L,Large Cap,76.84
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,6.26,442,2.40%,0.07%,2.4% (Apr 2019),2.4% (Apr 2019),6.85 L,0.00,Large Cap,76.84
Mindtree Ltd.,Computers  software,13.22,407.2,2.21%,0.11%,1.98% (May 2018),1.98% (May 2018),4.15 L,0.00,Mid Cap,21.73
GAIL (India) Ltd.,Gas transmission/marketing,2.1,388,2.10%,0.07%,2.03% (Mar 2019),2.03% (Mar 2019),10.90 L,0.00,Large Cap,76.84
Sanofi India Ltd.,Pharmaceuticals,3.23,359.1,1.95%,0.05%,1.7% (May 2018),1.7% (May 2018),64.00 k,0.00,Mid Cap,21.73
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,1.93,355,1.93%,0.07%,1.53% (Sep 2018),1.53% (Sep 2018),11.35 L,0.00,Mid Cap,21.73
Aditya Birla Fashion and Retail Ltd.,Retailing,1.54,283.7,1.54%,0.01%,0.95% (Jul 2018),0.95% (Jul 2018),13.15 L,0.00,Mid Cap,21.73
Voltas Limited,"Engineering, designing, construction",5.52,277.2,1.50%,0.05%,1.31% (Jun 2018),1.31% (Jun 2018),4.60 L,0.00,Mid Cap,21.73
