Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

The Ramco Cements Ltd.,Cement,6.01,22.9,4.56%,0.27%,3.77% (Nov 2018),3.77% (Nov 2018),29.61 k,0.00,Mid Cap,65.92
Bajaj Finance Ltd.,Nbfc,12.97,17.7,3.52%,0.12%,2.31% (May 2018),2.31% (May 2018),5.71 k,0.00,Large Cap,14.57
Bajaj Finserv Ltd,Nbfc,12.97,17,3.38%,0.25%,2.62% (May 2018),2.62% (May 2018),2.26 k,0.00,Large Cap,14.57
Thermax Ltd.,Industrial equipment,3.11,15.7,3.11%,0.43%,2.68% (Mar 2019),2.68% (Mar 2019),16.06 k,2.03 k,Mid Cap,65.92
Trent Limited,Retailing,5.17,15.3,3.05%,0.02%,0.98% (Jun 2018),0.98% (Jun 2018),43.12 k,0.00,Mid Cap,65.92
Jubilant Foodworks Ltd.,Consumer food,5.66,15.3,3.03%,0.23%,3.03% (Apr 2019),0% (May 2018),11.49 k,0.00,Mid Cap,65.92
Cesc Ltd.,Power,2.68,13.5,2.68%,0.08%,2.63% (Dec 2018),2.63% (Dec 2018),19.20 k,0.00,Mid Cap,65.92
City Union Bank Ltd.,Banks,3.48,13.3,2.65%,0.00%,2.16% (Jul 2018),2.16% (Jul 2018),65.72 k,0.00,Mid Cap,65.92
ICICI Lombard General Insurance Co Ltd.,Insurance,4.68,13.3,2.64%,0.17%,1.71% (Jun 2018),1.71% (Jun 2018),12.17 k,0.00,Large Cap,14.57
Varun Beverages Ltd.,Consumer food,5.66,13.3,2.63%,0.57%,2.07% (Mar 2019),0% (May 2018),15.13 k,3.00 k,Mid Cap,65.92
L&T Technology Services Ltd.,It enabled services – software,2.46,12.4,2.46%,0.26%,0.35% (Jul 2018),0.35% (Jul 2018),7.13 k,0.00,Mid Cap,65.92
Bayer Cropscience Ltd.,Pesticides and agrochemicals,2.46,12.4,2.46%,0.15%,2.46% (Apr 2019),2.46% (Apr 2019),3.01 k,0.00,Mid Cap,65.92
Cholamandalam Investment & Finance Co. Ltd.,Nbfc,12.97,12.2,2.42%,0.08%,2.17% (Sep 2018),2.17% (Sep 2018),8.75 k,0.00,Mid Cap,65.92
Bata India Ltd.,Leather and leather products,2.35,11.8,2.35%,0.10%,1.22% (May 2018),1.22% (May 2018),8.14 k,0.00,Mid Cap,65.92
Mphasis Ltd.,Computers  software,2.34,11.8,2.34%,0.03%,2.34% (Apr 2019),2.34% (Apr 2019),12.15 k,0.00,Mid Cap,65.92
Schaeffler India Ltd.,Bearings,2.3,11.6,2.30%,0.02%,2.16% (Jul 2018),2.16% (Jul 2018),2.14 k,0.00,Mid Cap,65.92
Siemens Ltd.,Power equipment,2.29,11.5,2.29%,0.11%,1.86% (Jul 2018),1.86% (Jul 2018),9.81 k,0.00,Large Cap,14.57
EIH Ltd,Hotels/resorts,2.29,11.5,2.29%,0.18%,1.91% (Sep 2018),1.91% (Sep 2018),60.90 k,0.00,Mid Cap,65.92
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,2.27,11.4,2.27%,0.08%,1.86% (May 2018),1.86% (May 2018),36.53 k,0.00,Mid Cap,65.92
