Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,17.16,106.6,6.93%,0.28%,4.65% (May 2018),4.65% (May 2018),2.62 L,0.00,Large Cap,49.08
Ultratech Cement Ltd.,Cement,9.88,100.1,6.51%,1.01%,5.05% (May 2018),5.05% (May 2018),21.68 k,0.00,Large Cap,49.08
Larsen & Toubro Ltd.,"Engineering, designing, construction",15.61,97.2,6.32%,0.02%,6.06% (Aug 2018),6.06% (Aug 2018),72.09 k,0.00,Large Cap,49.08
Chambal Fertilizers & Chemicals Ltd.,Fertiliserscomposite,4.79,73.6,4.79%,0.24%,4.37% (Jul 2018),4.37% (Jul 2018),4.74 L,0.00,Small Cap,22.37
NCC Ltd.,"Engineering, designing, construction",15.61,67.3,4.37%,0.49%,3.43% (Sep 2018),3.43% (Sep 2018),6.78 L,0.00,Small Cap,22.37
Reliance Industries Ltd.,Refineries/marketing,4.08,62.7,4.08%,0.19%,2.58% (May 2018),2.58% (May 2018),45.02 k,0.00,Large Cap,49.08
Voltamp Transformers Ltd.,Power equipment,4.06,62.4,4.06%,0.08%,3.11% (Aug 2018),3.11% (Aug 2018),54.63 k,0.00,Small Cap,22.37
Federal Bank Ltd.,Banks,17.16,58.3,3.79%,0.06%,3.08% (Sep 2018),3.08% (Sep 2018),6.28 L,0.00,Mid Cap,22.9
Ambuja Cements Ltd.,Cement,9.88,51.7,3.37%,0.13%,3.24% (Oct 2018),3.24% (Oct 2018),2.35 L,0.00,Large Cap,49.08
Adani Ports And Special Economic Zone Ltd.,Port,3.29,50.5,3.29%,0.20%,2.91% (Feb 2019),2.91% (Feb 2019),1.29 L,0.00,Large Cap,49.08
Bharat Forge Ltd.,Castings/forgings,4.97,48.7,3.17%,0.18%,3.17% (Apr 2019),3.17% (Apr 2019),1.03 L,0.00,Mid Cap,22.9
Coromandel International Ltd.,Fertilisersphosphatic,3.13,48.1,3.13%,0.44%,2.86% (Aug 2018),2.86% (Aug 2018),1.11 L,0.00,Mid Cap,22.9
State Bank Of India,Banks,17.16,48.1,3.13%,0.03%,2.86% (Sep 2018),2.86% (Sep 2018),1.55 L,0.00,Large Cap,49.08
Engineers India Ltd.,"Engineering, designing, construction",15.61,40.4,2.63%,0.07%,2.63% (Apr 2019),2.63% (Apr 2019),3.62 L,0.00,Small Cap,22.37
Tech Mahindra Ltd.,Software telecom,2.37,36.4,2.37%,0.19%,2.09% (Nov 2018),0% (May 2018),43.51 k,0.85 k,Large Cap,49.08
Praj Industries Ltd.,"Engineering, designing, construction",15.61,35.3,2.29%,0.25%,0.69% (Dec 2018),0% (May 2018),2.58 L,0.00,Small Cap,22.37
Bharat Earth Movers Ltd.,Industrial equipment,3.35,34.2,2.22%,0.29%,1.61% (Oct 2018),1.61% (Oct 2018),39.06 k,0.00,Small Cap,22.37
Container Corporation Of India Ltd.,Logistics solution provider,2.68,33.3,2.16%,0.09%,2.16% (Apr 2019),2.16% (Apr 2019),67.45 k,0.00,Large Cap,49.08
Maruti Suzuki India Ltd.,Passenger/utility vehicles,4.27,33.1,2.15%,0.05%,2.1% (Mar 2019),2.1% (Mar 2019),4.96 k,0.00,Large Cap,49.08
Indian Bank,Banks,17.16,31.5,2.05%,0.17%,1.92% (Nov 2018),1.92% (Nov 2018),1.25 L,0.00,Mid Cap,22.9
Exide Industries Ltd.,Batteries – automobile,1.93,29.7,1.93%,0.00%,1.93% (Apr 2019),1.93% (Mar 2019),1.39 L,0.00,Mid Cap,22.9
Mahindra CIE Automotive Ltd.,Castings/forgings,4.97,27.8,1.80%,0.01%,0.98% (Dec 2018),0% (May 2018),1.22 L,0.00,Mid Cap,22.9
Tata Chemicals Ltd.,Chemicals  inorganic,2.5,25.2,1.64%,0.01%,1.63% (Mar 2019),1.63% (Mar 2019),43.68 k,0.00,Mid Cap,22.9
Escorts Ltd.,Tractors,1.55,23.9,1.55%,0.08%,1.47% (Feb 2019),0% (May 2018),32.32 k,0.00,Mid Cap,22.9
Tata Motors Ltd.,Passenger/utility vehicles,4.27,21.1,1.37%,0.28%,1.09% (Mar 2019),1.09% (Mar 2019),98.22 k,0.00,Large Cap,49.08
Titan Company Ltd.,"Gems, jewellery and watches",1.36,20.9,1.36%,0.06%,0.99% (Aug 2018),0% (May 2018),18.00 k,0.00,Large Cap,49.08
Bank Of Baroda,Banks,17.16,19.4,1.26%,0.10%,1.15% (Sep 2018),1.15% (Sep 2018),1.67 L,0.00,Large Cap,49.08
Cummins India Ltd.,Diesel engines,1.25,19.3,1.25%,0.00%,1.25% (Mar 2019),0% (May 2018),26.51 k,0.00,Mid Cap,22.9
GAIL (India) Ltd.,Gas transmission/marketing,1.15,17.8,1.15%,0.05%,1.09% (May 2018),1.09% (May 2018),49.86 k,0.00,Large Cap,49.08
Bajaj Auto Ltd.,Motor cycles/scooters,1.14,17.6,1.14%,0.05%,0.99% (Aug 2018),0% (May 2018),5.90 k,0.00,Large Cap,49.08
Thermax Ltd.,Industrial equipment,3.35,17.4,1.13%,0.03%,1.02% (Dec 2018),0% (May 2018),17.84 k,0.00,Mid Cap,22.9
National Thermal Power Corporation Ltd.,Power,1.57,14.3,0.93%,0.02%,0.83% (Nov 2018),0.83% (Nov 2018),1.07 L,0.00,Large Cap,49.08
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals  inorganic,2.5,13.3,0.86%,0.04%,0.79% (Jan 2019),0.79% (Jan 2019),98.26 k,0.00,Small Cap,22.37
Oil & Natural Gas Corporation Ltd.,Oil exploration,0.81,12.5,0.81%,0.06%,0.71% (Nov 2018),0.71% (Nov 2018),73.94 k,0.00,Large Cap,49.08
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,4.27,11.5,0.75%,0.01%,0.75% (Apr 2019),0% (May 2018),17.87 k,0.00,Large Cap,49.08
Tata Power Co. Ltd.,Power,1.57,9.9,0.64%,0.04%,0.64% (Apr 2019),0.64% (Apr 2019),1.45 L,0.00,Mid Cap,22.9
Rallis India Ltd.,Pesticides and agrochemicals,0.63,9.7,0.63%,0.05%,0.63% (Apr 2019),0% (May 2018),65.40 k,0.00,Small Cap,22.37
Gateway Distriparks Ltd.,Logistics solution provider,2.68,7.9,0.52%,0.02%,0.42% (Jan 2019),0.42% (Jan 2019),59.38 k,0.00,Small Cap,22.37
Ashok Leyland Ltd.,Commercial vehicles,0.46,7.1,0.46%,0.01%,0.46% (Apr 2019),0.46% (Apr 2019),81.95 k,0.00,Mid Cap,22.9
Aditya Birla Capital Ltd.,Nbfc,0.36,5.6,0.36%,0.01%,0.32% (Jan 2019),0% (May 2018),56.81 k,0.00,Mid Cap,22.9
