Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Bajaj Finance Ltd.,Nbfc,7.53,7045.8,7.53%,0.15%,6.82% (Sep 2018),6.82% (Sep 2018),22.76 L,0.10 L,Large Cap,66.61
HDFC Bank Ltd.,Banks,19.82,5813.8,6.21%,0.26%,4.38% (Aug 2018),4.38% (Aug 2018),25.09 L,1.05 L,Large Cap,66.61
Indusind Bank Ltd.,Banks,19.82,3934.3,4.20%,0.69%,4.17% (Oct 2018),4.17% (Oct 2018),24.49 L,1.25 L,Large Cap,66.61
Housing Development Finance Corporation Ltd.,Housing finance,4.15,3880.6,4.15%,0.54%,2.5% (Aug 2018),2.5% (Aug 2018),19.45 L,2.26 L,Large Cap,66.61
Kotak Mahindra Bank Ltd.,Banks,19.82,3838.4,4.10%,0.18%,3.22% (Oct 2018),3.22% (Sep 2018),27.68 L,15.00 k,Large Cap,66.61
Tata Consultancy Services Ltd.,Computers  software,12.08,3167.2,3.38%,0.44%,2.94% (Mar 2019),2.94% (Mar 2019),14.01 L,25.00 k,Large Cap,66.61
Infosys Ltd.,Computers  software,12.08,3119.4,3.33%,0.03%,3.19% (Dec 2018),3.19% (Dec 2018),41.52 L,0.00,Large Cap,66.61
Info Edge (India) Ltd.,It enabled services – software,4.5,2735,2.92%,0.14%,1.95% (Jun 2018),1.95% (Jun 2018),14.15 L,0.00,Mid Cap,24.66
Mindtree Ltd.,Computers  software,12.08,2677.2,2.86%,0.11%,2.67% (Dec 2018),2.67% (Dec 2018),27.28 L,0.00,Mid Cap,24.66
Shree Cement Ltd.,Cement,2.85,2667.6,2.85%,0.16%,2.25% (Oct 2018),2.25% (Oct 2018),1.35 L,0.00,Large Cap,66.61
Astral Poly Technik Ltd.,Plastic products,2.59,2424.6,2.59%,0.15%,2.36% (Sep 2018),2.36% (Sep 2018),19.67 L,0.00,Mid Cap,24.66
Larsen & Toubro Infotech Ltd.,Computers  software,12.08,2352.2,2.51%,0.02%,0.28% (Aug 2018),0% (May 2018),13.70 L,0.00,Large Cap,66.61
Divis Laboratories Ltd.,Pharmaceuticals,10.27,2137.5,2.28%,0.06%,1.59% (Jun 2018),1.59% (May 2018),12.24 L,0.00,Large Cap,66.61
Yes Bank,Banks,19.82,2056,2.20%,1.35%,2.2% (Apr 2019),2.2% (Apr 2019),1.22 Cr,1.50 L,Large Cap,66.61
Maruti Suzuki India Ltd.,Passenger/utility vehicles,1.91,1785.7,1.91%,0.14%,1.77% (Mar 2019),1.77% (Mar 2019),2.68 L,19.00 k,Large Cap,66.61
Motherson Sumi Systems Ltd.,Auto ancillaries,3.54,1734.1,1.85%,0.04%,1.77% (Jan 2019),1.77% (Jan 2019),1.18 Cr,0.00,Large Cap,66.61
DR. LAL PATHLABS Ltd.,Healthcare service providers,2.36,1715.3,1.83%,0.07%,1.49% (May 2018),1.49% (May 2018),16.43 L,0.62 L,Mid Cap,24.66
Titan Company Ltd.,"Gems, jewellery and watches",1.69,1581.3,1.69%,0.03%,1.37% (Sep 2018),1.37% (Sep 2018),13.65 L,0.00,Large Cap,66.61
ITC Limited,Cigarettes,1.68,1574.5,1.68%,0.02%,1.66% (Mar 2019),1.66% (Mar 2019),52.25 L,0.00,Large Cap,66.61
Au Small Finance Bank Ltd.,Banks,19.82,1574.5,1.68%,0.17%,0.66% (Jun 2018),0.66% (Jun 2018),24.42 L,70.00 k,Mid Cap,24.66
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,10.27,1491.9,1.59%,0.28%,1.59% (Apr 2019),1.59% (Apr 2019),8.33 L,0.67 L,Large Cap,66.61
Havells India Ltd.,Consumer elctronics,2.63,1488.9,1.59%,0.12%,1.42% (Jun 2018),1.42% (Jun 2018),19.22 L,1.55 L,Large Cap,66.61
eClerx Services Ltd.,It enabled services – software,4.5,1478.9,1.58%,0.03%,1.58% (Apr 2019),1.58% (Apr 2019),12.91 L,0.27 L,Small Cap,6.15
Jubilant Foodworks Ltd.,Consumer food,2.95,1480,1.58%,0.14%,1.58% (Apr 2019),1.58% (Apr 2019),11.14 L,0.00,Mid Cap,24.66
Page Industries Ltd.,Fabrics and garments,1.45,1356.1,1.45%,0.12%,1.45% (Apr 2019),1.45% (Apr 2019),58.73 k,0.00,Large Cap,66.61
Eicher Motors Ltd.,Commercial vehicles,1.43,1338.2,1.43%,0.01%,1.43% (Apr 2019),1.43% (Apr 2019),65.70 k,0.00,Large Cap,66.61
City Union Bank Ltd.,Banks,19.82,1340.8,1.43%,0.05%,0.73% (Jul 2018),0.73% (Jun 2018),66.11 L,3.05 L,Mid Cap,24.66
Endurance Technologies Ltd.,Auto ancillaries,3.54,1310.1,1.40%,0.04%,1.36% (Mar 2019),1.36% (Mar 2019),11.13 L,13.00 k,Mid Cap,24.66
Berger Paints India Ltd.,Paints,1.39,1297.9,1.39%,0.02%,0.84% (Jun 2018),0.84% (Jun 2018),40.69 L,0.00,Large Cap,66.61
Grindwell Norton Ltd.,Abrasives,1.39,1302,1.39%,0.03%,1.15% (May 2018),1.15% (May 2018),21.45 L,0.00,Small Cap,6.15
Nestle India Ltd.,Consumer food,2.95,1281.2,1.37%,0.00%,0.92% (Sep 2018),0.92% (Sep 2018),1.17 L,0.00,Large Cap,66.61
Ipca Laboratories Ltd.,Pharmaceuticals,10.27,1206.1,1.29%,0.04%,0.98% (Sep 2018),0.98% (Sep 2018),12.66 L,74.00 k,Mid Cap,24.66
Marico Ltd.,Personal care,2.51,1206.3,1.29%,0.08%,1% (May 2018),1% (May 2018),33.56 L,75.00 k,Large Cap,66.61
Amara Raja Batteries Limited,Batteries – automobile,1.24,1160.3,1.24%,0.11%,1.24% (Apr 2019),1.24% (Apr 2019),17.52 L,0.00,Mid Cap,24.66
Pi Industries Ltd.,Pesticides and agrochemicals,1.23,1155.2,1.23%,0.01%,1.06% (Sep 2018),1.06% (Aug 2018),11.06 L,0.00,Mid Cap,24.66
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,10.27,1150.5,1.23%,0.05%,1.23% (Apr 2019),1.23% (Apr 2019),25.14 L,0.00,Large Cap,66.61
Hindustan Zinc Ltd.,Zinc,1.21,1133.2,1.21%,0.04%,1.17% (Mar 2019),1.17% (Mar 2019),40.93 L,1.30 L,Large Cap,66.61
Pidilite Industries Ltd.,Chemicals  speciality,1.2,1118.3,1.20%,0.00%,0.96% (Oct 2018),0.96% (Oct 2018),9.06 L,0.00,Large Cap,66.61
Cadila Healthcare Ltd.,Pharmaceuticals,10.27,1116.4,1.19%,0.04%,1.19% (Apr 2019),1.19% (Apr 2019),34.30 L,1.00 L,Large Cap,66.61
Schaeffler India Ltd.,Bearings,1.16,1087.4,1.16%,0.02%,1.11% (May 2018),1.11% (May 2018),2.02 L,0.00,Mid Cap,24.66
Dabur India Ltd.,Personal care,2.51,1078.9,1.15%,0.11%,0.78% (May 2018),0.78% (May 2018),27.10 L,3.35 L,Large Cap,66.61
Sheela Foam Ltd.,Houseware,1.08,1007.3,1.08%,0.08%,1% (Mar 2019),1% (Mar 2019),7.47 L,2.43 k,Small Cap,6.15
Symphony Ltd.,Consumer elctronics,2.63,970.6,1.04%,0.05%,0.96% (Oct 2018),0.96% (Oct 2018),7.10 L,0.30 L,Mid Cap,24.66
Crompton Greaves Consumer Electricals Ltd.,Home appliances,0.93,872.7,0.93%,0.17%,0.32% (Aug 2018),0% (May 2018),36.72 L,5.44 L,Mid Cap,24.66
Cera Sanitaryware Ltd.,Sanitary ware,0.75,704.1,0.75%,0.08%,0.56% (May 2018),0.56% (May 2018),2.51 L,0.00,Small Cap,6.15
