Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,32.02,1636.1,9.14%,0.05%,4.25% (May 2018),4.25% (May 2018),40.15 L,0.00,Large Cap,75.66
HDFC Bank Ltd.,Banks,32.02,1297.8,7.25%,0.09%,7.01% (May 2018),7.01% (May 2018),5.60 L,0.00,Large Cap,75.66
Infosys Ltd.,Computers  software,10.21,1262.3,7.05%,0.01%,2.68% (Sep 2018),0% (May 2018),16.80 L,0.00,Large Cap,75.66
Axis Bank Ltd.,Banks,32.02,1150.3,6.43%,0.16%,1.03% (Aug 2018),0% (May 2018),15.00 L,0.00,Large Cap,75.66
State Bank Of India,Banks,32.02,960.9,5.37%,0.25%,0.89% (Jun 2018),0% (May 2018),31.00 L,0.00,Large Cap,75.66
Reliance Industries Ltd.,Refineries/marketing,5.84,696.4,3.89%,0.04%,3.29% (May 2018),3.29% (May 2018),5.00 L,0.00,Large Cap,75.66
Kotak Mahindra Bank Ltd.,Banks,32.02,686.3,3.83%,0.10%,3.73% (Mar 2019),3.73% (Mar 2019),4.95 L,0.00,Large Cap,75.66
Housing Development Finance Corporation Ltd.,Housing finance,3.45,618.5,3.45%,0.01%,3.45% (Mar 2019),3.45% (Mar 2019),3.10 L,0.00,Large Cap,75.66
ITC Limited,Cigarettes,3.2,572.6,3.20%,0.01%,1.51% (May 2018),1.51% (May 2018),19.00 L,0.00,Large Cap,75.66
Tata Consultancy Services Ltd.,Computers  software,10.21,565.1,3.16%,0.33%,1.97% (Jul 2018),0% (May 2018),2.50 L,0.00,Large Cap,75.66
Havells India Ltd.,Consumer elctronics,2.84,508.2,2.84%,0.02%,1.6% (May 2018),1.6% (May 2018),6.56 L,0.00,Large Cap,75.66
Bata India Ltd.,Leather and leather products,2.44,436.2,2.44%,0.06%,1.01% (May 2018),1.01% (May 2018),3.00 L,0.00,Mid Cap,10.28
Piramal Enterprises Ltd.,Pharmaceuticals,5.22,411.6,2.30%,0.35%,1.14% (May 2018),1.14% (May 2018),1.74 L,49.60 k,Large Cap,75.66
Bajaj Finance Ltd.,Nbfc,4,402.5,2.25%,0.03%,1.05% (May 2018),1.05% (May 2018),1.30 L,0.00,Large Cap,75.66
Hindustan Unilever Ltd.,Diversified,2.16,386.7,2.16%,0.04%,2.12% (Mar 2019),0% (May 2018),2.20 L,0.00,Large Cap,75.66
