Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,27.69,276.3,10.41%,0.15%,9.07% (Aug 2018),9.07% (Aug 2018),1.19 L,1.08 k,Large Cap,98.63
Reliance Industries Ltd.,Refineries/marketing,11.35,264.2,9.95%,0.08%,7.47% (May 2018),7.47% (May 2018),1.90 L,1.71 k,Large Cap,98.63
Housing Development Finance Corporation Ltd.,Housing finance,7.35,182.4,6.87%,0.00%,6.45% (Sep 2018),6.45% (Sep 2018),91.43 k,824.00,Large Cap,98.63
Infosys Ltd.,Computers  software,13.2,158.3,5.96%,0.02%,5.5% (May 2018),5.5% (May 2018),2.11 L,1.90 k,Large Cap,98.63
ICICI Bank Ltd.,Banks,27.69,145.5,5.48%,0.02%,4.16% (Jun 2018),4.16% (Jun 2018),3.57 L,3.22 k,Large Cap,98.63
ITC Limited,Cigarettes,5.4,143.2,5.40%,0.00%,5.35% (Jun 2018),5.35% (Jun 2018),4.75 L,4.29 k,Large Cap,98.63
Tata Consultancy Services Ltd.,Computers  software,13.2,131.6,4.96%,0.51%,4.11% (May 2018),4.11% (May 2018),58.22 k,525.00,Large Cap,98.63
Kotak Mahindra Bank Ltd.,Banks,27.69,102.6,3.87%,0.10%,3.45% (Sep 2018),3.45% (Sep 2018),74.01 k,668.00,Large Cap,98.63
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.47,92.2,3.47%,0.15%,3.47% (Apr 2019),3.47% (Apr 2019),68.40 k,616.00,Large Cap,98.63
Axis Bank Ltd.,Banks,27.69,83,3.13%,0.08%,2.07% (Jun 2018),2.07% (Jun 2018),1.08 L,977.00,Large Cap,98.63
Hindustan Unilever Ltd.,Diversified,2.62,69.6,2.62%,0.04%,2.58% (Mar 2019),2.58% (Mar 2019),39.59 k,357.00,Large Cap,98.63
State Bank Of India,Banks,27.69,64.4,2.43%,0.11%,2.19% (Nov 2018),2.19% (Nov 2018),2.08 L,1.87 k,Large Cap,98.63
Maruti Suzuki India Ltd.,Passenger/utility vehicles,3.92,49.1,1.85%,0.03%,1.85% (Apr 2019),1.85% (Apr 2019),7.37 k,66.00,Large Cap,98.63
Indusind Bank Ltd.,Banks,27.69,45.6,1.72%,0.21%,1.71% (Feb 2019),1.71% (Feb 2019),28.39 k,256.00,Large Cap,98.63
Bajaj Finance Ltd.,Nbfc,2.48,40.7,1.53%,0.01%,1.16% (Sep 2018),1.16% (Sep 2018),13.13 k,118.00,Large Cap,98.63
Asian Paints (india) Ltd.,Paints,1.38,36.6,1.38%,0.04%,1.32% (Sep 2018),1.32% (Sep 2018),24.98 k,225.00,Large Cap,98.63
HCL Technologies Limited,Computers  software,13.2,35.6,1.34%,0.09%,1.19% (Jul 2018),1.19% (Jul 2018),30.06 k,271.00,Large Cap,98.63
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,3.92,33.3,1.26%,0.07%,1.26% (Apr 2019),1.26% (Apr 2019),51.67 k,466.00,Large Cap,98.63
National Thermal Power Corporation Ltd.,Power,1.14,30.1,1.14%,0.02%,1.03% (Nov 2018),1.03% (Nov 2018),2.25 L,2.03 k,Large Cap,98.63
Tech Mahindra Ltd.,Software telecom,1.1,29.2,1.10%,0.07%,0.95% (Jul 2018),0.95% (Jul 2018),34.88 k,314.00,Large Cap,98.63
Oil & Natural Gas Corporation Ltd.,Oil exploration,1.07,28.3,1.07%,0.05%,0.97% (Dec 2018),0.97% (Dec 2018),1.67 L,1.51 k,Large Cap,98.63
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,2.39,28,1.05%,0.07%,1.05% (Apr 2019),1.05% (Apr 2019),61.16 k,551.00,Large Cap,98.63
Titan Company Ltd.,"Gems, jewellery and watches",1.01,26.8,1.01%,0.00%,0.76% (Sep 2018),0.76% (Sep 2018),23.12 k,208.00,Large Cap,98.63
Ultratech Cement Ltd.,Cement,1.75,26.7,1.01%,0.13%,0.84% (Jan 2019),0.84% (Jan 2019),5.78 k,52.00,Large Cap,98.63
Bajaj Finserv Ltd,Nbfc,2.48,25.2,0.95%,0.05%,0.78% (Oct 2018),0.78% (Oct 2018),3.35 k,31.00,Large Cap,98.63
Wipro Ltd.,Computers  software,13.2,25,0.94%,0.13%,0.69% (Jul 2018),0.69% (Jul 2018),83.59 k,754.00,Large Cap,98.63
Power Grid Corporation of India Ltd.,Power transmission,0.9,23.8,0.90%,0.06%,0.9% (Apr 2019),0.9% (Apr 2019),1.28 L,1.15 k,Large Cap,98.63
Coal India Ltd.,Industrial minerals,0.88,23.4,0.88%,0.04%,0.75% (Dec 2018),0.75% (Dec 2018),92.88 k,838.00,Large Cap,98.63
Bharti Airtel Ltd.,Telecom  services,0.96,23.4,0.88%,0.05%,0.88% (Apr 2019),0.88% (Apr 2019),73.10 k,659.00,Large Cap,98.63
Tata Steel Ltd.,Steel,1.53,23.3,0.88%,0.05%,0.82% (Jan 2019),0.82% (Jan 2019),41.83 k,377.00,Large Cap,98.63
Bajaj Auto Ltd.,Motor cycles/scooters,1.53,22.5,0.85%,0.01%,0.79% (Jan 2019),0.79% (Jan 2019),7.54 k,68.00,Large Cap,98.63
Tata Motors Ltd.,Passenger/utility vehicles,3.92,21.6,0.81%,0.14%,0.67% (Mar 2019),0.67% (Mar 2019),1.01 L,909.00,Large Cap,98.63
Indian Oil Corporation Ltd.,Refineries/marketing,11.35,20.6,0.78%,0.03%,0.65% (Nov 2018),0.65% (Nov 2018),1.30 L,1.18 k,Large Cap,98.63
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,2.39,19.7,0.74%,0.03%,0.55% (May 2018),0.55% (May 2018),6.72 k,60.00,Large Cap,98.63
