Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Tube Investments Of India Ltd.,Auto ancillaries,7.81,514.3,4.46%,0.10%,2.02% (Feb 2019),0% (May 2018),13.52 L,1.13 k,Small Cap,91.85
Navin Flourine International Ltd.,Chemicals  inorganic,3.97,457.7,3.97%,0.09%,3.7% (May 2018),3.7% (May 2018),6.83 L,0.00,Small Cap,91.85
Nrb Bearings Ltd.,Bearings,6.08,456.1,3.96%,0.06%,3.22% (May 2018),3.22% (May 2018),24.41 L,0.00,Small Cap,91.85
Praj Industries Ltd.,"Engineering, designing, construction",6.59,450.5,3.91%,0.39%,2.42% (Jul 2018),2.42% (Jul 2018),32.94 L,0.00,Small Cap,91.85
J.K. Cement Ltd.,Cement,8.88,410.9,3.56%,0.25%,2.93% (Jul 2018),2.93% (Jul 2018),4.55 L,0.00,Small Cap,91.85
DCB Bank Ltd.,Banks,5.1,410.2,3.56%,0.24%,2.65% (Jul 2018),2.65% (Jul 2018),19.32 L,0.00,Small Cap,91.85
Heidelberg Cement India Ltd.,Cement,8.88,373.9,3.24%,0.07%,2.42% (May 2018),2.42% (May 2018),20.49 L,0.32 L,Small Cap,91.85
Kalpataru Power Transmission Ltd.,Transmission towers,3.12,359.5,3.12%,0.02%,2.35% (Aug 2018),2.35% (Aug 2018),7.72 L,0.11 L,Small Cap,91.85
INOX Leisure Ltd.,"Flim production, distribution & exhibition",2.71,312.2,2.71%,0.05%,1.28% (Jul 2018),1.28% (Jul 2018),9.95 L,0.00,Small Cap,91.85
Heritage Foods (india) Ltd.,Consumer food,2.71,311.9,2.71%,0.04%,2.64% (Feb 2019),2.64% (Feb 2019),6.00 L,0.00,Small Cap,91.85
Rane Holdings Ltd.,Investment companies,2.58,297.9,2.58%,0.12%,2.41% (Jan 2019),2.41% (Jan 2019),2.46 L,0.00,Small Cap,91.85
ISGEC Heavy Engineering Ltd.,Industrial equipment,4.08,294.7,2.56%,0.12%,2.24% (May 2018),2.24% (May 2018),5.26 L,0.00,Other,6.21
Thyrocare Technologies Ltd.,Healthcare service providers,3.63,294.7,2.56%,0.13%,2.56% (Apr 2019),2.56% (Apr 2019),5.99 L,0.00,Small Cap,91.85
