Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Infosys Ltd.,Computers  software,24.45,2393.8,9.48%,0.18%,8.66% (Dec 2018),8.66% (Dec 2018),31.86 L,0.00,Large Cap,69.92
Tech Mahindra Ltd.,Software telecom,6.15,1553.9,6.15%,0.40%,5.06% (Jul 2018),5.06% (Jul 2018),18.59 L,0.32 L,Large Cap,69.92
Tata Consultancy Services Ltd.,Computers  software,24.45,1485.1,5.88%,0.72%,4.54% (May 2018),4.54% (May 2018),6.57 L,0.00,Large Cap,69.92
ICICI Bank Ltd.,Banks,8.4,1485.3,5.88%,0.01%,4.57% (Jun 2018),4.57% (Jun 2018),36.45 L,0.90 L,Large Cap,69.92
ITC Limited,Cigarettes,5.56,1404.9,5.56%,0.12%,4.8% (May 2018),4.8% (May 2018),46.62 L,0.00,Large Cap,69.92
Mphasis Ltd.,Computers  software,24.45,1169.1,4.63%,0.14%,4.63% (Apr 2019),4.63% (Apr 2019),12.06 L,0.21 L,Mid Cap,18.37
NIIT Techonologies Ltd.,Computers  software,24.45,896.4,3.55%,0.05%,3.33% (May 2018),3.33% (May 2018),6.93 L,0.00,Small Cap,9.95
GAIL (India) Ltd.,Gas transmission/marketing,3.38,854.3,3.38%,0.11%,3.21% (May 2018),3.21% (May 2018),24.00 L,0.00,Large Cap,69.92
National Thermal Power Corporation Ltd.,Power,3.34,674.7,2.67%,0.01%,2.38% (Nov 2018),2.38% (Nov 2018),50.33 L,0.00,Large Cap,69.92
Hindustan Unilever Ltd.,Diversified,2.32,585.3,2.32%,0.09%,2.04% (May 2018),2.04% (May 2018),3.33 L,0.00,Large Cap,69.92
Sanofi India Ltd.,Pharmaceuticals,4.08,545.4,2.16%,0.07%,2.03% (Jun 2018),2.03% (Jun 2018),97.20 k,0.00,Mid Cap,18.37
Hero Motocorp Ltd.,Motor cycles/scooters,2.15,542.6,2.15%,0.01%,1.72% (Jan 2019),1.72% (Jan 2019),2.16 L,0.00,Large Cap,69.92
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,2.07,524,2.07%,0.02%,1.77% (Jul 2018),1.77% (Jul 2018),72.00 k,0.00,Large Cap,69.92
Bharat Petroleum Corporation Ltd.,Refineries/marketing,4.78,512.8,2.03%,0.07%,1.49% (Oct 2018),1.49% (Oct 2018),13.50 L,0.00,Large Cap,69.92
Great Eastern Shipping Co. Ltd.,Shipping,1.99,503.4,1.99%,0.04%,1.92% (Feb 2019),1.92% (Feb 2019),17.43 L,0.00,Small Cap,9.95
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,4.08,483.8,1.92%,0.14%,1.74% (Sep 2018),1.74% (Sep 2018),2.70 L,0.00,Large Cap,69.92
Hindustan Zinc Ltd.,Zinc,1.87,473.4,1.87%,0.01%,1.8% (Oct 2018),1.8% (Oct 2018),17.10 L,0.00,Large Cap,69.92
Oil & Natural Gas Corporation Ltd.,Oil exploration,2.63,464.5,1.84%,0.12%,1.43% (Nov 2018),1.43% (Nov 2018),27.45 L,0.00,Large Cap,69.92
Vedanta Ltd.,Copper & copper products,1.83,463.2,1.83%,0.18%,1.73% (Aug 2018),1.73% (Aug 2018),27.76 L,0.00,Large Cap,69.92
Procter & Gamble Hygiene & Health Care Ltd.,Personal care,2.85,454.9,1.80%,0.09%,1.59% (May 2018),1.59% (May 2018),44.58 k,0.00,Large Cap,69.92
HDFC Bank Ltd.,Banks,8.4,417.1,1.65%,0.01%,1.42% (Aug 2018),1.42% (Aug 2018),1.80 L,0.00,Large Cap,69.92
Cummins India Ltd.,Diesel engines,1.63,412,1.63%,0.03%,1.48% (Sep 2018),1.48% (Sep 2018),5.67 L,0.00,Mid Cap,18.37
ICICI Prudential Life Insurance Co Ltd.,Insurance,1.59,402.2,1.59%,0.09%,1.27% (Jan 2019),1.27% (Jan 2019),10.89 L,0.00,Large Cap,69.92
Power Grid Corporation of India Ltd.,Power transmission,1.55,390.9,1.55%,0.08%,1.45% (Jul 2018),1.45% (Jul 2018),20.97 L,0.00,Large Cap,69.92
Castrol (india) Ltd.,Lubricants,1.44,362.6,1.44%,0.11%,1.32% (Sep 2018),1.32% (Sep 2018),23.76 L,0.00,Mid Cap,18.37
Indian Oil Corporation Ltd.,Refineries/marketing,4.78,354,1.40%,0.03%,1.25% (Nov 2018),1.25% (Nov 2018),22.40 L,0.00,Large Cap,69.92
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,4.78,340.8,1.35%,0.05%,1.05% (Oct 2018),1.05% (Oct 2018),11.70 L,0.00,Large Cap,69.92
Ambuja Cements Ltd.,Cement,1.27,321.5,1.27%,0.08%,1.14% (May 2018),1.14% (May 2018),14.58 L,0.00,Large Cap,69.92
Coromandel International Ltd.,Fertilisersphosphatic,1.24,312.7,1.24%,0.19%,1.1% (Aug 2018),1.1% (Aug 2018),7.20 L,0.00,Mid Cap,18.37
Mahanagar Gas Ltd.,Lpg/cng/png/lng supplier,1.11,279.1,1.11%,0.09%,1.05% (Dec 2018),1.05% (Dec 2018),2.89 L,0.00,Mid Cap,18.37
Tata Chemicals Ltd.,Chemicals  inorganic,1.05,264.3,1.05%,0.01%,1.04% (Feb 2019),1.04% (Feb 2019),4.58 L,0.00,Mid Cap,18.37
Coal India Ltd.,Industrial minerals,0.99,250.1,0.99%,0.07%,0.91% (Jan 2019),0.91% (Jan 2019),9.92 L,0.00,Large Cap,69.92
National Aluminium Co. Ltd.,Aluminium,0.99,251,0.99%,0.06%,0.99% (Apr 2019),0.99% (Apr 2019),48.45 L,0.00,Mid Cap,18.37
Bharat Electronics Ltd.,Industrial electronics,0.93,235.3,0.93%,0.06%,0.68% (Sep 2018),0.68% (Sep 2018),27.00 L,0.00,Mid Cap,18.37
