Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Praj Industries Ltd.,"Engineering, designing, construction",10.16,23.3,3.69%,0.28%,2.5% (Sep 2018),2.5% (Sep 2018),1.70 L,0.00,Small Cap,94.63
Navin Flourine International Ltd.,Chemicals  inorganic,3.66,23,3.66%,0.00%,2.99% (May 2018),2.99% (May 2018),34.36 k,0.00,Small Cap,94.63
Heidelberg Cement India Ltd.,Cement,7.27,19.4,3.07%,0.17%,2.05% (May 2018),2.05% (May 2018),1.06 L,0.00,Small Cap,94.63
Ashoka Buildcon Ltd.,"Engineering, designing, construction",10.16,18.8,2.99%,0.09%,2.63% (Sep 2018),2.63% (Sep 2018),1.51 L,0.00,Small Cap,94.63
Kalpataru Power Transmission Ltd.,Transmission towers,2.97,18.7,2.97%,0.12%,1.95% (Aug 2018),1.95% (Aug 2018),40.09 k,0.00,Small Cap,94.63
M M Forgings Ltd.,Castings/forgings,2.87,18.1,2.87%,0.18%,2.7% (Mar 2019),2.7% (Mar 2019),32.89 k,0.00,Small Cap,94.63
NCC Ltd.,"Engineering, designing, construction",10.16,17.7,2.80%,0.22%,2.03% (Sep 2018),2.03% (Sep 2018),1.78 L,0.00,Small Cap,94.63
Grindwell Norton Ltd.,Abrasives,2.79,17.6,2.79%,0.19%,1.82% (May 2018),1.82% (May 2018),28.96 k,0.00,Small Cap,94.63
Kirloskar Ferrous Industries Ltd.,Pig iron,2.72,17.1,2.72%,0.05%,2.09% (May 2018),2.09% (May 2018),1.88 L,0.00,Small Cap,94.63
Vesuvius India Ltd.,Refractories,2.56,16.1,2.56%,0.06%,2.29% (Aug 2018),2.29% (Aug 2018),14.30 k,0.00,Small Cap,94.63
Heritage Foods (india) Ltd.,Consumer food,3.52,16,2.54%,0.02%,2.38% (Feb 2019),2.38% (Feb 2019),30.75 k,0.00,Small Cap,94.63
J.K. Cement Ltd.,Cement,7.27,15.9,2.53%,0.23%,1.95% (Dec 2018),0% (May 2018),17.62 k,0.00,Small Cap,94.63
Ujjivan Small Finance Bank Ltd.,Banks,3.3,15.7,2.49%,0.04%,1.66% (Oct 2018),1.66% (Oct 2018),48.35 k,0.00,Small Cap,94.63
Star Cement Ltd.,Cement products,4.32,15,2.38%,0.26%,2.05% (Aug 2018),2.05% (Aug 2018),1.43 L,0.00,Small Cap,94.63
ISGEC Heavy Engineering Ltd.,Industrial equipment,2.28,14.4,2.28%,0.06%,1.8% (May 2018),1.8% (May 2018),25.63 k,0.00,Other,2.28
Subros Ltd.,Auto ancillaries,4.23,13.5,2.15%,0.20%,1.92% (Jan 2019),1.92% (Jan 2019),48.26 k,0.00,Small Cap,94.63
Nrb Bearings Ltd.,Bearings,3.06,13.5,2.14%,0.07%,1.51% (May 2018),1.51% (May 2018),72.04 k,0.00,Small Cap,94.63
Himatsingka Seide Ltd.,Fabrics and garments,3.06,13.1,2.08%,0.07%,1.74% (Feb 2019),1.74% (Feb 2019),61.32 k,0.00,Small Cap,94.63
Ador Welding Ltd.,Electrodes,1.96,12.3,1.96%,0.00%,1.61% (Jun 2018),1.61% (Jun 2018),37.87 k,0.00,Small Cap,94.63
