Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,28.01,5679.4,9.46%,0.05%,7.88% (Aug 2018),7.88% (Aug 2018),24.51 L,0.00,Large Cap,84.69
ICICI Bank Ltd.,Banks,28.01,4951.1,8.25%,0.02%,5.25% (Jun 2018),5.25% (Jun 2018),1.22 Cr,1.80 L,Large Cap,84.69
Infosys Ltd.,Computers  software,13.04,4354.8,7.25%,0.01%,6.64% (May 2018),6.64% (May 2018),57.96 L,0.18 L,Large Cap,84.69
Tata Consultancy Services Ltd.,Computers  software,13.04,3478.7,5.79%,0.60%,5.19% (Mar 2019),5.19% (Mar 2019),15.39 L,9.00 k,Large Cap,84.69
ITC Limited,Cigarettes,4.27,2563,4.27%,0.04%,2% (May 2018),2% (May 2018),85.05 L,0.00,Large Cap,84.69
Larsen & Toubro Ltd.,"Engineering, designing, construction",3.42,2051.1,3.42%,0.11%,2.44% (May 2018),2.44% (May 2018),15.21 L,0.00,Large Cap,84.69
Tech Mahindra Ltd.,Software telecom,3.37,2020.4,3.37%,0.15%,3.05% (Jul 2018),3.05% (Jul 2018),24.17 L,0.59 L,Large Cap,84.69
Axis Bank Ltd.,Banks,28.01,1870.4,3.12%,0.05%,1.04% (Jun 2018),1.04% (Jun 2018),24.39 L,0.00,Large Cap,84.69
Reliance Industries Ltd.,Refineries/marketing,2.82,1692.3,2.82%,0.05%,2.22% (May 2018),2.22% (May 2018),12.15 L,0.00,Large Cap,84.69
Kotak Mahindra Bank Ltd.,Banks,28.01,1646.9,2.74%,0.09%,2.58% (Feb 2019),2.58% (Feb 2019),11.88 L,0.00,Large Cap,84.69
Housing Development Finance Corporation Ltd.,Housing finance,3.41,1616,2.69%,1.21%,1.48% (Mar 2019),0% (May 2018),8.10 L,3.60 L,Large Cap,84.69
GAIL (India) Ltd.,Gas transmission/marketing,2.19,1316.7,2.19%,0.04%,1.58% (Nov 2018),1.58% (Nov 2018),36.99 L,0.00,Large Cap,84.69
Maruti Suzuki India Ltd.,Passenger/utility vehicles,4.59,1272,2.12%,0.31%,2.12% (Apr 2019),2.12% (Apr 2019),1.91 L,0.27 L,Large Cap,84.69
SKF India Ltd.,Bearings,2.11,1265.9,2.11%,0.08%,2.01% (Jul 2018),2.01% (Jul 2018),6.41 L,0.00,Mid Cap,11.36
Bharti Airtel Ltd.,Telecom  services,2.2,1212.8,2.02%,0.09%,1.69% (May 2018),1.69% (May 2018),37.86 L,0.00,Large Cap,84.69
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,5.4,1152.8,1.92%,0.10%,1.16% (May 2018),1.16% (May 2018),25.19 L,0.00,Large Cap,84.69
Indusind Bank Ltd.,Banks,28.01,1127.8,1.88%,0.21%,1.88% (Apr 2019),1.88% (Apr 2019),7.02 L,0.00,Large Cap,84.69
Asian Paints (india) Ltd.,Paints,1.86,1119.3,1.86%,0.05%,1.8% (Oct 2018),1.8% (Oct 2018),7.65 L,0.00,Large Cap,84.69
State Bank Of India,Banks,28.01,1090.7,1.82%,0.07%,0.53% (Nov 2018),0% (May 2018),35.19 L,0.00,Large Cap,84.69
Hero Motocorp Ltd.,Motor cycles/scooters,1.8,1077.8,1.80%,0.04%,1.26% (Aug 2018),1.26% (Aug 2018),4.29 L,18.00 k,Large Cap,84.69
Shree Cement Ltd.,Cement,1.63,977,1.63%,0.09%,1.11% (Oct 2018),1.11% (Oct 2018),49.37 k,0.00,Large Cap,84.69
Sanofi India Ltd.,Pharmaceuticals,5.4,949.4,1.58%,0.08%,1.58% (Apr 2019),1.58% (Apr 2019),1.69 L,0.00,Mid Cap,11.36
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,4.59,871.2,1.45%,0.26%,1.45% (Apr 2019),1.45% (Apr 2019),13.50 L,1.63 L,Large Cap,84.69
Jubilant Foodworks Ltd.,Consumer food,1.45,872.8,1.45%,0.16%,1.34% (Oct 2018),1.34% (Oct 2018),6.57 L,9.00 k,Mid Cap,11.36
Pidilite Industries Ltd.,Chemicals  speciality,1.41,845.1,1.41%,0.02%,1.17% (Oct 2018),1.17% (Oct 2018),6.85 L,0.00,Large Cap,84.69
InterGlobe Aviation Ltd.,Airlines,1.39,832.8,1.39%,0.01%,0.56% (Sep 2018),0% (May 2018),5.49 L,0.36 L,Large Cap,84.69
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,1.83,816.1,1.36%,0.07%,0.44% (Sep 2018),0% (May 2018),33.84 L,0.00,Large Cap,84.69
Aditya Birla Fashion and Retail Ltd.,Retailing,1.35,811.4,1.35%,0.04%,0.95% (Jul 2018),0.95% (Jul 2018),37.61 L,0.00,Mid Cap,11.36
Cipla Ltd.,Pharmaceuticals,5.4,732.2,1.22%,0.07%,0.72% (May 2018),0.72% (May 2018),12.96 L,0.00,Large Cap,84.69
Vedanta Ltd.,Copper & copper products,1.14,683.3,1.14%,0.12%,1.05% (Aug 2018),1.05% (Aug 2018),40.95 L,0.00,Large Cap,84.69
Mahindra & Mahindra Financial Services Ltd.,Nbfc,1.73,622.2,1.04%,0.12%,1.04% (Apr 2019),1.04% (Apr 2019),15.53 L,0.90 L,Mid Cap,11.36
Tata Motors Ltd.,Passenger/utility vehicles,4.59,611.4,1.02%,0.19%,0.83% (Mar 2019),0.83% (Mar 2019),28.53 L,0.00,Large Cap,84.69
Container Corporation Of India Ltd.,Logistics solution provider,0.92,552.4,0.92%,0.07%,0.92% (Apr 2019),0.92% (Apr 2019),11.20 L,0.00,Large Cap,84.69
Sun TV Network Ltd.,Tv broadcasting & software production,0.91,547.8,0.91%,0.09%,0.91% (Jan 2019),0.91% (Apr 2019),9.54 L,0.00,Mid Cap,11.36
