Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,74.25,1251.4,18.95%,1.42%,17.2% (Jan 2019),17.2% (Jan 2019),5.40 L,0.00,Large Cap,76.91
ICICI Bank Ltd.,Banks,74.25,965.8,14.63%,1.17%,11.33% (Jun 2018),11.33% (Jun 2018),23.70 L,0.30 L,Large Cap,76.91
Axis Bank Ltd.,Banks,74.25,674.8,10.22%,0.48%,5.24% (Jun 2018),0% (May 2018),8.80 L,0.15 L,Large Cap,76.91
State Bank Of India,Banks,74.25,542.4,8.22%,0.14%,4.14% (Jun 2018),4.14% (Jun 2018),17.50 L,0.50 L,Large Cap,76.91
Housing Development Finance Corporation Ltd.,Housing finance,12.19,478.8,7.25%,0.15%,1.98% (Jul 2018),1.98% (Jul 2018),2.40 L,0.18 L,Large Cap,76.91
Kotak Mahindra Bank Ltd.,Banks,74.25,277.3,4.20%,0.18%,0.5% (Oct 2018),0% (May 2018),2.00 L,0.15 L,Large Cap,76.91
Indusind Bank Ltd.,Banks,74.25,257,3.89%,1.09%,3.89% (Apr 2019),3.89% (Apr 2019),1.60 L,0.40 L,Large Cap,76.91
RBL Bank Ltd.,Banks,74.25,237.6,3.60%,0.17%,1.76% (Sep 2018),0% (May 2018),3.50 L,0.10 L,Mid Cap,10.82
Yes Bank,Banks,74.25,201.6,3.05%,1.57%,3.05% (Apr 2019),3.05% (Apr 2019),12.00 L,0.00,Large Cap,76.91
PNB Housing Finance Ltd.,Housing finance,12.19,177,2.68%,1.17%,0.74% (Jul 2018),0% (May 2018),2.50 L,1.25 L,Mid Cap,10.82
Satin Creditcare Network Ltd.,Nbfc,4.65,156.3,2.37%,0.15%,1.63% (Nov 2018),1.63% (Nov 2018),4.75 L,0.17 L,Small Cap,11.76
Mahindra & Mahindra Financial Services Ltd.,Nbfc,4.65,150.2,2.28%,0.08%,2.28% (Apr 2019),2.28% (Apr 2019),3.75 L,0.25 L,Mid Cap,10.82
LIC Housing Finance Ltd.,Housing finance,12.19,149,2.26%,0.35%,2.26% (Apr 2019),2.26% (Apr 2019),3.00 L,0.50 L,Mid Cap,10.82
ICICI Prudential Life Insurance Co Ltd.,Insurance,3.11,147.7,2.24%,0.03%,1.43% (Jun 2018),0% (May 2018),4.00 L,0.50 L,Large Cap,76.91
The Jammu & Kashmir Bank Ltd.,Banks,74.25,136.9,2.07%,0.36%,1.3% (Dec 2018),1.3% (Dec 2018),22.54 L,0.23 L,Small Cap,11.76
Equitas Holdings Ltd.,Investment companies,3.78,130.4,1.98%,0.09%,1.98% (Apr 2019),1.98% (Apr 2019),10.00 L,0.83 L,Small Cap,11.76
Karur Vysya Bank Ltd,Banks,74.25,123.8,1.88%,0.48%,1.21% (Dec 2018),0% (May 2018),16.00 L,2.00 L,Small Cap,11.76
HDFC Asset Management Co. Ltd.,Investment companies,3.78,118.7,1.80%,0.30%,1.36% (Jul 2018),0% (May 2018),70.00 k,0.00,Large Cap,76.91
Bank Of Baroda,Banks,74.25,105,1.59%,0.39%,1.59% (Apr 2019),1.59% (Apr 2019),9.00 L,2.00 L,Large Cap,76.91
ICICI Securities Ltd.,Stockbroking and allied,1.51,99.7,1.51%,0.15%,0.69% (Feb 2019),0.69% (Feb 2019),4.50 L,50.00 k,Small Cap,11.76
DCB Bank Ltd.,Banks,74.25,84.9,1.29%,0.86%,1.29% (Apr 2019),1.29% (Apr 2019),4.00 L,3.50 L,Small Cap,11.76
SBI Life Insurance Co Ltd.,Insurance,3.11,57.6,0.87%,0.05%,0.81% (Feb 2019),0.81% (Feb 2019),90.00 k,0.10 L,Large Cap,76.91
#Ujjivan Small Finance Bank Ltd.,Banks,74.25,43.5,0.66%,0.66%,0.66% (Apr 2019),0% (May 2018),1.34 L,1.34 L,Small Cap,11.76
L&T Finance Holdings Ltd.,Investment companies,3.78,76.3,0.00%,1.07%,,,,,Mid Cap,10.82
