Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,28.3,4150.9,9.12%,0.06%,7.77% (Aug 2018),7.77% (Aug 2018),17.91 L,0.00,Large Cap,72.43
ICICI Bank Ltd.,Banks,28.3,3593,7.90%,0.19%,5.18% (Jun 2018),5.18% (Jun 2018),88.17 L,0.00,Large Cap,72.43
Infosys Ltd.,Computers  software,13.09,3040.6,6.68%,0.39%,6.53% (May 2018),6.53% (May 2018),40.47 L,3.10 L,Large Cap,72.43
Axis Bank Ltd.,Banks,28.3,2755.7,6.06%,0.23%,1.78% (May 2018),1.78% (May 2018),35.93 L,1.54 L,Large Cap,72.43
ITC Limited,Cigarettes,4.6,2091.1,4.60%,0.10%,2.85% (May 2018),2.85% (May 2018),69.39 L,0.00,Large Cap,72.43
Tata Consultancy Services Ltd.,Computers  software,13.09,2057,4.52%,0.55%,3.58% (Jun 2018),3.58% (Jun 2018),9.10 L,0.00,Large Cap,72.43
Indusind Bank Ltd.,Banks,28.3,1395.1,3.07%,0.30%,3.07% (Apr 2019),3.07% (Apr 2019),8.68 L,0.00,Large Cap,72.43
Mahindra & Mahindra Financial Services Ltd.,Nbfc,4.16,1359.7,2.99%,0.13%,2.99% (Apr 2019),2.99% (Apr 2019),33.94 L,0.00,Mid Cap,18.4
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,7.43,1229.3,2.70%,0.11%,2.06% (May 2018),2.06% (May 2018),26.86 L,0.00,Large Cap,72.43
Tech Mahindra Ltd.,Software telecom,2.3,1044.8,2.30%,0.14%,2.08% (Nov 2018),2.08% (Nov 2018),12.50 L,0.25 L,Large Cap,72.43
GAIL (India) Ltd.,Gas transmission/marketing,2.99,1007.6,2.21%,0.24%,2.21% (Apr 2019),2.21% (Apr 2019),28.31 L,4.00 L,Large Cap,72.43
Cipla Ltd.,Pharmaceuticals,7.43,949.5,2.09%,0.15%,1.94% (Mar 2019),1.94% (Mar 2019),16.81 L,0.00,Large Cap,72.43
Jubilant Foodworks Ltd.,Consumer food,1.76,801.4,1.76%,0.14%,1.49% (Sep 2018),1.49% (Sep 2018),6.03 L,0.00,Mid Cap,18.4
Vedanta Ltd.,Copper & copper products,1.66,754.9,1.66%,0.16%,1.48% (May 2018),1.48% (May 2018),45.24 L,0.00,Large Cap,72.43
State Bank Of India,Banks,28.3,749.3,1.65%,0.04%,0.51% (Jul 2018),0% (May 2018),24.17 L,0.00,Large Cap,72.43
Aditya Birla Fashion and Retail Ltd.,Retailing,1.64,748.5,1.64%,0.03%,0.68% (Jul 2018),0.68% (Jul 2018),34.69 L,0.00,Mid Cap,18.4
Bharti Airtel Ltd.,Telecom  services,1.6,667.6,1.47%,0.04%,1.44% (Oct 2018),1.44% (Oct 2018),20.84 L,0.00,Large Cap,72.43
Crompton Greaves Consumer Electricals Ltd.,Home appliances,1.39,634,1.39%,0.07%,1.05% (May 2018),1.05% (May 2018),26.68 L,0.00,Mid Cap,18.4
National Thermal Power Corporation Ltd.,Power,3.15,630.8,1.39%,0.01%,1.15% (Jul 2018),1.15% (Jul 2018),47.06 L,0.00,Large Cap,72.43
InterGlobe Aviation Ltd.,Airlines,1.39,634,1.39%,0.22%,0.65% (May 2018),0.65% (May 2018),4.18 L,1.00 L,Large Cap,72.43
Shree Cement Ltd.,Cement,1.35,612.1,1.35%,0.09%,1.02% (Oct 2018),1.02% (Oct 2018),30.93 k,0.00,Large Cap,72.43
Eicher Motors Ltd.,Commercial vehicles,1.4,593,1.30%,0.26%,0.73% (Sep 2018),0% (May 2018),29.12 k,6.00 k,Large Cap,72.43
Bajaj Auto Ltd.,Motor cycles/scooters,1.28,584.7,1.28%,0.25%,0.96% (Jan 2019),0% (May 2018),1.96 L,34.16 k,Large Cap,72.43
Coromandel International Ltd.,Fertilisersphosphatic,1.28,581.6,1.28%,0.03%,0.62% (Jun 2018),0.62% (Jun 2018),13.39 L,2.08 L,Mid Cap,18.4
Torrent Power Ltd.,Power,3.15,583.3,1.28%,0.01%,0.86% (May 2018),0.86% (May 2018),23.04 L,0.00,Mid Cap,18.4
Container Corporation Of India Ltd.,Logistics solution provider,1.27,575.7,1.27%,0.07%,1.27% (Apr 2019),1.27% (Apr 2019),11.67 L,0.00,Large Cap,72.43
Muthoot Finance Pvt. Ltd.,Nbfc,4.16,533.8,1.17%,0.03%,0.55% (Jun 2018),0.55% (Jun 2018),8.94 L,0.00,Mid Cap,18.4
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,1.16,528.7,1.16%,0.04%,0.95% (Jun 2018),0.95% (Jun 2018),21.92 L,0.00,Large Cap,72.43
Escorts Ltd.,Tractors,1.16,527.4,1.16%,0.08%,0.25% (Dec 2018),0% (May 2018),7.14 L,0.00,Mid Cap,18.4
Equitas Holdings Ltd.,Investment companies,1.12,510.9,1.12%,0.05%,0.97% (Nov 2018),0.97% (Nov 2018),39.18 L,0.00,Small Cap,4.97
NIIT Techonologies Ltd.,Computers  software,13.09,501.1,1.10%,0.02%,0.68% (Sep 2018),0.68% (Sep 2018),3.87 L,0.00,Small Cap,4.97
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,7.43,475.7,1.05%,0.08%,0.52% (May 2018),0.52% (May 2018),2.65 L,0.00,Large Cap,72.43
Tata Motors Ltd.,Passenger/utility vehicles,1.89,469.9,1.03%,0.20%,0.83% (Mar 2019),0.83% (Mar 2019),21.93 L,0.00,Large Cap,72.43
Indian Oil Corporation Ltd.,Refineries/marketing,1.93,453.9,1.00%,0.02%,1% (Apr 2019),1% (Apr 2019),28.72 L,0.00,Large Cap,72.43
Phoenix Mills Ltd.,Residential/commercial/sez project,0.99,451.8,0.99%,0.34%,0.65% (Mar 2019),0% (May 2018),7.53 L,3.00 L,Mid Cap,18.4
Info Edge (India) Ltd.,It enabled services – software,0.94,428.1,0.94%,0.05%,0.45% (Jun 2018),0.45% (Jun 2018),2.21 L,0.00,Mid Cap,18.4
Bharat Petroleum Corporation Ltd.,Refineries/marketing,1.93,423.4,0.93%,0.04%,0.78% (Oct 2018),0.78% (Oct 2018),11.15 L,0.00,Large Cap,72.43
Siemens Ltd.,Power equipment,0.88,402.2,0.88%,0.04%,0.53% (Jan 2019),0% (May 2018),3.43 L,0.00,Large Cap,72.43
MRF Ltd.,Tyres & allied,0.88,401.2,0.88%,0.08%,0.88% (Apr 2019),0.88% (Apr 2019),7.58 k,0.00,Mid Cap,18.4
Maruti Suzuki India Ltd.,Passenger/utility vehicles,1.89,390.6,0.86%,0.01%,0.85% (Mar 2019),0.85% (Mar 2019),58.60 k,0.00,Large Cap,72.43
Lupin Ltd.,Pharmaceuticals,7.43,363.5,0.80%,0.13%,0.47% (Feb 2019),0% (May 2018),4.17 L,2.67 k,Large Cap,72.43
Mphasis Ltd.,Computers  software,13.09,360.7,0.79%,0.01%,0.79% (Apr 2019),0.79% (Apr 2019),3.72 L,0.00,Mid Cap,18.4
Gujarat Gas Ltd.,Gas transmission/marketing,2.99,355,0.78%,0.06%,0.62% (Feb 2019),0.62% (Feb 2019),22.31 L,0.00,Other,1.34
Adani Ports And Special Economic Zone Ltd.,Port,0.71,321.4,0.71%,0.03%,0.63% (Feb 2019),0.63% (Feb 2019),8.18 L,0.00,Large Cap,72.43
Ajanta Pharma Limited,Pharmaceuticals,7.43,296.2,0.65%,0.03%,0.25% (Jun 2018),0% (May 2018),2.99 L,0.00,Small Cap,4.97
Indian Hotels Company Limited,Hotels/resorts,0.96,287.4,0.63%,0.00%,0.52% (Jul 2018),0.52% (Jul 2018),18.62 L,0.00,Mid Cap,18.4
KNR Constructions,Construction civil,0.54,243.9,0.54%,0.04%,0.23% (Dec 2018),0% (May 2018),10.16 L,0.00,Small Cap,4.97
#Amara Raja Batteries Limited,Batteries – automobile,0.51,231.8,0.51%,0.51%,0.51% (Apr 2019),0% (May 2018),3.50 L,3.50 L,Mid Cap,18.4
The Jammu & Kashmir Bank Ltd.,Banks,28.3,225.8,0.50%,0.06%,0.32% (Dec 2018),0.32% (Nov 2018),37.17 L,0.00,Small Cap,4.97
#Cesc Ltd.,Power,3.15,217.3,0.48%,0.48%,0.48% (Apr 2019),0% (May 2018),3.10 L,3.10 L,Mid Cap,18.4
