Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

The Ramco Cements Ltd.,Cement,6.02,38.9,4.80%,0.30%,3.92% (Nov 2018),3.92% (Nov 2018),50.18 k,0.00,Mid Cap,70.78
Apollo Hospitals Enterprises Ltd.,Hospital,4.22,34.1,4.22%,0.02%,3.61% (May 2018),3.61% (May 2018),28.06 k,0.00,Mid Cap,70.78
Bajaj Finance Ltd.,Nbfc,10.35,28.5,3.52%,0.13%,2.31% (May 2018),2.31% (May 2018),9.20 k,0.00,Large Cap,12.34
Trent Limited,Retailing,5.5,27.3,3.37%,0.01%,2.87% (Jun 2018),2.87% (Jun 2018),76.74 k,0.00,Mid Cap,70.78
Bata India Ltd.,Leather and leather products,3.35,27.1,3.35%,0.15%,2.03% (May 2018),2.03% (May 2018),18.64 k,0.00,Mid Cap,70.78
Thermax Ltd.,Industrial equipment,3.13,25.3,3.13%,0.77%,2.36% (Mar 2019),0% (May 2018),26.00 k,6.06 k,Mid Cap,70.78
Jubilant Foodworks Ltd.,Consumer food,5.6,24,2.96%,0.22%,1.28% (Oct 2018),1.28% (Oct 2018),18.05 k,0.00,Mid Cap,70.78
Cholamandalam Investment & Finance Co. Ltd.,Nbfc,10.35,23.7,2.92%,0.09%,2.61% (Sep 2018),2.61% (Sep 2018),17.05 k,0.00,Mid Cap,70.78
City Union Bank Ltd.,Banks,6.29,21.6,2.66%,0.01%,2.17% (Jul 2018),2.17% (Jul 2018),1.06 L,0.00,Mid Cap,70.78
Cesc Ltd.,Power,2.64,21.4,2.64%,0.08%,2.57% (Dec 2018),2.57% (Dec 2018),30.51 k,0.00,Mid Cap,70.78
Varun Beverages Ltd.,Consumer food,5.6,21.3,2.64%,0.57%,2.06% (Mar 2019),0% (May 2018),24.36 k,4.85 k,Mid Cap,70.78
ICICI Lombard General Insurance Co Ltd.,Insurance,4.61,20.7,2.55%,0.17%,1.63% (Jun 2018),1.63% (Jun 2018),18.88 k,0.00,Large Cap,12.34
L&T Technology Services Ltd.,It enabled services – software,2.49,20.1,2.49%,0.27%,0.35% (Jul 2018),0.35% (Jul 2018),11.59 k,0.00,Mid Cap,70.78
Bayer Cropscience Ltd.,Pesticides and agrochemicals,2.39,19.3,2.39%,0.14%,2.39% (Aug 2018),2.39% (Aug 2018),4.70 k,0.00,Mid Cap,70.78
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,2.31,18.7,2.31%,0.08%,1.88% (Jun 2018),1.88% (Jun 2018),59.80 k,0.00,Mid Cap,70.78
EIH Ltd,Hotels/resorts,2.29,18.6,2.29%,0.18%,1.91% (Sep 2018),1.91% (Sep 2018),98.30 k,0.00,Mid Cap,70.78
Siemens Ltd.,Power equipment,2.26,18.3,2.26%,0.11%,1.84% (Aug 2018),1.84% (Aug 2018),15.63 k,0.00,Large Cap,12.34
Quess Corp Ltd.,Diversified commercial services,2.2,17.8,2.20%,0.12%,2.1% (Jan 2019),2.1% (Jan 2019),25.52 k,0.00,Mid Cap,70.78
#Crompton Greaves Consumer Electricals Ltd.,Home appliances,4.26,17.7,2.19%,2.19%,2.19% (Apr 2019),0% (May 2018),74.61 k,74.61 k,Mid Cap,70.78
VGuard Industries Ltd.,Industrial electronics,2.14,17.4,2.14%,0.02%,1.84% (Sep 2018),1.84% (Sep 2018),79.64 k,0.00,Small Cap,11.32
Aditya Birla Fashion and Retail Ltd.,Retailing,5.5,17.3,2.13%,0.02%,0.94% (Jul 2018),0.94% (Jul 2018),80.06 k,0.00,Mid Cap,70.78
Whirlpool Of India Ltd.,Home appliances,4.26,16.7,2.07%,1.09%,0.93% (Dec 2018),0.93% (Dec 2018),12.02 k,6.70 k,Mid Cap,70.78
SBI Life Insurance Co Ltd.,Insurance,4.61,16.7,2.06%,0.21%,1.61% (Sep 2018),1.61% (Sep 2018),26.02 k,0.00,Large Cap,12.34
Max Financial Services Ltd.,Nbfc,10.35,16.5,2.03%,0.06%,1.98% (Oct 2018),1.98% (Oct 2018),39.39 k,0.00,Mid Cap,70.78
Redington (India) Ltd.,Logistics solution provider,1.93,15.7,1.93%,0.01%,1.48% (Jan 2019),1.48% (Jan 2019),1.54 L,0.00,Small Cap,11.32
Oberoi Realty Ltd.,Residential/commercial/sez project,1.9,15.4,1.90%,0.05%,1.54% (Aug 2018),0% (May 2018),30.37 k,0.00,Mid Cap,70.78
Mahindra & Mahindra Financial Services Ltd.,Nbfc,10.35,15.2,1.88%,0.07%,1.88% (Apr 2019),1.88% (Apr 2019),37.90 k,0.00,Mid Cap,70.78
Mphasis Ltd.,Computers  software,1.8,14.5,1.80%,0.02%,1.8% (Apr 2019),1.8% (Apr 2019),15.00 k,0.00,Mid Cap,70.78
GMR Infrastructure Ltd.,"Engineering, designing, construction",1.78,14.4,1.78%,0.31%,1.64% (Jun 2018),1.64% (Jun 2018),8.65 L,0.00,Mid Cap,70.78
LIC Housing Finance Ltd.,Housing finance,1.78,14.4,1.78%,0.10%,1.59% (Sep 2018),0% (May 2018),28.97 k,0.00,Mid Cap,70.78
Castrol (india) Ltd.,Lubricants,1.7,13.8,1.70%,0.13%,1.65% (Aug 2018),1.65% (Aug 2018),90.35 k,0.00,Mid Cap,70.78
