Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,32.57,1222.5,9.73%,0.17%,8.53% (May 2018),8.53% (May 2018),30.00 L,0.00,Large Cap,65.5
State Bank Of India,Banks,32.57,1177.8,9.38%,0.32%,8.89% (Sep 2018),8.89% (Sep 2018),38.00 L,0.00,Large Cap,65.5
Axis Bank Ltd.,Banks,32.57,843.5,6.72%,0.09%,6.65% (Dec 2018),6.65% (Dec 2018),11.00 L,0.00,Large Cap,65.5
HDFC Bank Ltd.,Banks,32.57,753.2,6.00%,1.38%,6% (Apr 2019),6% (Apr 2019),3.25 L,0.75 L,Large Cap,65.5
Bharti Airtel Ltd.,Telecom  services,8.4,640.6,5.10%,0.20%,5.1% (Apr 2019),5.1% (Apr 2019),20.00 L,0.00,Large Cap,65.5
Indian Oil Corporation Ltd.,Refineries/marketing,9.57,632.2,5.03%,0.16%,4.72% (Jun 2018),4.72% (Jun 2018),40.00 L,0.00,Large Cap,65.5
Bharat Petroleum Corporation Ltd.,Refineries/marketing,9.57,569.8,4.54%,0.11%,3.78% (Oct 2018),3.78% (Oct 2018),15.00 L,1.00 L,Large Cap,65.5
Ultratech Cement Ltd.,Cement,8.53,438.6,3.49%,0.47%,2.76% (Sep 2018),0% (May 2018),95.00 k,0.00,Large Cap,65.5
National Thermal Power Corporation Ltd.,Power,3.2,402.2,3.20%,0.02%,2.89% (Jul 2018),2.89% (Jul 2018),30.00 L,0.00,Large Cap,65.5
KEI Industries Ltd.,Cables  electricals,4.42,367.2,2.92%,0.13%,2.39% (Sep 2018),2.39% (Sep 2018),9.00 L,0.00,Small Cap,18.43
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,2.88,361.7,2.88%,0.12%,1.82% (May 2018),1.82% (May 2018),15.00 L,0.00,Large Cap,65.5
#Associated Cement Companies Ltd.,Cement,8.53,326.4,2.60%,2.60%,2.6% (Apr 2019),0% (May 2018),2.00 L,2.00 L,Mid Cap,7.33
J K Lakshmi Cement Ltd.,Cement,8.53,306.7,2.44%,0.16%,1.27% (Jun 2018),1.27% (Jun 2018),8.25 L,0.00,Small Cap,18.43
