Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Axis Bank Ltd.,Banks,21.16,476.3,7.99%,0.02%,5.45% (Jun 2018),5.45% (Jun 2018),6.21 L,0.00,Large Cap,54.22
ICICI Bank Ltd.,Banks,21.16,460.1,7.72%,0.21%,5.13% (Jun 2018),5.13% (Jun 2018),11.29 L,0.00,Large Cap,54.22
Infosys Ltd.,Computers  software,10.07,359.2,6.03%,0.13%,4.88% (May 2018),4.88% (May 2018),4.78 L,0.00,Large Cap,54.22
Aditya Birla Fashion and Retail Ltd.,Retailing,5.61,334.5,5.61%,0.06%,3.51% (Jul 2018),3.51% (Jul 2018),15.51 L,0.00,Mid Cap,31.6
Torrent Pharmaceuticals Ltd.,Pharmaceuticals,13.87,326.8,5.48%,0.42%,4.26% (May 2018),4.26% (May 2018),1.82 L,0.00,Large Cap,54.22
Crompton Greaves Consumer Electricals Ltd.,Home appliances,5.11,304.3,5.11%,0.28%,4.75% (May 2018),4.75% (May 2018),12.80 L,0.00,Mid Cap,31.6
Mahindra & Mahindra Financial Services Ltd.,Nbfc,5.02,299.2,5.02%,0.20%,5.02% (Apr 2019),5.02% (Apr 2019),7.47 L,0.00,Mid Cap,31.6
Multi Commodity Exchange Of India Ltd.,Other financial services,8.25,297.8,5.00%,0.36%,4.04% (Feb 2019),4.04% (Feb 2019),3.47 L,0.00,Small Cap,5
Cipla Ltd.,Pharmaceuticals,13.87,283.1,4.75%,0.35%,4.2% (May 2018),4.2% (May 2018),5.01 L,0.00,Large Cap,54.22
Indusind Bank Ltd.,Banks,21.16,281.9,4.73%,0.46%,3.14% (Jan 2019),0% (May 2018),1.75 L,0.00,Large Cap,54.22
Container Corporation Of India Ltd.,Logistics solution provider,4.61,274.7,4.61%,0.25%,4.51% (Aug 2018),4.51% (Aug 2018),5.57 L,0.00,Large Cap,54.22
Mindtree Ltd.,Computers  software,10.07,240.9,4.04%,0.19%,3.68% (Dec 2018),3.68% (Dec 2018),2.46 L,0.00,Mid Cap,31.6
Tata Motors Ltd.,Passenger/utility vehicles,3.53,210.5,3.53%,0.69%,2.84% (Mar 2019),2.84% (Mar 2019),9.82 L,0.00,Large Cap,54.22
Motherson Sumi Systems Ltd.,Auto ancillaries,3.48,207.3,3.48%,0.04%,3.48% (Apr 2019),3.48% (Apr 2019),14.15 L,0.00,Large Cap,54.22
Reliance Nippon Life Asset Management Ltd.,Other financial services,8.25,193.8,3.25%,0.16%,1.09% (Jun 2018),0% (May 2018),9.79 L,0.00,Other,6.03
Emami Ltd.,Personal care,3,178.9,3.00%,0.07%,3% (Apr 2019),3% (Apr 2019),4.62 L,0.00,Mid Cap,31.6
Gujarat Gas Ltd.,Gas transmission/marketing,2.78,165.7,2.78%,0.22%,2.21% (Feb 2019),2.21% (Feb 2019),10.41 L,0.00,Other,6.03
Ipca Laboratories Ltd.,Pharmaceuticals,13.87,158.8,2.67%,0.05%,1.85% (May 2018),1.85% (May 2018),1.67 L,0.00,Mid Cap,31.6
Vedanta Ltd.,Copper & copper products,2.6,155.1,2.60%,0.25%,2.6% (Apr 2019),2.6% (Apr 2019),9.29 L,0.00,Large Cap,54.22
Sun TV Network Ltd.,Tv broadcasting & software production,2.28,135.7,2.28%,0.18%,2.28% (Apr 2019),2.28% (Apr 2019),2.36 L,0.00,Mid Cap,31.6
MRF Ltd.,Tyres & allied,2.26,134.5,2.26%,0.19%,2.26% (Apr 2019),2.26% (Apr 2019),2.54 k,0.00,Mid Cap,31.6
Eicher Motors Ltd.,Commercial vehicles,1.74,95.9,1.61%,0.00%,1.35% (Aug 2018),0% (May 2018),4.71 k,0.00,Large Cap,54.22
Apollo Hospitals Enterprises Ltd.,Hospital,1.48,87.9,1.48%,0.01%,1.47% (Feb 2019),1.47% (Mar 2019),72.29 k,0.00,Mid Cap,31.6
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,13.87,57.7,0.97%,0.03%,0.97% (Apr 2019),0% (May 2018),1.26 L,0.00,Large Cap,54.22
Bank Of Baroda,Banks,21.16,42.8,0.72%,0.93%,0.72% (Apr 2019),0.72% (Apr 2019),3.67 L,4.07 L,Large Cap,54.22
Tata Motors Ltd.  A Class,Commercial vehicles,1.74,8,0.13%,0.02%,0.11% (Mar 2019),0.11% (Mar 2019),77.70 k,0.00,Mid Cap,31.6
