Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ICICI Bank Ltd.,Banks,21.45,448.3,8.11%,0.36%,5.01% (May 2018),5.01% (May 2018),11.00 L,0.00,Large Cap,59.99
HDFC Bank Ltd.,Banks,21.45,394,7.13%,0.20%,6.93% (Mar 2019),6.93% (Mar 2019),1.70 L,0.00,Large Cap,59.99
Infosys Ltd.,Computers  software,10.3,368.2,6.66%,0.25%,4.36% (May 2018),4.36% (May 2018),4.90 L,0.00,Large Cap,59.99
Reliance Industries Ltd.,Refineries/marketing,5.43,236.8,4.29%,0.74%,4.29% (Apr 2019),4.29% (Apr 2019),1.70 L,0.40 L,Large Cap,59.99
Grasim Industries Limited,Cement,7.37,225.3,4.08%,0.91%,2.76% (Jan 2019),0% (May 2018),2.50 L,40.00 k,Large Cap,59.99
Tata Motors Ltd.  A Class,Commercial vehicles,3.89,214.8,3.89%,0.73%,1.38% (Nov 2018),1.38% (Nov 2018),21.00 L,0.00,Mid Cap,17.27
Tata Chemicals Ltd.,Chemicals  inorganic,3.86,213.6,3.86%,0.28%,3.86% (Apr 2019),3.86% (Apr 2019),3.70 L,0.30 L,Mid Cap,17.27
HCL Technologies Limited,Computers  software,10.3,201.2,3.64%,0.58%,2.88% (Jan 2019),0% (May 2018),1.70 L,10.00 k,Large Cap,59.99
Coal India Ltd.,Industrial minerals,3.19,176.5,3.19%,1.11%,1.75% (Jul 2018),1.75% (Jul 2018),7.00 L,2.00 L,Large Cap,59.99
Tata Investment Corporation Ltd.,Investment companies,5.46,171.1,3.10%,0.17%,2.93% (Mar 2019),2.93% (Mar 2019),2.00 L,0.00,Small Cap,15.7
Apollo Tyres Limited,Tyres & allied,2.8,154.5,2.80%,0.33%,2.8% (Apr 2019),2.8% (Apr 2019),7.50 L,0.50 L,Mid Cap,17.27
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,2.57,142,2.57%,0.79%,1.23% (Feb 2019),0% (May 2018),2.20 L,70.00 k,Large Cap,59.99
Yes Bank,Banks,21.45,135.9,2.46%,1.45%,2.46% (Apr 2019),2.46% (Apr 2019),8.09 L,0.00,Large Cap,59.99
Equitas Holdings Ltd.,Investment companies,5.46,130.4,2.36%,0.05%,2.14% (Nov 2018),2.14% (Nov 2018),10.00 L,0.00,Small Cap,15.7
J.K. Cement Ltd.,Cement,7.37,126.5,2.29%,0.16%,2.13% (Mar 2019),2.13% (Mar 2019),1.40 L,0.00,Small Cap,15.7
Vedanta Ltd.,Copper & copper products,2.26,125.1,2.26%,0.17%,2.12% (Jun 2018),2.12% (Jun 2018),7.50 L,0.00,Large Cap,59.99
State Bank Of India,Banks,21.45,124,2.24%,0.02%,2.06% (Feb 2019),0% (May 2018),4.00 L,0.00,Large Cap,59.99
Oil & Natural Gas Corporation Ltd.,Oil exploration,2.14,118.4,2.14%,0.62%,1.09% (Nov 2018),1.09% (Nov 2018),7.00 L,1.57 L,Large Cap,59.99
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,5.03,117.4,2.12%,0.17%,1.07% (Jul 2018),0% (May 2018),40.00 k,0.00,Large Cap,59.99
Vardhman Textiles Ltd.,Spinningcotton/blended,2.04,112.7,2.04%,0.13%,1.91% (Mar 2019),1.91% (Mar 2019),1.00 L,0.00,Small Cap,15.7
PNB Housing Finance Ltd.,Housing finance,1.79,99.1,1.79%,0.27%,1.52% (Mar 2019),0% (May 2018),1.40 L,40.00 k,Mid Cap,17.27
Emami Ltd.,Personal care,1.75,96.8,1.75%,0.01%,1.18% (Jan 2019),0% (May 2018),2.50 L,0.00,Mid Cap,17.27
Biocon Ltd.,Pharmaceuticals,5.03,89,1.61%,0.00%,1.61% (Mar 2019),1.61% (Mar 2019),1.50 L,0.00,Large Cap,59.99
Federal Bank Ltd.,Banks,21.45,83.5,1.51%,0.19%,1.51% (Apr 2019),1.51% (Apr 2019),9.00 L,1.00 L,Mid Cap,17.27
Tata Global Beverages Ltd.,Tea &  coffee,1.33,73.2,1.33%,0.08%,1.25% (Mar 2019),0% (May 2018),3.50 L,0.00,Mid Cap,17.27
Cadila Healthcare Ltd.,Pharmaceuticals,5.03,71.6,1.30%,0.38%,0.92% (Mar 2019),0% (May 2018),2.20 L,70.00 k,Large Cap,59.99
Redington (India) Ltd.,Logistics solution provider,1.29,71.2,1.29%,0.15%,1.19% (Jan 2019),1.19% (Jan 2019),7.00 L,1.00 L,Small Cap,15.7
National Thermal Power Corporation Ltd.,Power,1.28,70.8,1.28%,0.03%,1.07% (Jan 2019),0% (May 2018),5.28 L,0.00,Large Cap,59.99
Indian Oil Corporation Ltd.,Refineries/marketing,5.43,63.2,1.14%,0.01%,1.1% (Feb 2019),0% (May 2018),4.00 L,0.00,Large Cap,59.99
Hero Motocorp Ltd.,Motor cycles/scooters,1.14,62.8,1.14%,0.24%,0.5% (Feb 2019),0% (May 2018),25.00 k,5.00 k,Large Cap,59.99
