Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Grindwell Norton Ltd.,Abrasives,3.9,46.1,3.90%,0.24%,2.58% (May 2018),2.58% (May 2018),75.96 k,0.00,Small Cap,94.18
Praj Industries Ltd.,"Engineering, designing, construction",10.94,43.9,3.71%,0.65%,2.04% (Jul 2018),2.04% (Jul 2018),3.21 L,0.27 L,Small Cap,94.18
Navin Flourine International Ltd.,Chemicals  inorganic,3.66,43.2,3.66%,0.03%,3.03% (May 2018),3.03% (May 2018),64.46 k,0.00,Small Cap,94.18
Ashoka Buildcon Ltd.,"Engineering, designing, construction",10.94,34.7,2.93%,0.07%,2.63% (Sep 2018),2.63% (Sep 2018),2.79 L,0.00,Small Cap,94.18
Kalpataru Power Transmission Ltd.,Transmission towers,2.88,34.1,2.88%,0.10%,1.93% (Aug 2018),1.93% (Aug 2018),73.12 k,0.00,Small Cap,94.18
M M Forgings Ltd.,Castings/forgings,2.85,33.7,2.85%,0.15%,2.69% (Mar 2019),2.69% (Mar 2019),61.18 k,0.00,Small Cap,94.18
NCC Ltd.,"Engineering, designing, construction",10.94,30.8,2.60%,0.23%,1.92% (Sep 2018),1.92% (Sep 2018),3.10 L,0.00,Small Cap,94.18
Heidelberg Cement India Ltd.,Cement,6.88,29.7,2.51%,0.12%,2.01% (Oct 2018),0% (May 2018),1.63 L,0.00,Small Cap,94.18
J.K. Cement Ltd.,Cement,6.88,29.4,2.48%,0.21%,1.96% (Dec 2018),0% (May 2018),32.51 k,0.00,Small Cap,94.18
Johnson ControlsHitachi Air Conditioning India Ltd.,Air conditioner,2.34,27.7,2.34%,0.16%,2.21% (Aug 2018),2.21% (Aug 2018),15.03 k,0.00,Small Cap,94.18
Ujjivan Small Finance Bank Ltd.,Banks,3.14,27.6,2.33%,0.05%,1.58% (Oct 2018),1.58% (Oct 2018),84.90 k,0.00,Small Cap,94.18
ISGEC Heavy Engineering Ltd.,Industrial equipment,3.26,25.5,2.16%,0.07%,1.72% (May 2018),1.72% (May 2018),45.52 k,0.00,Other,3.26
Nrb Bearings Ltd.,Bearings,3.39,25.2,2.13%,0.06%,1.53% (May 2018),1.53% (May 2018),1.35 L,0.00,Small Cap,94.18
Subros Ltd.,Auto ancillaries,6.52,25.2,2.13%,0.18%,1.93% (Jan 2019),1.93% (Jan 2019),89.89 k,0.00,Small Cap,94.18
Astra Microwave Products Ltd.,Telecom   equipment,2.06,24.3,2.06%,0.17%,1.83% (Dec 2018),1.83% (Dec 2018),2.78 L,0.00,Small Cap,94.18
Rajapalayam Mills Ltd.,Spinningcotton/blended,2.05,24.3,2.05%,0.17%,1.77% (Dec 2018),1.77% (Dec 2018),28.01 k,0.00,Small Cap,94.18
Ramco Industries Ltd.,Cement products,3.62,24.2,2.04%,0.04%,1.92% (Oct 2018),1.92% (Oct 2018),1.16 L,0.00,Small Cap,94.18
Tube Investments Of India Ltd.,Auto ancillaries,6.52,23,1.94%,0.07%,1.87% (Mar 2019),0% (May 2018),60.44 k,0.00,Small Cap,94.18
KEI Industries Ltd.,Cables  electricals,1.93,22.8,1.93%,0.56%,1.08% (Oct 2018),1.08% (Oct 2018),55.97 k,15.97 k,Small Cap,94.18
India Cements Ltd.,Cement,6.88,22.4,1.89%,0.06%,1.58% (Jan 2019),1.58% (Jan 2019),2.09 L,0.00,Small Cap,94.18
Himatsingka Seide Ltd.,Fabrics and garments,4.13,22.1,1.87%,0.05%,1.56% (Feb 2019),1.56% (Feb 2019),1.03 L,0.00,Small Cap,94.18
Thyrocare Technologies Ltd.,Healthcare service providers,1.76,20.8,1.76%,0.07%,1.42% (May 2018),1.42% (May 2018),42.28 k,0.00,Small Cap,94.18
Navneet Publications (india) Ltd.,Printing and publishing,2.15,20.6,1.74%,0.11%,1.36% (Jul 2018),1.36% (Jul 2018),1.86 L,0.00,Small Cap,94.18
VA Tech Wabag Ltd.,"Engineering, designing, construction",10.94,20.1,1.70%,0.17%,1.54% (Dec 2018),1.54% (Dec 2018),70.35 k,0.00,Small Cap,94.18
Mahindra Holidays & Resorts India Ltd.,Hotels/resorts,2.9,19.9,1.68%,0.05%,1.47% (Nov 2018),1.47% (Nov 2018),84.53 k,0.00,Small Cap,94.18
Heritage Foods (india) Ltd.,Consumer food,1.89,19.7,1.67%,0.00%,1.56% (Feb 2019),1.56% (Feb 2019),37.92 k,0.00,Small Cap,94.18
Rane Holdings Ltd.,Investment companies,1.65,19.5,1.65%,0.10%,1.46% (Jan 2019),1.46% (Jan 2019),16.10 k,0.00,Small Cap,94.18
Tata Elxsi Ltd.,Computers  software,2.61,19.3,1.63%,0.02%,1.62% (Mar 2019),1.62% (Mar 2019),20.78 k,0.00,Small Cap,94.18
Star Cement Ltd.,Cement products,3.62,18.7,1.58%,0.16%,1.39% (Aug 2018),1.39% (Aug 2018),1.79 L,0.00,Small Cap,94.18
Rallis India Ltd.,Pesticides and agrochemicals,1.57,18.6,1.57%,0.09%,1.57% (Apr 2019),1.57% (Apr 2019),1.26 L,0.00,Small Cap,94.18
INOX Leisure Ltd.,"Flim production, distribution & exhibition",1.55,18.3,1.55%,0.01%,0.84% (Jul 2018),0.84% (Jul 2018),58.44 k,0.00,Small Cap,94.18
Brigade Enterprises Ltd.,Residential/commercial/sez project,2.41,18.2,1.54%,0.12%,1.15% (Oct 2018),1.15% (Oct 2018),81.98 k,0.00,Small Cap,94.18
Asian Granito India Ltd.,Sanitary ware,1.36,16.1,1.36%,0.31%,1.18% (Jan 2019),1.18% (Jan 2019),84.22 k,0.00,Small Cap,94.18
