Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

ITC Limited,Cigarettes,11.55,733.8,9.77%,0.14%,5.18% (Jul 2018),0% (May 2018),24.35 L,0.00,Large Cap,63.96
HDFC Bank Ltd.,Banks,19.45,699.9,9.32%,0.00%,6.44% (Aug 2018),0% (May 2018),3.02 L,0.00,Large Cap,63.96
Housing Development Finance Corporation Ltd.,Housing finance,5.31,399,5.31%,0.07%,3.1% (Jul 2018),0% (May 2018),2.00 L,0.00,Large Cap,63.96
Kotak Mahindra Bank Ltd.,Banks,19.45,346.6,4.61%,0.17%,3.96% (Sep 2018),0% (May 2018),2.50 L,0.00,Large Cap,63.96
Larsen & Toubro Ltd.,"Engineering, designing, construction",6.48,323.7,4.31%,0.12%,3.07% (Jul 2018),0% (May 2018),2.40 L,0.00,Large Cap,63.96
Bata India Ltd.,Leather and leather products,4.2,315.5,4.20%,0.10%,2.66% (Jul 2018),0% (May 2018),2.17 L,0.13 L,Mid Cap,23.19
Tech Mahindra Ltd.,Software telecom,3.23,242.5,3.23%,0.44%,3.23% (Apr 2019),0% (May 2018),2.90 L,0.65 L,Large Cap,63.96
Zee Entertainment Enterprises Ltd.,Tv broadcasting & software production,5.08,237.9,3.17%,0.09%,1.82% (Sep 2018),0% (May 2018),5.50 L,0.00,Large Cap,63.96
ICICI Bank Ltd.,Banks,19.45,236.4,3.15%,0.48%,1.98% (Feb 2019),0% (May 2018),5.80 L,80.00 k,Large Cap,63.96
Abbott India Ltd.,Pharmaceuticals,2.96,222.6,2.96%,0.53%,2.15% (Jul 2018),0% (May 2018),30.00 k,5.00 k,Mid Cap,23.19
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,2.92,219.1,2.92%,0.01%,2% (Jul 2018),0% (May 2018),30.10 k,0.00,Large Cap,63.96
Castrol (india) Ltd.,Lubricants,2.8,210.6,2.80%,0.25%,0.25% (Sep 2018),0% (May 2018),13.80 L,0.00,Mid Cap,23.19
United Breweries Ltd.,Brew/distilleries,4.73,198.7,2.64%,0.05%,2.4% (Nov 2018),0% (May 2018),1.40 L,0.00,Large Cap,63.96
Bajaj Finserv Ltd,Nbfc,7.77,191.8,2.55%,0.16%,1.98% (Oct 2018),0% (May 2018),25.50 k,0.00,Large Cap,63.96
MRF Ltd.,Tyres & allied,2.54,190.5,2.54%,0.24%,2.13% (Jul 2018),0% (May 2018),3.60 k,0.00,Mid Cap,23.19
Bandhan Bank Ltd.,Banks,19.45,178.3,2.37%,0.29%,0.76% (Jan 2019),0% (May 2018),2.98 L,0.00,Large Cap,63.96
Power Grid Corporation of India Ltd.,Power transmission,2.18,164,2.18%,0.13%,1.02% (Jul 2018),0% (May 2018),8.80 L,0.00,Large Cap,63.96
Voltas Limited,"Engineering, designing, construction",6.48,162.7,2.17%,0.10%,1.52% (Jul 2018),0% (May 2018),2.70 L,0.00,Mid Cap,23.19
HDFC Standard Life Insurance Company Ltd.,Insurance,3.23,161.8,2.15%,0.39%,1.74% (Feb 2019),0% (May 2018),4.00 L,50.00 k,Large Cap,63.96
United Spirits Ltd.,Brew/distilleries,4.73,157.1,2.09%,0.03%,2.01% (Feb 2019),0% (May 2018),2.80 L,0.00,Large Cap,63.96
CreditAccess Grameen Ltd.,Nbfc,7.77,151.4,2.02%,0.63%,1.6% (Sep 2018),0% (May 2018),2.90 L,1.04 L,Small Cap,10.18
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.93,145.2,1.93%,0.00%,1.93% (Mar 2019),0% (May 2018),2.25 L,10.00 k,Large Cap,63.96
Sun TV Network Ltd.,Tv broadcasting & software production,5.08,143.6,1.91%,0.18%,1.88% (Nov 2018),0% (May 2018),2.50 L,0.00,Mid Cap,23.19
Max Financial Services Ltd.,Nbfc,7.77,143.3,1.91%,0.46%,1.91% (Apr 2019),0% (May 2018),3.43 L,0.65 L,Mid Cap,23.19
Vst Industries Ltd.,Cigarettes,11.55,133.6,1.78%,0.01%,1.77% (Feb 2019),0% (May 2018),39.00 k,0.00,Small Cap,10.18
Greenply Industries Ltd.,Plywood boards,1.78,133.4,1.78%,0.12%,1.07% (Jul 2018),0% (May 2018),7.95 L,0.00,Small Cap,10.18
Future Retail Ltd.,Retailing,3.41,128.2,1.71%,0.14%,1.71% (Apr 2019),0% (May 2018),3.05 L,0.00,Mid Cap,23.19
Future Consumer Ltd.,Retailing,3.41,127.8,1.70%,0.08%,1.62% (Sep 2018),0% (May 2018),29.90 L,0.00,Mid Cap,23.19
#Hyderabad Industries Ltd.,Cement products,1.43,107.1,1.43%,1.43%,1.43% (Apr 2019),0% (May 2018),58.00 k,58.00 k,Small Cap,10.18
Sundaram Finance Limited,Nbfc,7.77,96.8,1.29%,0.10%,1% (Jan 2019),0% (May 2018),67.00 k,0.00,Mid Cap,23.19
Oracle Financial Services Software Limited,It enabled services – software,1.18,88.7,1.18%,0.04%,1.14% (Mar 2019),0% (May 2018),25.20 k,0.00,Large Cap,63.96
ICICI Securities Ltd.,Stockbroking and allied,1.15,86.4,1.15%,0.11%,1.11% (Feb 2019),0% (May 2018),3.90 L,0.00,Small Cap,10.18
ICICI Prudential Life Insurance Co Ltd.,Insurance,3.23,81.3,1.08%,0.06%,0.9% (Jan 2019),0% (May 2018),2.20 L,0.00,Large Cap,63.96
#Greaves Cotton Ltd.,Diesel engines,1.02,76.7,1.02%,1.02%,1.02% (Apr 2019),0% (May 2018),5.20 L,5.20 L,Small Cap,10.18
