Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Blue Star Ltd.,Air conditioner,5.69,47.9,4.30%,0.15%,3.83% (May 2018),3.83% (May 2018),70.82 k,0.00,Small Cap,97.68
Grindwell Norton Ltd.,Abrasives,4.25,47.4,4.25%,0.23%,3% (May 2018),3% (May 2018),78.05 k,0.00,Small Cap,97.68
KEI Industries Ltd.,Cables  electricals,4.22,47,4.22%,0.02%,3.47% (Oct 2018),3.47% (Oct 2018),1.15 L,0.00,Small Cap,97.68
Kalpataru Power Transmission Ltd.,Transmission towers,4.08,45.4,4.08%,0.11%,3.47% (Jan 2019),3.47% (Jan 2019),97.53 k,0.00,Small Cap,97.68
VGuard Industries Ltd.,Industrial electronics,4.07,45.3,4.07%,0.07%,3.44% (Jun 2018),3.44% (Jun 2018),2.08 L,0.00,Small Cap,97.68
Navin Flourine International Ltd.,Chemicals  inorganic,3.64,40.6,3.64%,0.06%,3.21% (Jun 2018),3.21% (Jun 2018),60.50 k,0.00,Small Cap,97.68
Praj Industries Ltd.,"Engineering, designing, construction",9.18,38.5,3.45%,0.32%,2.16% (Jul 2018),2.16% (Jul 2018),2.81 L,0.00,Small Cap,97.68
Healthcare Global Enterprises Ltd.,Hospital,3.01,33.5,3.01%,0.22%,3.01% (Apr 2019),3.01% (Apr 2019),1.70 L,0.00,Small Cap,97.68
Ashoka Buildcon Ltd.,"Engineering, designing, construction",9.18,31.3,2.81%,0.05%,2.56% (Sep 2018),2.56% (Sep 2018),2.52 L,0.00,Small Cap,97.68
Heidelberg Cement India Ltd.,Cement,7.63,30.8,2.77%,0.12%,1.17% (Jun 2018),1.17% (Jun 2018),1.69 L,0.00,Small Cap,97.68
Astra Microwave Products Ltd.,Telecom   equipment,2.7,30.1,2.70%,0.24%,2.45% (Dec 2018),2.45% (Dec 2018),3.44 L,0.00,Small Cap,97.68
PVR Ltd.,"Flim production, distribution & exhibition",4.16,29.6,2.66%,0.28%,1.67% (Jul 2018),1.67% (Jul 2018),16.74 k,0.00,Small Cap,97.68
M M Forgings Ltd.,Castings/forgings,2.64,29.4,2.64%,0.13%,2.51% (Mar 2019),2.51% (Mar 2019),53.40 k,0.00,Small Cap,97.68
J.K. Cement Ltd.,Cement,7.63,27.2,2.45%,0.19%,1.69% (May 2018),1.69% (May 2018),30.16 k,0.00,Small Cap,97.68
Ujjivan Small Finance Bank Ltd.,Banks,4.02,27,2.42%,0.07%,1.7% (Nov 2018),1.7% (Nov 2018),83.12 k,0.00,Small Cap,97.68
India Cements Ltd.,Cement,7.63,26.8,2.41%,0.06%,2.04% (Jan 2019),2.04% (Jan 2019),2.51 L,0.00,Small Cap,97.68
NCC Ltd.,"Engineering, designing, construction",9.18,25.9,2.32%,0.22%,1.82% (Sep 2018),1.82% (Sep 2018),2.61 L,0.00,Small Cap,97.68
Nrb Bearings Ltd.,Bearings,3.43,24.3,2.18%,0.05%,1.66% (May 2018),1.66% (May 2018),1.30 L,0.00,Small Cap,97.68
I T D Cementation India Ltd.,Construction civil,4.58,24.2,2.17%,0.06%,1.41% (Nov 2018),1.41% (Nov 2018),1.96 L,0.00,Small Cap,97.68
Himatsingka Seide Ltd.,Fabrics and garments,2.81,23.3,2.09%,0.04%,1.77% (Feb 2019),1.77% (Feb 2019),1.09 L,0.00,Small Cap,97.68
Kennametal India Ltd.,Industrial equipment,2.07,23.1,2.07%,0.29%,1.22% (May 2018),1.22% (May 2018),19.18 k,0.00,Small Cap,97.68
Subros Ltd.,Auto ancillaries,2.01,22.4,2.01%,0.16%,1.85% (Mar 2019),1.85% (Mar 2019),80.00 k,0.00,Small Cap,97.68
PNC Infratech Ltd.,Construction civil,4.58,21.8,1.95%,0.05%,1.79% (Jun 2018),1.79% (Jun 2018),1.44 L,0.00,Small Cap,97.68
Ador Welding Ltd.,Electrodes,1.86,20.8,1.86%,0.03%,1.64% (Jun 2018),1.64% (Jun 2018),63.75 k,0.00,Small Cap,97.68
Rane Holdings Ltd.,Investment companies,1.85,20.6,1.85%,0.10%,1.67% (Jan 2019),1.67% (Jan 2019),17.00 k,0.00,Small Cap,97.68
Heritage Foods (india) Ltd.,Consumer food,1.75,19.4,1.75%,0.01%,1.66% (Feb 2019),1.66% (Feb 2019),37.40 k,0.00,Small Cap,97.68
Thyrocare Technologies Ltd.,Healthcare service providers,1.62,18,1.62%,0.07%,1.62% (Apr 2019),1.62% (Apr 2019),36.59 k,0.00,Small Cap,97.68
DCB Bank Ltd.,Banks,4.02,17.8,1.60%,0.12%,0.81% (Jul 2018),0.81% (Jul 2018),83.72 k,0.00,Small Cap,97.68
Century Plyboards India Ltd.,Plywood boards,1.56,17.3,1.56%,0.24%,1.56% (Apr 2019),1.56% (Apr 2019),1.00 L,0.00,Small Cap,97.68
INOX Leisure Ltd.,"Flim production, distribution & exhibition",4.16,16.8,1.50%,0.02%,0.87% (Jul 2018),0.87% (Jul 2018),53.41 k,0.00,Small Cap,97.68
Johnson ControlsHitachi Air Conditioning India Ltd.,Air conditioner,5.69,15.5,1.39%,0.10%,1.39% (Feb 2019),1.39% (Feb 2019),8.40 k,0.00,Small Cap,97.68
Navneet Publications (india) Ltd.,Printing and publishing,1.78,15.2,1.37%,0.08%,0.94% (Jul 2018),0.94% (Jul 2018),1.37 L,0.00,Small Cap,97.68
PTC India Ltd.,Power trading,1.35,15.1,1.35%,0.02%,1.35% (Apr 2019),1.35% (Apr 2019),2.17 L,0.00,Small Cap,97.68
WPIL Ltd.,Compressors / pumps,2.57,14.9,1.33%,0.03%,1.17% (Jun 2018),1.17% (Jun 2018),18.19 k,0.00,Small Cap,97.68
Indostar Capital Finance Private Ltd.,Nbfc,1.27,14.2,1.27%,0.01%,1.05% (Oct 2018),1.05% (Oct 2018),35.54 k,0.00,Small Cap,97.68
Timken India Ltd.,Bearings,3.43,13.9,1.25%,0.03%,1.17% (Nov 2018),1.17% (Nov 2018),25.29 k,0.00,Small Cap,97.68
Ksb Pumps Ltd.,Compressors / pumps,2.57,13.8,1.24%,0.01%,1.1% (May 2018),1.1% (May 2018),20.63 k,0.00,Small Cap,97.68
Premier Explosives Ltd.,Explosives,1.17,13,1.17%,0.07%,0.8% (Jun 2018),0.8% (Jun 2018),57.50 k,0.00,Small Cap,97.68
Cyient Ltd.,It enabled services – software,0.97,10.9,0.97%,0.22%,0.97% (Apr 2019),0.97% (Apr 2019),18.42 k,2.94 k,Small Cap,97.68
Take Solutions Ltd.,Computers  software,0.93,10.4,0.93%,0.02%,0.7% (Nov 2018),0.7% (Nov 2018),70.59 k,0.00,Small Cap,97.68
Redington (India) Ltd.,Logistics solution provider,0.89,9.9,0.89%,0.03%,0.69% (Jan 2019),0% (May 2018),97.41 k,0.00,Small Cap,97.68
Salzer Electronics Ltd.,Consumer elctronics,0.88,9.8,0.88%,0.06%,0.82% (Mar 2019),0.82% (Mar 2019),81.07 k,0.00,Small Cap,97.68
