Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,20.36,866.7,8.08%,0.13%,4.04% (Aug 2018),4.04% (Aug 2018),3.74 L,10.00 k,Large Cap,60.79
ITC Limited,Cigarettes,6.56,703.7,6.56%,0.02%,1.56% (May 2018),1.56% (May 2018),23.35 L,0.00,Large Cap,60.79
ICICI Bank Ltd.,Banks,20.36,563.1,5.25%,0.79%,2.98% (Dec 2018),0% (May 2018),13.82 L,2.00 L,Large Cap,60.79
Kotak Mahindra Bank Ltd.,Banks,20.36,399.4,3.73%,0.10%,3.36% (Jul 2018),3.36% (Jul 2018),2.88 L,0.00,Large Cap,60.79
Reliance Industries Ltd.,Refineries/marketing,3.57,383,3.57%,0.75%,2.12% (May 2018),2.12% (May 2018),2.75 L,55.00 k,Large Cap,60.79
Housing Development Finance Corporation Ltd.,Housing finance,3.34,358.1,3.34%,0.20%,3.08% (Aug 2018),3.08% (Aug 2018),1.80 L,10.00 k,Large Cap,60.79
Larsen & Toubro Ltd.,"Engineering, designing, construction",4.58,350.6,3.27%,0.12%,3.09% (Jul 2018),3.09% (Jul 2018),2.60 L,0.00,Large Cap,60.79
Hindustan Unilever Ltd.,Diversified,2.55,273.7,2.55%,0.05%,2.5% (Mar 2019),2.5% (Mar 2019),1.56 L,0.00,Large Cap,60.79
Bata India Ltd.,Leather and leather products,2.53,271.5,2.53%,0.06%,2.12% (May 2018),2.12% (May 2018),1.87 L,0.00,Mid Cap,16.73
Container Corporation Of India Ltd.,Logistics solution provider,2.39,256.5,2.39%,0.18%,0.91% (Aug 2018),0% (May 2018),5.20 L,0.00,Large Cap,60.79
Bajaj Finance Ltd.,Nbfc,6.92,241.2,2.25%,0.03%,1.6% (Sep 2018),1.6% (Sep 2018),77.90 k,0.00,Large Cap,60.79
Cummins India Ltd.,Diesel engines,2.24,239.8,2.24%,0.08%,1.65% (Jan 2019),0% (May 2018),3.30 L,0.00,Mid Cap,16.73
Sun TV Network Ltd.,Tv broadcasting & software production,3.59,203.9,1.90%,0.20%,0.92% (Jan 2019),0.92% (Jan 2019),3.55 L,0.00,Mid Cap,16.73
Axis Bank Ltd.,Banks,20.36,199.4,1.86%,0.04%,1.86% (Apr 2019),0% (May 2018),2.60 L,0.00,Large Cap,60.79
Bajaj Finserv Ltd,Nbfc,6.92,197.8,1.84%,0.10%,1.45% (Oct 2018),1.45% (Oct 2018),26.30 k,0.00,Large Cap,60.79
Power Grid Corporation of India Ltd.,Power transmission,1.78,191.1,1.78%,0.13%,1.78% (Apr 2019),1.78% (Apr 2019),10.25 L,0.00,Large Cap,60.79
Ipca Laboratories Ltd.,Pharmaceuticals,2.57,182.9,1.71%,0.47%,0.77% (Sep 2018),0% (May 2018),1.92 L,0.44 L,Mid Cap,16.73
Zee Entertainment Enterprises Ltd.,Tv broadcasting & software production,3.59,181.7,1.69%,0.07%,1.05% (Sep 2018),0% (May 2018),4.20 L,0.00,Large Cap,60.79
Bajaj Auto Ltd.,Motor cycles/scooters,1.62,173.7,1.62%,0.02%,1.4% (Aug 2018),1.4% (Aug 2018),58.20 k,0.00,Large Cap,60.79
Jubilant Foodworks Ltd.,Consumer food,5.54,172.7,1.61%,0.16%,1.3% (Feb 2019),1.3% (Feb 2019),1.30 L,0.00,Mid Cap,16.73
Nestle India Ltd.,Consumer food,5.54,171.2,1.60%,0.02%,1.6% (Apr 2019),1.6% (Apr 2019),15.70 k,0.00,Large Cap,60.79
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,5.54,161.6,1.51%,0.01%,1.51% (Apr 2019),0% (May 2018),22.20 k,0.00,Large Cap,60.79
Muthoot Finance Pvt. Ltd.,Nbfc,6.92,156.2,1.46%,0.06%,0.76% (Aug 2018),0.76% (Aug 2018),2.62 L,0.00,Mid Cap,16.73
Bandhan Bank Ltd.,Banks,20.36,154.8,1.44%,0.16%,1.28% (Mar 2019),0% (May 2018),2.58 L,0.00,Large Cap,60.79
Future Consumer Ltd.,Retailing,2.6,150.5,1.40%,0.08%,1.15% (Sep 2018),1.15% (Sep 2018),35.20 L,0.00,Mid Cap,16.73
Max Financial Services Ltd.,Nbfc,6.92,146.5,1.37%,0.07%,1.37% (Apr 2019),1.37% (Apr 2019),3.51 L,0.00,Mid Cap,16.73
Havells India Ltd.,Consumer elctronics,1.37,146.4,1.37%,0.01%,1.14% (Sep 2018),1.14% (Sep 2018),1.89 L,0.00,Large Cap,60.79
Voltas Limited,"Engineering, designing, construction",4.58,140.1,1.31%,0.07%,0.97% (Jan 2019),0.97% (Jan 2019),2.33 L,0.00,Mid Cap,16.73
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,1.27,136.7,1.27%,0.07%,0.74% (Nov 2018),0.74% (Nov 2018),5.67 L,0.00,Large Cap,60.79
ICICI Prudential Life Insurance Co Ltd.,Insurance,2.12,136.3,1.27%,0.05%,1.1% (Jan 2019),1.1% (Jan 2019),3.69 L,0.00,Large Cap,60.79
Ceat Ltd.,Tyres & allied,1.26,135.3,1.26%,0.09%,0.96% (Aug 2018),0.96% (Aug 2018),1.28 L,0.00,Small Cap,5.07
Future Retail Ltd.,Retailing,2.6,128.8,1.20%,0.11%,1.2% (Apr 2019),1.2% (Apr 2019),3.07 L,0.00,Mid Cap,16.73
Greenply Industries Ltd.,Plywood boards,1.13,120.9,1.13%,0.07%,0.89% (Jul 2018),0% (May 2018),7.20 L,0.00,Small Cap,5.07
Radico Khaitan Ltd.,Brew/distilleries,1.11,118.6,1.11%,0.14%,1.11% (Apr 2019),1.11% (Apr 2019),3.35 L,0.00,Small Cap,5.07
#Divis Laboratories Ltd.,Pharmaceuticals,2.57,92.6,0.86%,0.86%,0.86% (Apr 2019),0% (May 2018),53.00 k,53.00 k,Large Cap,60.79
ICICI Lombard General Insurance Co Ltd.,Insurance,2.12,90.8,0.85%,0.53%,0.85% (Apr 2019),0% (May 2018),83.00 k,0.58 L,Large Cap,60.79
#Mahindra & Mahindra Ltd.,Passenger/utility vehicles,0.84,90.3,0.84%,0.84%,0.84% (Apr 2019),0% (May 2018),1.40 L,1.40 L,Large Cap,60.79
Heritage Foods (india) Ltd.,Consumer food,5.54,87.5,0.82%,0.05%,0.68% (Sep 2018),0.68% (Sep 2018),1.68 L,0.00,Small Cap,5.07
Finolex Cables Ltd.,Cables  electricals,0.75,80.9,0.75%,0.07%,0.75% (Apr 2019),0.75% (Apr 2019),1.84 L,0.00,Small Cap,5.07
Nilkamal Ltd.,Plastic products,,60.8,0.00%,0.57%,,,,,Small Cap,5.07
Engineers India Ltd.,"Engineering, designing, construction",4.58,57.8,0.00%,0.55%,,,,,Small Cap,5.07
