Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Dr. Reddys Laboratories Ltd.,Pharmaceuticals,87.13,218.6,12.15%,0.61%,6.56% (Sep 2018),0% (May 2018),74.50 k,0.00,Large Cap,51.71
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,87.13,213.3,11.86%,4.09%,5.93% (Jan 2019),5.93% (Jan 2019),4.66 L,1.75 L,Large Cap,51.71
Lupin Ltd.,Pharmaceuticals,87.13,188.4,10.47%,7.63%,1.98% (Feb 2019),1.98% (Feb 2019),2.16 L,1.47 L,Large Cap,51.71
Divis Laboratories Ltd.,Pharmaceuticals,87.13,175.2,9.74%,0.25%,4.69% (May 2018),4.69% (May 2018),1.00 L,5.00 k,Large Cap,51.71
Ipca Laboratories Ltd.,Pharmaceuticals,87.13,174.3,9.69%,0.48%,7.7% (Sep 2018),7.7% (Sep 2018),1.83 L,3.04 k,Mid Cap,34.41
Abbott India Ltd.,Pharmaceuticals,87.13,109.1,6.06%,0.08%,4.53% (May 2018),4.53% (May 2018),14.70 k,0.00,Mid Cap,34.41
Merck Ltd.,Pharmaceuticals,87.13,96.7,5.37%,1.78%,2.73% (Jul 2018),0% (May 2018),26.00 k,8.80 k,Small Cap,11.24
Aurobindo Pharma Ltd.,Pharmaceuticals,87.13,86,4.78%,0.19%,3.08% (Jul 2018),3.08% (Jul 2018),1.05 L,0.00,Large Cap,51.71
Alembic Pharmaceuticals Ltd.,Pharmaceuticals,87.13,85.8,4.77%,0.16%,3.97% (May 2018),3.97% (May 2018),1.54 L,0.00,Mid Cap,34.41
Apollo Hospitals Enterprises Ltd.,Hospital,10.23,73.4,4.08%,0.04%,2.28% (Sep 2018),2.28% (Sep 2018),60.30 k,0.00,Mid Cap,34.41
Sanofi India Ltd.,Pharmaceuticals,87.13,70.1,3.90%,0.17%,3.9% (Apr 2019),3.9% (Apr 2019),12.50 k,0.00,Mid Cap,34.41
Alkem Laboratories Ltd.,Hospital,10.23,63.4,3.52%,2.32%,1.44% (Jun 2018),1.44% (Jun 2018),36.90 k,0.23 L,Mid Cap,34.41
Dishman Carbogen Amcis Ltd.,Pharmaceuticals,87.13,58.3,3.24%,0.24%,2.78% (Feb 2019),2.78% (Feb 2019),2.59 L,0.00,Small Cap,11.24
Cadila Healthcare Ltd.,Pharmaceuticals,87.13,48.8,2.71%,0.19%,2.65% (Jan 2019),2.65% (Jan 2019),1.50 L,0.00,Large Cap,51.71
Healthcare Global Enterprises Ltd.,Hospital,10.23,47.3,2.63%,0.31%,1.51% (Dec 2018),0% (May 2018),2.40 L,0.00,Small Cap,11.24
Syngene International Ltd.,Pharmaceuticals,87.13,43,2.39%,5.01%,2.39% (Apr 2019),2.39% (Apr 2019),70.00 k,1.53 L,Mid Cap,34.41
