Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,24.78,4414.7,9.37%,0.01%,7.99% (May 2018),7.99% (May 2018),19.05 L,0.20 L,Large Cap,60.72
Reliance Industries Ltd.,Refineries/marketing,5.43,2555.8,5.43%,0.18%,3.96% (May 2018),3.96% (May 2018),18.35 L,0.00,Large Cap,60.72
ICICI Bank Ltd.,Banks,24.78,2459.7,5.22%,0.15%,2.67% (Jun 2018),2.67% (Jun 2018),60.36 L,0.00,Large Cap,60.72
Tata Consultancy Services Ltd.,Computers  software,7.93,2384.7,5.06%,0.23%,0.98% (May 2018),0.98% (May 2018),10.55 L,0.95 L,Large Cap,60.72
State Bank Of India,Banks,24.78,2361.8,5.01%,0.11%,1.26% (May 2018),1.26% (May 2018),76.20 L,0.00,Large Cap,60.72
ITC Limited,Cigarettes,3.86,1819.4,3.86%,0.10%,3.07% (May 2018),3.07% (May 2018),60.38 L,0.00,Large Cap,60.72
Bajaj Auto Ltd.,Motor cycles/scooters,3.25,1530.8,3.25%,0.12%,0.38% (May 2018),0.38% (May 2018),5.13 L,0.00,Large Cap,60.72
Infosys Ltd.,Computers  software,7.93,1352.4,2.87%,0.06%,2.07% (May 2018),2.07% (May 2018),18.00 L,0.00,Large Cap,60.72
Kotak Mahindra Bank Ltd.,Banks,24.78,1317.2,2.80%,0.14%,2.45% (Sep 2018),2.45% (Sep 2018),9.50 L,0.00,Large Cap,60.72
United Spirits Ltd.,Brew/distilleries,2.65,1248.5,2.65%,0.07%,1.03% (May 2018),1.03% (May 2018),22.25 L,0.00,Large Cap,60.72
Federal Bank Ltd.,Banks,24.78,1121,2.38%,0.06%,1.74% (Jun 2018),0% (May 2018),1.21 Cr,0.00,Mid Cap,8.83
Larsen & Toubro Ltd.,"Engineering, designing, construction",2.38,1119.3,2.38%,0.04%,2.38% (Apr 2019),2.38% (Apr 2019),8.30 L,0.00,Large Cap,60.72
Housing Development Finance Corporation Ltd.,Housing finance,2.19,1032.7,2.19%,0.06%,1.77% (May 2018),1.77% (May 2018),5.18 L,0.00,Large Cap,60.72
Dishman Carbogen Amcis Ltd.,Pharmaceuticals,2.16,1016.5,2.16%,0.19%,0.66% (Jun 2018),0.66% (Jun 2018),45.15 L,0.00,Small Cap,5.75
Maruti Suzuki India Ltd.,Passenger/utility vehicles,3.28,966.6,2.05%,0.47%,1.6% (May 2018),1.6% (May 2018),1.45 L,0.35 L,Large Cap,60.72
Ultratech Cement Ltd.,Cement,1.96,923.4,1.96%,0.14%,1.05% (May 2018),1.05% (May 2018),2.00 L,0.50 L,Large Cap,60.72
Hindustan Unilever Ltd.,Diversified,1.87,878.9,1.87%,0.28%,1.87% (Apr 2019),1.87% (Apr 2019),5.00 L,1.00 L,Large Cap,60.72
Gujarat State Petronet Ltd.,Gas transmission/marketing,1.7,803.1,1.70%,0.10%,0.98% (Jun 2018),0% (May 2018),40.17 L,0.00,Mid Cap,8.83
Kalpataru Power Transmission Ltd.,Transmission towers,1.64,773.3,1.64%,0.00%,0.19% (Jul 2018),0% (May 2018),16.60 L,0.00,Small Cap,5.75
Muthoot Finance Pvt. Ltd.,Nbfc,1.39,656.7,1.39%,0.03%,0.87% (May 2018),0.87% (May 2018),11.00 L,0.00,Mid Cap,8.83
Bosch Ltd.,Auto ancillaries,1.65,648.7,1.38%,0.11%,0.13% (Aug 2018),0% (May 2018),36.00 k,3.11 k,Large Cap,60.72
BASF India Ltd.,Chemicals  speciality,1.24,582.8,1.24%,0.09%,1.2% (Jul 2018),0% (May 2018),4.27 L,0.00,Small Cap,5.75
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,3.28,580.8,1.23%,0.04%,1.23% (Apr 2019),1.23% (Apr 2019),9.00 L,0.00,Large Cap,60.72
Indian Hotels Company Limited,Hotels/resorts,1.21,571.1,1.21%,0.01%,1.09% (Jul 2018),1.09% (Jul 2018),37.00 L,0.00,Mid Cap,8.83
Varun Beverages Ltd.,Consumer food,1.08,510.5,1.08%,0.02%,0.15% (Feb 2019),0% (May 2018),5.83 L,0.00,Mid Cap,8.83
Oracle Financial Services Software Limited,It enabled services – software,0.95,447,0.95%,0.05%,0.9% (Nov 2018),0.9% (Nov 2018),1.27 L,0.00,Large Cap,60.72
DLF Ltd.,Residential/commercial/sez project,0.92,431.9,0.92%,0.04%,0.92% (Apr 2019),0% (May 2018),25.00 L,0.00,Large Cap,60.72
Schaeffler India Ltd.,Bearings,0.8,377.4,0.80%,0.01%,0.7% (May 2018),0.7% (May 2018),70.00 k,0.00,Mid Cap,8.83
Finolex Industries Ltd.,Plastic products,0.71,334.9,0.71%,0.03%,0.71% (Apr 2019),0% (May 2018),7.22 L,0.00,Small Cap,5.75
WABCO India Ltd.,Auto ancillaries,1.65,125.8,0.27%,0.22%,0.27% (Apr 2019),0.27% (Apr 2019),20.10 k,0.15 L,Mid Cap,8.83
General Insurance Corporation of India,Insurance,0.27,124.9,0.27%,0.00%,0.25% (Feb 2019),0% (May 2018),5.20 L,0.00,Large Cap,60.72
Bond  Magma Fincorp Ltd.,Nbfc,1.39,14.9,0.00%,0.03%,,,,,Other,0
