Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,33.57,698.5,11.42%,0.14%,9.45% (Aug 2018),9.45% (Aug 2018),3.01 L,0.00,Large Cap,78.84
Axis Bank Ltd.,Banks,33.57,432.4,7.07%,0.00%,4.91% (Jun 2018),4.91% (Jun 2018),5.64 L,0.00,Large Cap,78.84
Grasim Industries Limited,Cement,7.67,345.5,5.65%,0.34%,2.99% (Oct 2018),2.99% (Oct 2018),3.83 L,0.00,Large Cap,78.84
Infosys Ltd.,Computers  software,7.2,304.7,4.98%,0.11%,4.36% (May 2018),4.36% (May 2018),4.05 L,0.00,Large Cap,78.84
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,6.78,288.3,4.72%,0.31%,2.93% (May 2018),2.93% (May 2018),98.28 k,0.00,Large Cap,78.84
State Bank Of India,Banks,33.57,279.8,4.58%,0.09%,3.74% (Jun 2018),3.74% (Jun 2018),9.03 L,0.00,Large Cap,78.84
Kotak Mahindra Bank Ltd.,Banks,33.57,274.1,4.48%,0.22%,3.8% (Sep 2018),3.8% (Sep 2018),1.98 L,0.00,Large Cap,78.84
ICICI Bank Ltd.,Banks,33.57,262.2,4.29%,0.13%,2.83% (May 2018),2.83% (May 2018),6.44 L,0.00,Large Cap,78.84
Info Edge (India) Ltd.,It enabled services – software,4,244.7,4.00%,0.24%,2.4% (Jun 2018),2.4% (Jun 2018),1.27 L,0.00,Mid Cap,6.1
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,5.32,221.5,3.62%,0.11%,3.62% (Apr 2019),3.62% (Apr 2019),3.43 L,0.00,Large Cap,78.84
Bharat Petroleum Corporation Ltd.,Refineries/marketing,7.4,172.7,2.83%,0.09%,2.2% (Oct 2018),2.2% (Oct 2018),4.55 L,0.00,Large Cap,78.84
Equitas Holdings Ltd.,Investment companies,3.81,162.6,2.66%,0.09%,2.31% (Nov 2018),2.31% (Nov 2018),12.47 L,0.00,Small Cap,12.12
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,7.4,160.6,2.63%,0.10%,2.13% (Aug 2018),2.13% (Aug 2018),5.51 L,0.00,Large Cap,78.84
Larsen & Toubro Ltd.,"Engineering, designing, construction",5.14,157.1,2.57%,0.03%,2.37% (Jul 2018),2.37% (Jul 2018),1.16 L,0.00,Large Cap,78.84
GlaxoSmithKline Consumer Healthcare Ltd.,Consumer food,2.57,157.1,2.57%,0.05%,2.52% (Mar 2019),2.52% (Mar 2019),21.58 k,0.00,Large Cap,78.84
Ashoka Buildcon Ltd.,"Engineering, designing, construction",5.14,156.8,2.57%,0.02%,2.22% (Sep 2018),2.22% (Sep 2018),12.63 L,0.00,Small Cap,12.12
Tata Steel Ltd.,Steel,2.54,155,2.54%,0.20%,2.13% (Aug 2018),0% (May 2018),2.78 L,0.00,Large Cap,78.84
Asian Paints (india) Ltd.,Paints,2.43,148.4,2.43%,0.01%,2.03% (May 2018),2.03% (May 2018),1.01 L,0.00,Large Cap,78.84
Bajaj Auto Ltd.,Motor cycles/scooters,2.24,136.8,2.24%,0.09%,1.91% (Aug 2018),1.91% (Aug 2018),45.85 k,0.00,Large Cap,78.84
HCL Technologies Limited,Computers  software,7.2,135.9,2.22%,0.20%,1.65% (May 2018),1.65% (May 2018),1.15 L,0.00,Large Cap,78.84
