Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Larsen & Toubro Ltd.,"Engineering, designing, construction",23.56,581.9,10.64%,0.06%,5.42% (May 2018),5.42% (May 2018),4.32 L,0.00,Large Cap,47.63
ICICI Bank Ltd.,Banks,8.72,476.8,8.72%,0.33%,5.33% (May 2018),5.33% (May 2018),11.70 L,0.00,Large Cap,47.63
Astral Poly Technik Ltd.,Plastic products,6.08,332.8,6.08%,0.47%,4.43% (May 2018),4.43% (May 2018),2.70 L,0.00,Mid Cap,26.58
Shree Cement Ltd.,Cement,7.9,267.2,4.88%,0.37%,3.62% (May 2018),3.62% (May 2018),13.50 k,0.00,Large Cap,47.63
KNR Constructions,Construction civil,6.21,265.5,4.85%,0.32%,3.72% (Sep 2018),3.72% (Sep 2018),11.06 L,0.00,Small Cap,22.13
Oil & Natural Gas Corporation Ltd.,Oil exploration,4.33,236.9,4.33%,0.33%,3.69% (Nov 2018),0% (May 2018),14.00 L,0.00,Large Cap,47.63
Sadbhav Engineering Ltd.,"Engineering, designing, construction",23.56,230.4,4.21%,0.11%,3.68% (Feb 2019),3.68% (Feb 2019),9.72 L,0.00,Small Cap,22.13
Power Grid Corporation of India Ltd.,Power transmission,4.2,229.8,4.20%,0.16%,3.85% (Jul 2018),3.85% (Jul 2018),12.33 L,0.00,Large Cap,47.63
Voltas Limited,"Engineering, designing, construction",23.56,210.9,3.86%,0.09%,3.18% (Jun 2018),0% (May 2018),3.50 L,0.00,Mid Cap,26.58
AIA Engineering Ltd.,Castings/forgings,3.43,187.6,3.43%,0.11%,2.56% (May 2018),2.56% (May 2018),1.03 L,0.00,Mid Cap,26.58
NCC Ltd.,"Engineering, designing, construction",23.56,174.1,3.18%,0.36%,2.42% (Sep 2018),2.42% (Sep 2018),17.55 L,0.00,Small Cap,22.13
Ultratech Cement Ltd.,Cement,7.9,165.3,3.02%,0.46%,2.13% (May 2018),2.13% (May 2018),35.80 k,0.00,Large Cap,47.63
Adani Ports And Special Economic Zone Ltd.,Port,2.82,154.2,2.82%,0.16%,1.57% (Jun 2018),0% (May 2018),3.93 L,0.00,Large Cap,47.63
Siemens Ltd.,Power equipment,2.57,140.7,2.57%,0.15%,1.07% (Nov 2018),0% (May 2018),1.20 L,0.00,Large Cap,47.63
Grindwell Norton Ltd.,Abrasives,2.22,121.4,2.22%,0.09%,1.59% (May 2018),1.59% (May 2018),2.00 L,0.00,Small Cap,22.13
Gujarat State Petronet Ltd.,Gas transmission/marketing,2.19,119.9,2.19%,0.15%,2.05% (Mar 2019),2.05% (Mar 2019),6.00 L,0.00,Mid Cap,26.58
Asian Paints (india) Ltd.,Paints,2.17,118.5,2.17%,0.00%,1.69% (May 2018),1.69% (May 2018),81.00 k,0.00,Large Cap,47.63
Schaeffler India Ltd.,Bearings,3.91,113.2,2.07%,0.00%,1.78% (May 2018),1.78% (May 2018),21.00 k,0.00,Mid Cap,26.58
National Thermal Power Corporation Ltd.,Power,4.04,112.6,2.06%,0.03%,1.84% (Nov 2018),0% (May 2018),8.40 L,0.00,Large Cap,47.63
Tata Power Co. Ltd.,Power,4.04,108.5,1.98%,0.13%,1.98% (Apr 2019),0% (May 2018),16.00 L,0.00,Mid Cap,26.58
Solar Industries India Ltd.,Explosives,1.97,107.5,1.97%,0.03%,1.86% (May 2018),1.86% (May 2018),1.00 L,0.00,Mid Cap,26.58
