Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Hindustan Unilever Ltd.,Diversified,7.75,425.4,7.75%,0.29%,7.46% (Mar 2019),7.46% (Mar 2019),2.42 L,0.00,Large Cap,55.13
Tech Mahindra Ltd.,Software telecom,4.57,250.8,4.57%,0.36%,2.86% (Jul 2018),2.86% (Jul 2018),3.00 L,0.00,Large Cap,55.13
Asian Paints (india) Ltd.,Paints,4.32,237,4.32%,0.05%,3.07% (Jun 2018),3.07% (Jun 2018),1.62 L,0.00,Large Cap,55.13
Bata India Ltd.,Leather and leather products,4.19,229.7,4.19%,0.17%,2.43% (May 2018),2.43% (May 2018),1.58 L,0.00,Mid Cap,30.61
Britannia Industries Ltd.,Consumer food,5.45,223,4.06%,0.23%,4.06% (Apr 2019),4.06% (Apr 2019),77.00 k,0.00,Large Cap,55.13
Alkem Laboratories Ltd.,Hospital,2.94,161.5,2.94%,0.03%,2.94% (Apr 2019),0% (May 2018),94.00 k,0.00,Mid Cap,30.61
Oil & Natural Gas Corporation Ltd.,Oil exploration,2.85,156.5,2.85%,0.18%,2.48% (Nov 2018),0% (May 2018),9.25 L,0.00,Large Cap,55.13
GAIL (India) Ltd.,Gas transmission/marketing,2.83,155.4,2.83%,0.09%,1.94% (Jun 2018),1.94% (Jun 2018),4.37 L,0.00,Large Cap,55.13
Larsen & Toubro Infotech Ltd.,Computers  software,3.42,154,2.81%,0.05%,2.01% (Nov 2018),0% (May 2018),89.71 k,0.00,Large Cap,55.13
Carborundum Universal Ltd.,Abrasives,3.11,140.4,2.56%,0.33%,2.45% (Jun 2018),2.45% (Jun 2018),3.90 L,0.00,Small Cap,8.98
Grasim Industries Limited,Cement,5.25,137.9,2.51%,0.14%,2.11% (Jan 2019),0% (May 2018),1.53 L,0.00,Large Cap,55.13
Future Retail Ltd.,Retailing,2.45,134.5,2.45%,0.17%,2.19% (Jul 2018),2.19% (Jul 2018),3.20 L,0.00,Mid Cap,30.61
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,4.54,130.2,2.37%,0.08%,1.31% (Jun 2018),1.31% (Jun 2018),5.40 L,0.00,Large Cap,55.13
WABCO India Ltd.,Auto ancillaries,2.28,125.2,2.28%,0.13%,2.28% (Apr 2019),2.28% (Apr 2019),20.00 k,0.00,Mid Cap,30.61
#Bharat Petroleum Corporation Ltd.,Refineries/marketing,4.21,123.5,2.25%,2.25%,2.25% (Apr 2019),0% (May 2018),3.25 L,3.25 L,Large Cap,55.13
Titan Company Ltd.,"Gems, jewellery and watches",2.22,121.7,2.22%,0.05%,1.66% (Sep 2018),1.66% (Sep 2018),1.05 L,0.00,Large Cap,55.13
Cummins India Ltd.,Diesel engines,2.21,121.5,2.21%,0.04%,1.66% (Jul 2018),1.66% (Jul 2018),1.67 L,0.00,Mid Cap,30.61
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,4.54,118.9,2.17%,0.07%,2.1% (Mar 2019),0% (May 2018),3.80 L,0.00,Mid Cap,30.61
#Tata Steel Ltd.,Steel,2.13,117,2.13%,2.13%,2.13% (Apr 2019),0% (May 2018),2.10 L,2.10 L,Large Cap,55.13
Siemens Ltd.,Power equipment,2.93,109.1,1.99%,0.09%,1.69% (Nov 2018),1.69% (Nov 2018),93.00 k,0.00,Large Cap,55.13
Oracle Financial Services Software Limited,It enabled services – software,1.99,109,1.99%,0.09%,1.9% (Mar 2019),0% (May 2018),30.96 k,0.00,Large Cap,55.13
#Hindustan Petroleum Corporation Ltd.,Refineries/marketing,4.21,107.8,1.96%,1.96%,1.96% (Apr 2019),0% (May 2018),3.70 L,3.70 L,Large Cap,55.13
Ambuja Cements Ltd.,Cement,5.25,101.4,1.85%,0.11%,1.8% (Oct 2018),1.8% (Oct 2018),4.60 L,0.00,Large Cap,55.13
Voltas Limited,"Engineering, designing, construction",2.66,90.4,1.65%,0.06%,1.52% (Dec 2018),1.52% (Dec 2018),1.50 L,0.00,Mid Cap,30.61
Ipca Laboratories Ltd.,Pharmaceuticals,1.63,89.3,1.63%,0.04%,1.25% (May 2018),1.25% (May 2018),93.75 k,0.00,Mid Cap,30.61
