Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

HDFC Bank Ltd.,Banks,24.2,10660.3,9.06%,0.09%,8.47% (Aug 2018),8.47% (Aug 2018),46.00 L,0.00,Large Cap,70.6
Infosys Ltd.,Computers  software,9.15,7213,6.13%,0.13%,5.43% (May 2018),5.43% (May 2018),96.00 L,0.00,Large Cap,70.6
ICICI Bank Ltd.,Banks,24.2,5297.5,4.50%,0.11%,3.67% (Jun 2018),3.67% (Jun 2018),1.30 Cr,7.00 L,Large Cap,70.6
Bharti Airtel Ltd.,Telecom  services,6.65,4868.6,4.14%,0.12%,4.06% (Oct 2018),4.06% (Oct 2018),1.52 Cr,0.00,Large Cap,70.6
Larsen & Toubro Ltd.,"Engineering, designing, construction",5.83,4450.2,3.78%,0.06%,3.49% (Jan 2019),3.49% (Jan 2019),33.00 L,0.00,Large Cap,70.6
Axis Bank Ltd.,Banks,24.2,4217.7,3.58%,0.01%,3.21% (Jun 2018),3.21% (Jun 2018),55.00 L,0.00,Large Cap,70.6
HCL Technologies Limited,Computers  software,9.15,3550.1,3.02%,0.28%,2.52% (May 2018),2.52% (May 2018),30.00 L,0.00,Large Cap,70.6
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,6.02,3549.2,3.02%,0.10%,3.02% (Apr 2019),3.02% (Apr 2019),55.00 L,0.00,Large Cap,70.6
Tata Motors Ltd.,Passenger/utility vehicles,6.02,3536,3.00%,0.58%,1.67% (Nov 2018),1.67% (Nov 2018),1.65 Cr,0.00,Large Cap,70.6
Kotak Mahindra Bank Ltd.,Banks,24.2,3466.4,2.95%,0.14%,2.64% (Sep 2018),2.64% (Sep 2018),25.00 L,0.00,Large Cap,70.6
Grasim Industries Limited,Cement,5.65,2523.4,2.14%,0.34%,1.47% (Jan 2019),0% (May 2018),28.00 L,3.00 L,Large Cap,70.6
Marico Ltd.,Personal care,4.73,2515.8,2.14%,0.10%,1.67% (May 2018),1.67% (May 2018),70.00 L,0.00,Large Cap,70.6
United Breweries Ltd.,Brew/distilleries,2.11,2483.2,2.11%,0.06%,1.77% (Jul 2018),1.77% (Jul 2018),17.50 L,0.00,Large Cap,70.6
Tech Mahindra Ltd.,Software telecom,2.09,2462.3,2.09%,0.13%,1.89% (Jun 2018),1.89% (Jun 2018),29.45 L,0.55 L,Large Cap,70.6
Lupin Ltd.,Pharmaceuticals,7.05,2441.7,2.07%,0.33%,1.43% (May 2018),1.43% (May 2018),28.00 L,0.00,Large Cap,70.6
Voltas Limited,"Engineering, designing, construction",5.83,2410.8,2.05%,0.07%,1.92% (Jun 2018),1.92% (Jun 2018),40.00 L,0.00,Mid Cap,15.47
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,7.05,2347,1.99%,0.00%,1.99% (Mar 2019),1.99% (Mar 2019),8.00 L,0.50 L,Large Cap,70.6
Yes Bank,Banks,24.2,2127,1.81%,1.27%,1.81% (Apr 2019),1.81% (Apr 2019),1.27 Cr,6.39 L,Large Cap,70.6
Cadila Healthcare Ltd.,Pharmaceuticals,7.05,2115.4,1.80%,0.10%,1.8% (Apr 2019),1.8% (Apr 2019),65.00 L,0.00,Large Cap,70.6
Aditya Birla Fashion and Retail Ltd.,Retailing,1.74,2049.6,1.74%,0.02%,1.18% (Jul 2018),1.18% (Jul 2018),95.00 L,0.00,Mid Cap,15.47
Bata India Ltd.,Leather and leather products,1.73,2035.6,1.73%,0.08%,1.28% (May 2018),1.28% (May 2018),14.00 L,0.00,Mid Cap,15.47
State Bank Of India,Banks,24.2,2014.7,1.71%,0.04%,1.26% (Nov 2018),1.26% (Nov 2018),65.00 L,0.00,Large Cap,70.6
Dabur India Ltd.,Personal care,4.73,1990.5,1.69%,0.07%,1.62% (Mar 2019),1.62% (Mar 2019),50.00 L,3.00 L,Large Cap,70.6
Associated Cement Companies Ltd.,Cement,5.65,1958.5,1.66%,0.12%,1.41% (May 2018),1.41% (May 2018),12.00 L,1.00 L,Mid Cap,15.47
Info Edge (India) Ltd.,It enabled services – software,1.64,1933.3,1.64%,0.09%,0.72% (Jun 2018),0.72% (Jun 2018),10.00 L,0.00,Mid Cap,15.47
National Thermal Power Corporation Ltd.,Power,1.64,1930.3,1.64%,0.01%,1.48% (Jan 2019),1.48% (Jan 2019),1.44 Cr,0.00,Large Cap,70.6
Hindustan Petroleum Corporation Ltd.,Refineries/marketing,2.26,1893.1,1.61%,0.06%,1.24% (Aug 2018),1.24% (Aug 2018),65.00 L,0.00,Large Cap,70.6
Vodafone Idea Ltd.  Rights,Telecom  services,6.65,1871.9,1.59%,1.13%,0.46% (Mar 2019),0% (May 2018),12.12 Cr,2.50 Cr,Other,2.94
Apollo Tyres Limited,Tyres & allied,1.31,1545.4,1.31%,0.09%,1.31% (Apr 2019),1.31% (Apr 2019),75.00 L,0.00,Mid Cap,15.47
Hindalco Industries Ltd.,Aluminium,1.23,1442.4,1.23%,0.02%,1.08% (Jul 2018),1.08% (Jul 2018),70.00 L,0.00,Large Cap,70.6
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,7.05,1406,1.19%,0.05%,1.15% (Jan 2019),1.15% (Jan 2019),30.72 L,0.00,Large Cap,70.6
J K Lakshmi Cement Ltd.,Cement,5.65,1352.1,1.15%,0.01%,0.9% (Jun 2018),0.9% (Jun 2018),36.37 L,2.63 L,Small Cap,6.98
Cummins India Ltd.,Diesel engines,1.05,1235.3,1.05%,0.02%,0.5% (Jun 2018),0.5% (Jun 2018),17.00 L,0.00,Mid Cap,15.47
TVS Motor Company Ltd.,Motor cycles/scooters,1.03,1210.9,1.03%,0.12%,0.69% (Aug 2018),0% (May 2018),24.60 L,1.60 L,Mid Cap,15.47
GAIL (India) Ltd.,Gas transmission/marketing,1,1174.6,1.00%,0.04%,0.15% (Aug 2018),0% (May 2018),33.00 L,0.00,Large Cap,70.6
Thermax Ltd.,Industrial equipment,1.97,1169.6,0.99%,0.42%,0.23% (Aug 2018),0% (May 2018),12.00 L,5.00 L,Mid Cap,15.47
Arvind Fashions Ltd.,Industrial equipment,1.97,1150.9,0.98%,0.03%,0.66% (Feb 2019),0% (May 2018),11.51 L,70.58 k,Other,2.94
Jyothy Laboratories Ltd.,Personal care,4.73,1059.6,0.90%,0.13%,0.25% (Sep 2018),0% (May 2018),59.00 L,9.00 L,Small Cap,6.98
Finolex Industries Ltd.,Plastic products,0.79,935.4,0.79%,0.04%,0.73% (Jul 2018),0.73% (Jul 2018),20.17 L,0.00,Small Cap,6.98
Century Textile & Industries Ltd.,Cement,5.65,825.5,0.70%,0.01%,0.48% (Aug 2018),0% (May 2018),9.00 L,0.00,Small Cap,6.98
Bharat Petroleum Corporation Ltd.,Refineries/marketing,2.26,759.7,0.65%,0.02%,0.65% (Apr 2019),0.65% (Apr 2019),20.00 L,0.00,Large Cap,70.6
CG Power and Industrial Solutions Ltd.,Power equipment,0.64,752,0.64%,0.08%,0.44% (Jun 2018),0.44% (Jun 2018),2.00 Cr,0.00,Small Cap,6.98
Equitas Holdings Ltd.,Investment companies,0.61,717.2,0.61%,0.02%,0.52% (Nov 2018),0.52% (Nov 2018),55.00 L,0.00,Small Cap,6.98
Bharat Forge Ltd.,Castings/forgings,0.6,708.4,0.60%,0.17%,0.26% (Jan 2019),0% (May 2018),15.00 L,5.00 L,Mid Cap,15.47
Karur Vysya Bank Ltd,Banks,24.2,698.2,0.59%,0.05%,0.54% (Mar 2019),0.54% (Mar 2019),90.20 L,0.00,Small Cap,6.98
Gujarat Pipavav Port Ltd.,Port,0.56,660.8,0.56%,0.07%,0.42% (Jan 2019),0.42% (Jan 2019),75.00 L,0.00,Small Cap,6.98
Vodafone Idea Ltd.,Telecom  services,6.65,648.9,0.55%,0.09%,0.55% (Apr 2019),0.55% (Apr 2019),4.20 Cr,0.00,Large Cap,70.6
Aditya Birla Capital Ltd.,Nbfc,0.54,635.4,0.54%,0.01%,0.47% (Jan 2019),0.47% (Jan 2019),65.00 L,0.00,Mid Cap,15.47
Jagran Prakashan Ltd.,Printing and publishing,0.54,631.3,0.54%,0.15%,0.33% (Jul 2018),0.33% (Jul 2018),55.72 L,9.28 L,Small Cap,6.98
Apollo Hospitals Enterprises Ltd.,Hospital,0.52,608.3,0.52%,0.00%,0.51% (Feb 2019),0% (May 2018),5.00 L,0.00,Mid Cap,15.47
Arvind Ltd.,Fabrics and garments,0.42,500.1,0.42%,0.04%,0.39% (Feb 2019),0.39% (Feb 2019),60.00 L,0.00,Small Cap,6.98
#Bharti Airtel Ltd.  Rights,Telecom  services,6.65,432.3,0.37%,0.37%,0.37% (Apr 2019),0% (May 2018),43.10 L,43.10 L,Other,2.94
SKF India Ltd.,Bearings,0.35,412.5,0.35%,0.25%,0.35% (Apr 2019),0.35% (Apr 2019),2.09 L,1.41 L,Mid Cap,15.47
Bayer Cropscience Ltd.,Pesticides and agrochemicals,0.26,304.8,0.26%,0.06%,0.26% (Apr 2019),0.26% (Apr 2019),74.14 k,0.11 L,Mid Cap,15.47
ICICI Securities Ltd.,Stockbroking and allied,0.08,88.7,0.08%,0.00%,0.06% (Jun 2018),0.06% (Jun 2018),4.00 L,0.00,Small Cap,6.98
Ashok Leyland Ltd.,Commercial vehicles,,273.9,0.00%,0.23%,,,,,Mid Cap,15.47
Bond  National Bank for Agriculture & Rural Development,Financial institution,,890.6,0.00%,0.75%,,,,,Other,2.94
Bond  LIC Housing Finance Ltd.,Housing finance,,2484.2,0.00%,2.09%,,,,,Other,2.94
