Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Reliance Industries Ltd.,Refineries/marketing,17.04,40.1,10.18%,0.35%,8% (Jan 2019),8% (Jan 2019),28.80 k,0.00,Large Cap,53.53
Power Grid Corporation of India Ltd.,Power transmission,6.81,26.8,6.81%,1.84%,6.81% (Apr 2019),6.81% (Apr 2019),1.44 L,0.31 L,Large Cap,53.53
Associated Cement Companies Ltd.,Cement,12.71,25.1,6.38%,0.04%,3.29% (Dec 2018),0% (May 2018),15.40 k,0.00,Mid Cap,26.35
Pi Industries Ltd.,Pesticides and agrochemicals,8.1,22.9,5.80%,0.15%,1.75% (Aug 2018),0% (May 2018),21.90 k,0.00,Mid Cap,26.35
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,8.09,21.9,5.55%,0.16%,4.4% (May 2018),4.4% (May 2018),90.60 k,0.00,Large Cap,53.53
Oil & Natural Gas Corporation Ltd.,Oil exploration,4.94,19.5,4.94%,0.34%,2.78% (Nov 2018),0% (May 2018),1.15 L,0.00,Large Cap,53.53
Hindalco Industries Ltd.,Aluminium,4.86,19.2,4.86%,0.08%,1.96% (Jul 2018),1.96% (Jul 2018),93.00 k,0.00,Large Cap,53.53
Castrol (india) Ltd.,Lubricants,4.34,17.1,4.34%,0.33%,2.59% (Sep 2018),2.59% (Sep 2018),1.12 L,0.00,Mid Cap,26.35
Heidelberg Cement India Ltd.,Cement,12.71,16.4,4.17%,0.08%,2.74% (Sep 2018),0% (May 2018),90.00 k,0.00,Small Cap,16.39
Bharat Petroleum Corporation Ltd.,Refineries/marketing,17.04,16,4.05%,2.06%,1.44% (Aug 2018),0% (May 2018),42.00 k,22.00 k,Large Cap,53.53
Pidilite Industries Ltd.,Chemicals  speciality,6.2,12.4,3.13%,0.01%,2.56% (Oct 2018),2.56% (Oct 2018),10.00 k,0.00,Large Cap,53.53
Vinati Organics Ltd.,Chemicals  speciality,6.2,12.1,3.07%,0.31%,2% (Jul 2018),2% (Jul 2018),6.70 k,0.00,Small Cap,16.39
Tata Steel Ltd.,Steel,4.19,11.1,2.83%,0.22%,2.56% (Jan 2019),0% (May 2018),20.00 k,0.00,Large Cap,53.53
#Hindustan Petroleum Corporation Ltd.,Refineries/marketing,17.04,11.1,2.81%,2.81%,2.1% (Aug 2018),0% (May 2018),38.00 k,38.00 k,Large Cap,53.53
Coal India Ltd.,Industrial minerals,4.79,10.8,2.75%,1.76%,0.96% (Jul 2018),0% (May 2018),43.00 k,0.33 L,Large Cap,53.53
Indraprastha Gas Ltd.,Lpg/cng/png/lng supplier,8.09,10,2.54%,0.09%,2.36% (Sep 2018),0% (May 2018),32.00 k,0.00,Mid Cap,26.35
Bayer Cropscience Ltd.,Pesticides and agrochemicals,8.1,9.1,2.30%,0.13%,2.23% (Aug 2018),2.23% (Aug 2018),2.20 k,0.00,Mid Cap,26.35
Tata Power Co. Ltd.,Power,2.24,8.8,2.24%,0.16%,2.15% (Sep 2018),0% (May 2018),1.30 L,0.00,Mid Cap,26.35
J.K. Cement Ltd.,Cement,12.71,8.5,2.16%,0.12%,1.66% (Jul 2018),1.66% (Jul 2018),9.40 k,0.00,Small Cap,16.39
Tata Metaliks Ltd.,Pig iron,2.13,8.4,2.13%,0.06%,2.13% (Apr 2019),2.13% (Apr 2019),13.50 k,0.00,Small Cap,16.39
NMDC LTD,Industrial minerals,4.79,8,2.04%,0.05%,2.01% (Dec 2018),0% (May 2018),80.00 k,0.00,Large Cap,53.53
Navin Flourine International Ltd.,Chemicals  inorganic,3.35,7.7,1.96%,0.08%,1.84% (Feb 2019),0% (May 2018),11.50 k,0.00,Small Cap,16.39
Vedanta Ltd.,Copper & copper products,1.95,7.7,1.95%,0.18%,1.17% (Sep 2018),0% (May 2018),46.00 k,0.00,Large Cap,53.53
Tata Sponge Iron Ltd.,Sponge iron,1.88,7.4,1.88%,0.03%,1.88% (Apr 2019),0% (May 2018),10.00 k,0.00,Small Cap,16.39
GAIL (India) Ltd.,Gas transmission/marketing,1.63,6.4,1.63%,0.06%,1.57% (Mar 2019),1.57% (Mar 2019),18.00 k,0.00,Large Cap,53.53
Tata Chemicals Ltd.,Chemicals  inorganic,3.35,5.5,1.39%,0.01%,1.39% (Apr 2019),1.39% (Apr 2019),9.50 k,0.00,Mid Cap,26.35
Jindal Steel & Power Ltd.,Steel,4.19,5.3,1.36%,0.01%,1.06% (Jun 2018),0% (May 2018),30.00 k,0.00,Mid Cap,26.35
Ratnamani Metals & Tubes Ltd.,Steel products,1.02,4,1.02%,0.01%,0.89% (Jul 2018),0.89% (Jul 2018),4.50 k,0.00,Small Cap,16.39
