Stock Invested in ,Sector ,Sector Total ,Value(Cr) ,% of Total Holdings ,1M Change ,1Y Highest Holding ,1Y Lowest Holding ,Quantity ,1M Change in Qty ,M-Cap ,GroupName 

Infosys Ltd.,Computers  software,7.85,3380.5,5.87%,0.02%,3.29% (May 2018),3.29% (May 2018),44.99 L,2.13 L,Large Cap,46.79
ICICI Bank Ltd.,Banks,10.57,3046.8,5.29%,0.23%,3.95% (May 2018),3.95% (May 2018),74.77 L,0.45 L,Large Cap,46.79
ITC Limited,Cigarettes,4.99,2874.6,4.99%,0.02%,3.86% (May 2018),3.86% (May 2018),95.39 L,4.89 L,Large Cap,46.79
Housing Development Finance Corporation Ltd.,Housing finance,5.14,2414.5,4.19%,0.13%,0.92% (Jul 2018),0% (May 2018),12.10 L,0.96 L,Large Cap,46.79
Larsen & Toubro Ltd.,"Engineering, designing, construction",2.83,1628.7,2.83%,0.13%,2.36% (May 2018),2.36% (May 2018),12.08 L,0.65 L,Large Cap,46.79
State Bank Of India,Banks,10.57,1331,2.31%,0.26%,1.65% (Jun 2018),1.65% (Jun 2018),42.94 L,4.74 L,Large Cap,46.79
Sun Pharmaceutical Industries Ltd.,Pharmaceuticals,6.01,1247.6,2.17%,0.10%,1.59% (Dec 2018),1.59% (Dec 2018),27.26 L,1.00 L,Large Cap,46.79
Vedanta Ltd.,Copper & copper products,1.89,1089.7,1.89%,0.13%,1.26% (Jul 2018),1.26% (Jul 2018),65.31 L,0.00,Large Cap,46.79
National Thermal Power Corporation Ltd.,Power,5.44,979.3,1.70%,0.05%,1.41% (Nov 2018),1.41% (Nov 2018),73.05 L,0.00,Large Cap,46.79
Mahindra & Mahindra Ltd.,Passenger/utility vehicles,1.66,956.4,1.66%,0.19%,1.66% (Apr 2019),1.66% (Apr 2019),14.82 L,1.50 L,Large Cap,46.79
Grasim Industries Limited,Cement,1.89,939.2,1.63%,0.16%,1.5% (Jul 2018),1.5% (Jul 2018),10.42 L,2.00 L,Large Cap,46.79
Indian Oil Corporation Ltd.,Refineries/marketing,1.61,928.1,1.61%,0.00%,1.61% (Apr 2019),1.61% (Mar 2019),58.72 L,0.00,Large Cap,46.79
Lupin Ltd.,Pharmaceuticals,6.01,880.8,1.53%,0.74%,0.6% (Jan 2019),0% (May 2018),10.10 L,3.75 L,Large Cap,46.79
Axis Bank Ltd.,Banks,10.57,844.9,1.47%,0.03%,0.16% (Jun 2018),0% (May 2018),11.02 L,0.00,Large Cap,46.79
Bharti Airtel Ltd.,Telecom  services,1.45,762.3,1.32%,0.35%,1.32% (Apr 2019),1.32% (Apr 2019),23.80 L,6.00 L,Large Cap,46.79
Tata Motors Ltd.  A Class,Commercial vehicles,1.12,647,1.12%,0.21%,0.91% (Mar 2019),0.91% (Mar 2019),63.25 L,0.00,Mid Cap,16.19
Hero Motocorp Ltd.,Motor cycles/scooters,1.11,640.6,1.11%,0.02%,0.2% (Sep 2018),0% (May 2018),2.55 L,0.00,Large Cap,46.79
Cesc Ltd.,Power,5.44,558.4,0.97%,0.09%,0.73% (Sep 2018),0.73% (Sep 2018),7.96 L,0.66 L,Mid Cap,16.19
GHCL Ltd.,Chemicals  inorganic,0.96,551.5,0.96%,0.06%,0.67% (Sep 2018),0.67% (Sep 2018),21.78 L,0.00,Small Cap,7.34
LIC Housing Finance Ltd.,Housing finance,5.14,547.4,0.95%,0.04%,0.44% (Sep 2018),0.44% (Sep 2018),11.02 L,0.00,Mid Cap,16.19
Indian Hotels Company Limited,Hotels/resorts,0.89,514.8,0.89%,0.06%,0.74% (May 2018),0.74% (Jun 2018),33.35 L,3.00 L,Mid Cap,16.19
Tata Power Co. Ltd.,Power,5.44,506.7,0.88%,0.05%,0.8% (Sep 2018),0.8% (Sep 2018),74.73 L,0.00,Mid Cap,16.19
Castrol (india) Ltd.,Lubricants,0.86,494.1,0.86%,0.05%,0.7% (Sep 2018),0.7% (Sep 2018),32.38 L,0.00,Mid Cap,16.19
Petronet LNG Ltd.,Lpg/cng/png/lng supplier,0.85,488.3,0.85%,0.01%,0.28% (Dec 2018),0% (May 2018),20.25 L,0.00,Large Cap,46.79
Multi Commodity Exchange Of India Ltd.,Other financial services,1.49,483.4,0.84%,0.08%,0.63% (Sep 2018),0.63% (Sep 2018),5.63 L,0.00,Small Cap,7.34
Mahindra & Mahindra Financial Services Ltd.,Nbfc,2.57,482.9,0.84%,0.01%,0.64% (Sep 2018),0.64% (Sep 2018),12.05 L,0.00,Mid Cap,16.19
Cadila Healthcare Ltd.,Pharmaceuticals,6.01,482.8,0.84%,0.03%,0.32% (Aug 2018),0% (May 2018),14.84 L,0.00,Large Cap,46.79
Oberoi Realty Ltd.,Residential/commercial/sez project,2.22,472,0.82%,0.06%,0.53% (Jun 2018),0.53% (Jun 2018),9.30 L,0.66 L,Mid Cap,16.19
Apollo Tyres Limited,Tyres & allied,0.8,460.6,0.80%,0.04%,0.59% (Sep 2018),0.59% (Sep 2018),22.35 L,0.00,Mid Cap,16.19
Vardhman Textiles Ltd.,Spinningcotton/blended,0.79,454.8,0.79%,0.05%,0.72% (May 2018),0.72% (May 2018),4.04 L,0.00,Small Cap,7.34
Mphasis Ltd.,Computers  software,7.85,449.4,0.78%,0.01%,0.77% (Mar 2019),0.77% (Mar 2019),4.64 L,0.00,Mid Cap,16.19
Yes Bank,Banks,10.57,450.6,0.78%,0.46%,0.25% (Jun 2018),0% (May 2018),26.82 L,0.00,Large Cap,46.79
Info Edge (India) Ltd.,It enabled services – software,0.75,433.5,0.75%,0.04%,0.65% (May 2018),0.65% (May 2018),2.24 L,0.30 L,Mid Cap,16.19
Dr. Reddys Laboratories Ltd.,Pharmaceuticals,6.01,432.4,0.75%,0.13%,0.75% (Apr 2019),0.75% (Apr 2019),1.47 L,0.40 L,Large Cap,46.79
Motilal Oswal Financial Services Ltd.,Stockbroking and allied,0.74,428.5,0.74%,0.13%,0.35% (Jan 2019),0% (May 2018),6.03 L,0.00,Mid Cap,16.19
Federal Bank Ltd.,Banks,10.57,413.2,0.72%,0.16%,0.72% (Apr 2019),0.72% (Apr 2019),44.54 L,0.10 Cr,Mid Cap,16.19
Mahindra Lifespace Developers Ltd.,Residential/commercial/sez project,2.22,411.7,0.71%,0.05%,0.66% (Mar 2019),0.66% (Mar 2019),10.83 L,0.00,Small Cap,7.34
